代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10394661.710000000894070
真實報酬,394661.710000000894070

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,19032.987139222972473
風險,36353.513547853850469
起點值,0.523552891639180
找到最佳解世代,2481
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
CSCO[4](14),GS[8](1),JPM[13](2),NKE[19](4),PG[21](11),V[25](3),
Stock#,CSCO[4](14),GS[8](1),JPM[13](2),NKE[19](4),PG[21](11),V[25](3),
張數,54235,10536,26123,30078,19287,21296,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,24.449999999953434,81.520000000018626,18.600000000093132,44.020000000018626,76.330000000074506,41.039999999804422,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1660700.149999999906868,1644329.679999999934807,1662747.550000000046566,1651927.780000000027940,1673416.450000000186265,1667091.919999999925494,9960217.530000001192093
FS( 3 ),1666123.649999999906868,1668351.760000000009313,1689131.780000000027940,1646814.520000000018626,1658179.719999999972060,1676249.199999999720603,10004854.630000000819564
FS( 4 ),1670462.449999999953434,1665296.320000000065193,1686519.480000000214204,1648017.639999999897555,1659722.679999999934807,1692647.119999999878928,10022669.689999999478459
FS( 5 ),1683478.849999999860302,1707861.760000000009313,1731973.500000000000000,1679900.320000000065193,1654515.190000000176951,1706702.479999999748543,10164436.099999999627471
FS( 6 ),1681851.800000000046566,1715658.400000000139698,1726748.899999999906868,1683810.459999999962747,1654129.450000000186265,1702656.239999999757856,10164859.250000000000000
FS( 7 ),1678055.350000000093132,1722085.360000000102445,1720740.610000000102445,1677494.080000000074506,1658565.459999999962747,1704998.799999999813735,10161943.660000000149012
FS( 8 ),1673174.199999999953434,1708915.360000000102445,1705328.040000000037253,1658244.160000000149012,1664737.300000000046566,1696906.320000000065193,10107309.380000000819564
FS( 9 ),1678597.699999999953434,1726510.480000000214204,1710030.179999999934807,1706368.959999999962747,1672837.840000000083819,1706276.559999999823049,10200625.720000000670552
FS( 10 ),1674258.899999999906868,1720083.520000000018626,1706372.959999999962747,1697947.120000000111759,1678816.810000000288710,1704146.959999999729916,10181630.269999999552965
FS( 11 ),1691614.100000000093132,1744316.320000000065193,1716822.160000000149012,1707572.080000000074506,1678431.070000000065193,1723100.399999999674037,10261860.130000000819564
FS( 12 ),1687817.649999999906868,1745369.920000000158325,1716560.929999999934807,1710880.660000000149012,1669944.790000000037253,1720970.799999999813735,10251548.750000000000000
FS( 13 ),1666123.649999999906868,1745580.639999999897555,1721263.070000000065193,1710279.100000000093132,1677273.849999999860302,1721609.679999999934807,10242133.990000000223517
FS( 14 ),1653107.250000000000000,1749689.679999999934807,1722830.450000000186265,1720806.400000000139698,1686531.610000000102445,1709470.959999999729916,10242440.349999999627471
FS( 15 ),1655276.649999999906868,1751480.799999999813735,1720479.380000000121072,1771638.219999999972060,1684024.300000000046566,1713730.159999999683350,10296633.509999999776483
FS( 16 ),1661242.500000000000000,1751796.879999999888241,1718912.000000000000000,1764419.500000000000000,1675152.280000000027940,1726294.799999999813735,10297821.960000000894070
FS( 17 ),1680224.750000000000000,1749900.400000000139698,1718128.310000000055879,1793294.379999999888241,1685760.130000000121072,1720757.839999999850988,10348069.810000000521541
FS( 18 ),1684563.549999999813735,1741682.320000000065193,1722830.450000000186265,1811341.179999999934807,1684024.300000000046566,1709896.879999999888241,10354342.679999999701977
FS( 19 ),1697037.599999999860302,1748003.920000000158325,1725965.209999999962747,1781864.739999999990687,1695403.630000000121072,1710535.759999999543652,10358814.860000001266599
FS( 20 ),1700291.699999999953434,1748741.439999999944121,1729883.660000000149012,1774646.020000000018626,1689231.790000000037253,1715859.759999999543652,10358658.369999999180436
FS( 21 ),1712765.749999999767169,1758223.840000000083819,1748953.450000000186265,1763517.160000000149012,1703118.429999999934807,1722248.559999999823049,10408831.190000001341105
FS( 22 ),1710596.349999999860302,1784563.840000000083819,1763321.100000000093132,1744568.020000000018626,1688460.310000000288710,1728637.359999999869615,10420150.980000000447035
FS( 23 ),1705172.850000000093132,1785512.080000000074506,1763321.100000000093132,1733739.939999999944121,1684024.300000000046566,1722887.439999999944121,10394661.710000000894070
