代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10459110.269999999552965
真實報酬,459110.269999999552965

夏普值報酬,0.037211027000000
夏普值風險,0.015134114126997
夏普值,2.458751578569137

預期報酬,26294.485291172597499
風險,80579.281507893931121
趨勢值,0.326318189975381
找到最佳解世代,1952
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
MCD[15](1),PG[21](2),WMT[28](4),
Stock#,MCD[15](1),PG[21](2),WMT[28](4),
張數,29198,44539,56650,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,89.320000000298023,34.239999999757856,47.000000000000000,
20151201,3341800.420000000391155,3382325.899999999441206,3341830.500000000000000,10065957.820000000298023
20151202,3320485.880000000353903,3375645.049999999813735,3305574.500000000000000,10001706.429999999701977
20151203,3310850.540000000502914,3373418.099999999627471,3344663.000000000000000,10028932.640000000596046
20151204,3392896.920000000391155,3466504.609999999869615,3379786.000000000000000,10239188.530000001192093
20151207,3399320.480000000447035,3490555.669999999925494,3427372.000000000000000,10317249.150000000372529
20151208,3402532.260000000242144,3462941.489999999757856,3376953.500000000000000,10242428.250000000000000
20151209,3403992.160000000149012,3460714.540000000037253,3349761.500000000000000,10214469.199999999254942
20151210,3422094.920000000391155,3464723.049999999813735,3374121.000000000000000,10260939.970000000670552
20151211,3389393.160000000149012,3464277.659999999683350,3362791.000000000000000,10216462.820000000298023
20151214,3394648.800000000279397,3486992.549999999813735,3421140.500000000000000,10302782.849999999627471
20151215,3414211.460000000428408,3548901.760000000242144,3378653.000000000000000,10341767.220000000670552
20151216,3440781.640000000596046,3607247.849999999627471,3416042.000000000000000,10464072.490000000223517
20151217,3430854.320000000298023,3576070.549999999813735,3341264.000000000000000,10348189.870000001043081
20151218,3406328.000000000000000,3479866.309999999590218,3333899.500000000000000,10220094.809999998658895
20151221,3436401.940000000409782,3516388.290000000037253,3373554.500000000000000,10326345.730000000447035
20151222,3437277.880000000353903,3545338.639999999664724,3429638.000000000000000,10412255.519999999552965
20151223,3468811.720000000204891,3559591.119999999646097,3460795.500000000000000,10489199.339999999850988
20151224,3462096.180000000167638,3553801.049999999813735,3446066.500000000000000,10461964.730000000447035
20151228,3467351.820000000298023,3559591.119999999646097,3441534.500000000000000,10468478.439999999478459
20151229,3505893.180000000167638,3579188.279999999795109,3490253.500000000000000,10575335.960000000894070
20151230,3487206.460000000428408,3566271.969999999273568,3494219.000000000000000,10547698.429999999701977
20151231,3449541.040000000502914,3536876.229999999515712,3472692.000000000000000,10459110.269999999552965
