代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10517727.490000000223517
真實報酬,517727.490000000223517

夏普值報酬,0.043072749000000
夏普值風險,0.022656608799194
夏普值,1.901111917575815

預期報酬,30418.283731225335941
風險,89517.637086457762052
趨勢值,0.339802129739493
找到最佳解世代,1654
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
PFE[20](11),UTX[24](1),WBA[27](2),
Stock#,PFE[20](11),UTX[24](1),WBA[27](2),
張數,107009,30281,48583,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,2.650000000372529,0.520000000018626,53.370000000111759,
20141201,3345103.990000000689179,3321523.410000000149012,3292523.279999999795109,9959151.679999999701977
20141202,3378276.780000000260770,3321220.600000000093132,3242968.620000000111759,9942467.000000000000000
20141203,3397538.400000000372529,3360888.709999999962747,3273575.909999999683350,10032004.019999999552965
20141204,3388977.680000000633299,3367550.529999999795109,3298839.070000000298023,10055368.280000001192093
20141205,3423220.560000000055879,3369973.010000000242144,3332847.169999999925494,10126041.740000000223517
20141208,3421080.380000000353903,3423267.569999999832362,3290579.960000000428408,10134928.910000000149012
20141209,3418940.200000000186265,3482012.709999999962747,3332361.340000000316650,10233315.250000000000000
20141210,3409309.390000000130385,3436894.020000000018626,3310984.820000000298023,10157189.230000000447035
20141211,3386837.500000000000000,3453245.760000000242144,3547098.200000000186265,10387182.460000000894070
20141212,3311931.200000000186265,3396014.670000000391155,3619486.870000000111759,10327433.740000002086163
20141215,3302300.390000000130385,3388747.229999999981374,3567988.890000000130385,10259037.509999999776483
20141216,3281968.680000000633299,3428718.149999999906868,3516976.740000000223517,10227664.570000000298023
20141217,3330122.730000000447035,3449006.420000000391155,3497543.540000000037253,10276673.690000001341105
20141218,3421080.380000000353903,3541666.279999999795109,3613656.909999999683350,10576404.570000000298023
20141219,3417870.110000000335276,3500181.310000000055879,3557786.460000000428408,10475838.880000000819564
20141222,3433921.460000000894070,3547116.859999999869615,3608312.779999999795109,10589352.099999999627471
20141223,3365435.700000000186265,3549236.529999999795109,3717138.700000000186265,10631811.929999999701977
20141224,3362225.430000000633299,3540152.229999999981374,3724911.979999999981374,10627290.640000000596046
20141226,3386837.500000000000000,3550144.959999999962747,3714709.549999999813735,10651693.009999999776483
20141229,3359015.160000000614673,3538638.180000000167638,3730741.940000000409782,10628396.280000001192093
20141230,3357945.070000000298023,3518652.720000000204891,3694790.520000000018626,10571389.310000000521541
20141231,3333333.000000000000000,3482315.520000000018626,3702077.970000000204891,10517727.490000000223517
