代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10274476.839999999850988
真實報酬,274476.839999999850988

夏普值報酬,0.018747684000000
夏普值風險,0.007734714104534
夏普值,2.423836711561350

預期報酬,11737.867849213695081
風險,27369.079889084467140
趨勢值,0.428873308740462
找到最佳解世代,2581
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,4
MCD[15](2),PFE[20](10),PG[21](3),V[25](1),
Stock#,MCD[15](2),PFE[20](10),PG[21](3),V[25](1),
張數,16114,75392,27526,25110,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,74.040000000037253,1.280000000260770,88.680000000167638,48.399999999906868,
20170801,2482274.600000000093132,2493968.640000000130385,2507707.279999999795109,2532894.100000000093132,10016844.619999999180436
20170802,2523365.300000000279397,2481905.920000000391155,2506055.720000000204891,2543189.199999999720603,10054516.140000000596046
20170803,2493232.120000000111759,2520355.840000000316650,2501101.040000000037253,2525863.299999999813735,10040552.300000000745058
20170804,2478729.520000000018626,2536188.160000000149012,2495871.100000000093132,2533396.299999999813735,10044185.079999998211861
20170807,2497260.620000000111759,2511308.800000000279397,2517066.120000000111759,2548462.299999999813735,10074097.839999999850988
20170808,2496454.919999999925494,2509047.040000000502914,2520919.760000000242144,2543189.199999999720603,10069610.919999999925494
20170809,2496454.919999999925494,2521863.680000000633299,2530278.600000000093132,2535405.100000000093132,10084002.300000000745058
20170810,2523848.720000000204891,2519601.920000000391155,2525323.919999999925494,2498242.299999999813735,10067016.859999999403954
20170811,2534806.240000000223517,2506785.280000000260770,2514313.520000000484288,2513308.299999999813735,10069213.339999999850988
20170814,2534161.679999999701977,2511308.800000000279397,2522846.580000000540167,2558004.100000000093132,10126321.160000000149012
20170815,2539962.720000000204891,2516586.240000000223517,2537985.880000000353903,2577087.699999999720603,10171622.540000000968575
20170816,2560588.640000000130385,2515078.400000000372529,2544592.120000000111759,2594413.599999999627471,10214672.760000001639128
20170817,2544313.500000000000000,2484167.680000000633299,2534407.500000000000000,2565286.000000000000000,10128174.679999999701977
20170818,2542218.679999999701977,2463057.920000000391155,2545417.899999999906868,2574074.500000000000000,10124769.000000000000000
20170821,2551887.080000000074506,2469843.200000000186265,2556153.040000000037253,2591902.600000000093132,10169785.919999999925494
20170822,2572513.000000000000000,2499246.080000000074506,2554226.220000000204891,2613246.099999999627471,10239231.400000000372529
20170823,2559138.379999999888241,2506031.360000000335276,2544592.120000000111759,2590898.200000000186265,10200660.060000000521541
20170824,2552692.779999999795109,2505277.439999999944121,2539912.700000000186265,2591902.600000000093132,10189785.519999999552965
20170825,2559299.520000000018626,2517340.160000000149012,2546518.940000000409782,2595166.899999999906868,10218325.519999999552965
20170828,2572996.419999999925494,2523371.520000000018626,2545417.899999999906868,2605964.199999999720603,10247750.039999999105930
20170829,2568323.359999999869615,2525633.280000000260770,2541289.000000000000000,2605713.099999999627471,10240958.740000000223517
20170830,2570740.459999999962747,2521863.680000000633299,2528902.300000000279397,2604708.700000000186265,10226215.140000000596046
20170831,2577830.620000000111759,2557297.920000000391155,2539912.700000000186265,2599435.599999999627471,10274476.839999999850988
