代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10504021.440000001341105
真實報酬,504021.440000001341105

夏普值報酬,0.041702144000000
夏普值風險,0.014576937843440
夏普值,2.860830199585862

預期報酬,25969.126203563904710
風險,35587.389332494807604
趨勢值,0.729728330474962
找到最佳解世代,2706
找到最佳解實驗#,2
找到最佳解次數,26

stock[index](rank)
投資組合檔數,2
TRV[22](2),VZ[26](1),
Stock#,TRV[22](2),VZ[26](1),
張數,55199,106997,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,74.580000000074506,30.190000000409782,
20140501,5013799.750000000000000,5052428.530000000260770,10066228.280000001192093
20140502,5023183.580000000074506,5041728.830000000074506,10064912.410000000149012
20140505,5003863.930000000633299,5070618.020000000484288,10074481.950000001117587
20140506,4961360.700000000186265,5079177.780000000260770,10040538.480000000447035
20140507,5027047.509999999776483,5146585.890000000596046,10173633.400000000372529
20140508,5036431.339999999850988,5188314.720000000670552,10224746.060000000521541
20140509,5039743.280000000260770,5187244.750000000000000,10226988.030000001192093
20140512,5080590.540000000037253,5153005.709999999962747,10233596.250000000000000
20140513,5128613.669999999925494,5119836.640000000596046,10248450.310000000521541
20140514,5114261.930000000633299,5136956.160000000149012,10251218.089999999850988
20140515,5098806.209999999962747,5131606.310000000521541,10230412.519999999552965
20140516,5110398.000000000000000,5250372.980000000447035,10360770.980000000447035
20140519,5120885.809999999590218,5258932.740000000223517,10379818.550000000745058
20140520,5115365.910000000149012,5205434.240000000223517,10320800.150000000372529
20140521,5125853.719999999739230,5261072.680000000633299,10386926.400000000372529
20140522,5134133.570000000298023,5291031.840000000782311,10425165.410000000149012
20140523,5125853.719999999739230,5322060.970000000670552,10447914.690000001341105
20140527,5160629.089999999850988,5309221.330000000074506,10469850.419999999925494
20140528,5158973.120000000111759,5322060.970000000670552,10481034.089999999850988
20140529,5194300.479999999515712,5319921.030000000260770,10514221.509999999776483
20140530,5158421.129999999888241,5345600.310000000521541,10504021.440000001341105
