代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10791539.789999999105930
真實報酬,791539.789999999105930

夏普值報酬,0.070453979000000
夏普值風險,0.030556796755975
夏普值,2.305672926473308

預期報酬,43856.333894598152256
風險,103970.913082927945652
趨勢值,0.421813491813985
找到最佳解世代,3044
找到最佳解實驗#,1
找到最佳解次數,36

stock[index](rank)
投資組合檔數,2
JNJ[12](2),PG[21](1),
Stock#,JNJ[12](2),PG[21](1),
張數,88028,97847,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,9.600000000558794,18.299999999813735,
20090701,5023767.560000000521541,5088062.299999999813735,10111829.859999999403954
20090702,4927817.040000000037253,5000978.469999999739230,9928795.509999999776483
20090706,4984154.959999999962747,5104696.290000000037253,10088851.250000000000000
20090707,4949824.040000000037253,5079256.069999999366701,10029080.109999999403954
20090708,5024647.840000000782311,5150684.379999999888241,10175332.220000000670552
20090709,4990316.919999999925494,5128179.569999999366701,10118496.489999998360872
20090710,5011443.640000000596046,5109588.639999999664724,10121032.280000001192093
20090713,5080985.760000000707805,5183952.359999999403954,10264938.120000001043081
20090714,5125880.040000000037253,5238746.679999999701977,10364626.719999998807907
20090715,5190140.480000000447035,5347356.849999999627471,10537497.330000000074506
20090716,5215668.600000000558794,5402151.169999999925494,10617819.769999999552965
20090717,5213908.040000000037253,5471622.540000000037253,10685530.580000000074506
20090720,5198943.280000001192093,5436397.620000000111759,10635340.900000002235174
20090721,5236795.320000000298023,5429548.330000000074506,10666343.650000000372529
20090722,5210386.919999999925494,5368883.189999999478459,10579270.109999999403954
20090723,5301055.760000000707805,5397258.819999999366701,10698314.580000000074506
20090724,5414611.880000000819564,5463794.780000000260770,10878406.660000000149012
20090727,5393485.160000001080334,5457923.959999999962747,10851409.120000001043081
20090728,5362675.360000000335276,5451074.669999999925494,10813750.030000001192093
20090729,5383802.080000000074506,5491191.939999999478459,10874994.019999999552965
20090730,5439259.720000000670552,5501955.109999999403954,10941214.830000000074506
20090731,5360034.520000000484288,5431505.269999999552965,10791539.789999999105930
