代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11000310.400000000372529
真實報酬,1000310.400000000372529

夏普值報酬,0.091331040000000
夏普值風險,0.028340961433703
夏普值,3.222580864578156

預期報酬,54912.147909407685802
風險,271530.224935687903780
趨勢值,0.202232174787958
找到最佳解世代,2033
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
IBM[10](2),WBA[27](1),
Stock#,IBM[10](2),WBA[27](1),
張數,59410,202675,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,54.400000000372529,7.750000000000000,
20090102,5190706.100000000558794,5178354.000000000000000,10369060.100000001490116
20090105,5158030.599999999627471,5439804.750000000000000,10597835.349999999627471
20090106,5301208.700000000186265,5413457.000000000000000,10714665.699999999254942
20090107,5215658.300000000745058,5478313.000000000000000,10693971.300000000745058
20090108,5179418.200000001117587,5439804.750000000000000,10619222.950000001117587
20090109,5032081.400000000372529,5299959.000000000000000,10332040.400000000372529
20090112,5092085.500000000000000,5249290.250000000000000,10341375.750000000000000
20090113,5070103.800000000745058,5283745.000000000000000,10353848.800000000745058
20090114,4942372.299999999813735,5297932.250000000000000,10240304.550000000745058
20090115,4997623.600000000558794,5451965.250000000000000,10449588.850000001490116
20090116,5045151.600000000558794,5453992.000000000000000,10499143.600000001490116
20090120,4870486.200000000186265,5257397.250000000000000,10127883.449999999254942
20090121,5431316.600000000558794,5336440.500000000000000,10767757.100000001490116
20090122,5351113.099999999627471,5431697.750000000000000,10782810.849999999627471
20090123,5316655.299999999813735,5458045.500000000000000,10774700.800000000745058
20090126,5442010.400000000372529,5431697.750000000000000,10873708.150000000372529
20090127,5445575.000000000000000,5472232.750000000000000,10917807.750000000000000
20090128,5633310.599999999627471,5652613.500000000000000,11285924.099999999627471
20090129,5496073.500000000931323,5652613.500000000000000,11148687.000000000000000
20090130,5444980.900000000372529,5555329.500000000000000,11000310.400000000372529
