代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10565034.729999998584390
真實報酬,565034.729999998584390

夏普值報酬,0.047803473000000
夏普值風險,0.016640298344315
夏普值,2.872753361199920

預期報酬,31559.507574898732855
風險,30890.719860910532589
趨勢值,1.021650117478631
找到最佳解世代,2140
找到最佳解實驗#,1
找到最佳解次數,47

stock[index](rank)
投資組合檔數,5
BA[2](3),DIS[6](22),HD[9](12),PFE[20](1),XOM[29](2),
Stock#,BA[2](3),DIS[6](22),HD[9](12),PFE[20](1),XOM[29](2),
張數,5834,17853,9961,48169,24946,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,163.139999999897555,106.940000000176951,130.029999999795109,23.119999999878928,79.179999999934807,
20180904,2020185.639999999897555,1979111.989999999990687,2042931.909999999916181,1992774.649999999674037,2002993.520000000018626,10037997.709999999031425
20180905,2022694.260000000009313,1961616.050000000279397,2033668.179999999934807,2015895.770000000018626,2029685.739999999990687,10063560.000000000000000
20180906,2049472.319999999832362,1968578.720000000204891,2051000.319999999599531,2012523.939999999944121,2007234.339999999850988,10088809.639999998733401
20180907,2037862.659999999683350,1981254.350000000093132,2054387.059999999590218,2032754.919999999925494,2041410.359999999869615,10147669.349999999627471
20180910,1994574.379999999888241,1976076.980000000214204,2098813.119999999646097,2026011.260000000009313,2038416.839999999850988,10133892.580000000074506
20180911,2014351.639999999897555,1956795.739999999990687,2130289.879999999888241,2038053.510000000009313,2067104.739999999990687,10206595.509999999776483
20180912,2061957.080000000074506,1954296.320000000065193,2111662.809999999590218,2042870.409999999683350,2073840.159999999916181,10244626.779999999329448
20180913,2073916.779999999795109,1975898.450000000186265,2086461.479999999748543,2064064.770000000018626,2053633.899999999674037,10253975.380000000819564
20180914,2099236.339999999850988,1950725.720000000204891,2082676.299999999813735,2069363.359999999869615,2068601.500000000000000,10270603.219999998807907
20180917,2076833.779999999795109,1952511.020000000251457,2076002.429999999934807,2071771.809999999823049,2080825.039999999804422,10257944.079999998211861
20180918,2121288.859999999403954,1955546.030000000260770,2102100.250000000000000,2095856.309999999823049,2086313.159999999916181,10361104.609999999403954
20180919,2130856.620000000111759,1960187.810000000288710,2108674.509999999776483,2083814.059999999823049,2111259.160000000149012,10394792.160000000149012
20180920,2143924.779999999329448,1992858.800000000279397,2102498.689999999944121,2107416.870000000111759,2115998.899999999441206,10462698.039999999105930
20180921,2171752.959999999962747,1971078.140000000363216,2115746.819999999832362,2122349.259999999776483,2124730.000000000000000,10505657.179999999701977
20180924,2147016.799999999813735,2013389.750000000000000,2071918.419999999925494,2116087.290000000037253,2160402.779999999329448,10508815.039999999105930
20180925,2142582.959999999962747,2028743.330000000074506,2066639.089999999850988,2109343.629999999888241,2157908.179999999701977,10505217.189999999478459
20180926,2129748.160000000149012,2056951.070000000065193,2067236.750000000000000,2104045.040000000037253,2139947.059999999590218,10497928.080000000074506
20180927,2143516.399999999441206,2071769.060000000288710,2060463.269999999785796,2114642.219999999739230,2139697.599999999627471,10530088.549999998882413
20180928,2169827.740000000223517,2087836.760000000242144,2063551.179999999934807,2122830.950000000186265,2120988.099999999627471,10565034.729999998584390
