代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11417665.369999999180436
真實報酬,1417665.369999999180436

夏普值報酬,0.133066537000000
夏普值風險,0.067533763682613
夏普值,1.970370519039483

預期報酬,86563.141293807624606
風險,343957.979311894450802
趨勢值,0.251667780660247
找到最佳解世代,2514
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
AAPL[0](2),PFE[20](4),
Stock#,AAPL[0](2),PFE[20](4),
張數,391849,406173,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,6.759999999776483,10.370000000111759,
20090302,4921630.200000000186265,4735987.549999999813735,9657617.750000000000000
20090303,4945141.139999999664724,4821283.879999999888241,9766425.019999999552965
20090304,5101880.739999999292195,5077172.870000000111759,10179053.609999999403954
20090305,4972570.569999999366701,5146222.280000000260770,10118792.849999999627471
20090306,4776646.069999999366701,5170592.660000000149012,9947238.730000000447035
20090309,4651254.389999999664724,5129975.360000000335276,9781229.750000000000000
20090310,4960815.099999999627471,5316814.940000000409782,10277630.039999999105930
20090311,5188087.519999999552965,5194963.040000000037253,10383050.559999998658895
20090312,5391849.000000000000000,5694555.830000000074506,11086404.830000000074506
20090313,5368338.059999999590218,5905765.790000000037253,11274103.849999999627471
20090316,5340908.629999999888241,5747358.320000000298023,11088266.949999999254942
20090317,5579936.519999999552965,5792037.349999999627471,11371973.869999999180436
20090318,5681817.259999999776483,5787975.620000000111759,11469792.879999998956919
20090319,5689654.239999999292195,5564580.469999999739230,11254234.709999999031425
20090320,5685735.750000000000000,5536148.360000000335276,11221884.109999999403954
20090323,6026644.379999999888241,5694555.830000000074506,11721200.210000000894070
20090324,5960030.049999999813735,5653938.530000000260770,11613968.580000000074506
20090325,5960030.049999999813735,5792037.349999999627471,11752067.399999998509884
20090326,6152036.059999999590218,5840778.110000000335276,11992814.169999999925494
20090327,5979622.500000000000000,5702679.290000000037253,11682301.789999999105930
20090330,5850312.330000000074506,5564580.469999999739230,11414892.800000000745058
20090331,5885578.739999999292195,5532086.629999999888241,11417665.369999999180436
