代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10307484.209999999031425
真實報酬,307484.209999999031425

夏普值報酬,0.022048421000000
夏普值風險,0.010077221206264
夏普值,2.187946513101650

預期報酬,17989.572167247391917
風險,22066.860077795001416
趨勢值,0.815230264017017
找到最佳解世代,2247
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](1),AXP[1](5),HD[9](3),MCD[15](18),PG[21](12),
Stock#,AAPL[0](1),AXP[1](5),HD[9](3),MCD[15](18),PG[21](12),
張數,17268,26997,14916,16431,23786,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,20.240000000223517,62.239999999990687,62.719999999739230,18.679999999934807,73.120000000111759,
20170103,2005698.440000000409782,2034286.189999999944121,2003430.679999999701977,1965494.899999999906868,2002854.320000000065193,10011764.530000001192093
20170104,2003453.600000000093132,2058853.460000000195578,2021180.719999999739230,1963194.560000000055879,2009990.120000000111759,10056672.460000000894070
20170105,2013641.720000000204891,2033476.279999999795109,1997315.119999999878928,1966809.379999999888241,2023310.280000000260770,10034552.780000001192093
20170106,2036090.120000000111759,2037525.830000000074506,1991796.199999999720603,1984226.239999999990687,2022596.700000000186265,10072235.089999999850988
20170109,2054739.560000000055879,2048054.659999999916181,2003430.679999999701977,1978804.010000000009313,2007611.520000000251457,10092640.429999999701977
20170110,2056811.720000000204891,2069382.290000000037253,2030130.319999999599531,1975846.429999999934807,1985966.260000000009313,10118137.019999999552965
20170111,2067863.240000000223517,2076401.510000000009313,2024163.919999999459833,1986197.959999999962747,1992150.620000000111759,10146777.250000000000000
20170112,2059229.240000000223517,2075591.599999999860302,2014766.839999999618158,2006243.779999999795109,1994291.360000000102445,10150122.819999998435378
20170113,2055602.960000000428408,2068572.380000000121072,2014319.359999999636784,1996385.179999999934807,1998334.980000000214204,10133214.859999999403954
20170117,2072180.240000000223517,2068032.439999999944121,2027594.599999999860302,2016923.929999999934807,2026878.179999999934807,10211609.390000000596046
20170118,2072007.560000000055879,2092059.769999999785796,2031025.279999999795109,2016266.689999999944121,2020218.100000000325963,10231577.399999998509884
20170119,2068381.280000000260770,2070462.169999999925494,2019539.959999999497086,2007558.260000000009313,2014747.320000000065193,10180688.990000000223517
20170120,2072180.240000000223517,2057233.640000000130385,2022672.319999999599531,2008872.739999999990687,2080158.820000000065193,10241117.759999999776483
20170123,2073561.680000000167638,2051024.330000000074506,2059514.839999999618158,1994413.459999999962747,2068503.679999999934807,10247017.990000000223517
20170124,2071662.200000000186265,2090439.950000000186265,2059365.679999999701977,1988991.229999999981374,2089911.080000000074506,10300370.140000000596046
20170125,2104644.080000000074506,2075861.570000000065193,2050714.399999999674037,2001150.169999999925494,2073260.880000000121072,10305631.099999999627471
20170126,2105680.160000000149012,2076941.450000000186265,2065332.079999999841675,2002628.959999999962747,2059940.719999999972060,10310523.370000001043081
20170127,2105852.840000000316650,2074781.689999999944121,2063393.000000000000000,2018731.339999999850988,2062795.040000000037253,10325553.910000000149012
20170130,2100327.080000000074506,2086390.399999999906868,2065481.239999999757856,2021360.299999999813735,2063508.620000000111759,10337067.640000000596046
20170131,2095492.040000000037253,2062093.099999999860302,2052206.000000000000000,2013966.349999999860302,2083726.719999999972060,10307484.209999999031425
