代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10856364.160000000149012
真實報酬,856364.160000000149012

夏普值報酬,0.076936416000000
夏普值風險,0.030209700696230
夏普值,2.546745390615563

預期報酬,44475.802530957371346
風險,98589.514019656533492
趨勢值,0.451121024109013
找到最佳解世代,1988
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
KO[14](1),PG[21](8),
Stock#,KO[14](1),PG[21](8),
張數,205002,92404,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,1.219999999739230,19.559999999590218,
20090901,4975399.759999999776483,4899279.639999999664724,9874679.399999998509884
20090902,5104551.019999999552965,4878950.759999999776483,9983501.779999999329448
20090903,5082000.799999999813735,4885419.039999999105930,9967419.839999999850988
20090904,5120951.179999999701977,4884495.000000000000000,10005446.179999999701977
20090908,5168101.639999999664724,5008316.359999999403954,10176418.000000000000000
20090909,5190651.859999999403954,4967658.599999999627471,10158310.459999999031425
20090910,5184501.799999999813735,5178339.719999999739230,10362841.519999999552965
20090911,5280852.740000000223517,5141378.119999999180436,10422230.859999999403954
20090914,5346453.379999998956919,5109960.759999999776483,10456414.139999998733401
20090915,5377203.679999999701977,5085011.679999999701977,10462215.359999999403954
20090916,5399753.899999999441206,5110884.799999999813735,10510638.699999999254942
20090917,5475604.639999999664724,5131213.679999999701977,10606818.320000000298023
20090918,5510454.979999999515712,5296616.839999999850988,10807071.820000000298023
20090921,5432554.219999999739230,5276287.959999999962747,10708842.179999999701977
20090922,5418204.080000000074506,5289224.519999999552965,10707428.599999999627471
20090923,5389503.799999999813735,5290148.559999999590218,10679652.359999999403954
20090924,5364903.560000000521541,5344666.919999999925494,10709570.480000000447035
20090925,5430504.199999999254942,5360375.599999999627471,10790879.799999998882413
20090928,5446904.359999999403954,5374236.199999999254942,10821140.559999998658895
20090929,5465354.540000000037253,5351135.199999999254942,10816489.739999998360872
20090930,5504304.919999999925494,5352059.239999999292195,10856364.160000000149012
