代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10299752.199999999254942
真實報酬,299752.199999999254942

夏普值報酬,0.021275220000000
夏普值風險,0.007278032699916
夏普值,2.923210279097279

預期報酬,12389.681975023091582
風險,35179.525709591660416
趨勢值,0.352184451754705
找到最佳解世代,2426
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
DIS[6](1),
Stock#,DIS[6](1),
張數,90834,
分配資金,10000000.000000000000000,
剩餘資金,84.939999999478459,
20170301,10086292.300000000745058,10086292.300000000745058
20170302,10045417.000000000000000,10045417.000000000000000
20170303,10104459.099999999627471,10104459.099999999627471
20170306,10052683.719999998807907,10052683.719999998807907
20170307,10069942.179999999701977,10069942.179999999701977
20170308,10068125.500000000000000,10068125.500000000000000
20170309,10085383.959999999031425,10085383.959999999031425
20170310,10075392.219999998807907,10075392.219999998807907
20170313,10129892.619999999180436,10129892.619999999180436
20170314,10201651.480000000447035,10201651.480000000447035
20170315,10161684.519999999552965,10161684.519999999552965
20170316,10147151.079999998211861,10147151.079999998211861
20170317,10151692.779999999329448,10151692.779999999329448
20170320,10237985.079999998211861,10237985.079999998211861
20170321,10150784.439999999478459,10150784.439999999478459
20170322,10180759.660000000149012,10180759.660000000149012
20170323,10195293.099999999627471,10195293.099999999627471
20170324,10186209.699999999254942,10186209.699999999254942
20170327,10208009.859999999403954,10208009.859999999403954
20170328,10268868.639999998733401,10268868.639999998733401
20170329,10221634.959999999031425,10221634.959999999031425
20170330,10280677.060000000521541,10280677.060000000521541
20170331,10299752.199999999254942,10299752.199999999254942
