代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10489139.640000000596046
真實報酬,489139.640000000596046

夏普值報酬,0.040213964000000
夏普值風險,0.011970458541961
夏普值,3.359433881253291

預期報酬,27061.256541830207425
風險,86481.600769322016276
趨勢值,0.312913455591698
找到最佳解世代,2462
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
DIS[6](2),VZ[26](5),WMT[28](3),
Stock#,DIS[6](2),VZ[26](5),WMT[28](3),
張數,33510,69925,40384,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,93.299999999813735,8.250000000000000,37.639999999664724,
20180601,3329646.899999999906868,3343122.500000000000000,3351505.799999999348074,10024276.199999999254942
20180604,3359135.699999999720603,3343821.750000000000000,3449638.919999999925494,10152597.369999999180436
20180605,3349082.699999999720603,3354310.500000000000000,3417331.719999999739230,10120725.919999998062849
20180606,3415097.399999999906868,3385077.499999999534339,3414908.679999999701977,10215084.579999998211861
20180607,3433863.000000000000000,3427032.500000000000000,3430658.439999999944121,10291554.939999999478459
20180608,3484463.100000000093132,3438919.750000000000000,3406831.879999999422580,10330215.729999998584390
20180611,3496861.799999999813735,3447310.750000000000000,3404408.839999999385327,10348582.389999998733401
20180612,3496191.599999999627471,3413047.500000000000000,3396332.039999999571592,10305572.139999998733401
20180613,3562541.399999999906868,3314453.250000000000000,3395928.199999999720603,10272923.849999999627471
20180614,3644305.799999999813735,3343821.750000000000000,3383813.000000000000000,10371941.550000000745058
20180615,3647656.799999999813735,3360603.750000000000000,3380178.439999999944121,10388439.990000000223517
20180618,3587673.899999999906868,3318648.750000000000000,3351909.639999999664724,10258233.289999999105930
20180619,3555504.299999999813735,3391370.750000000000000,3376543.879999999422580,10323419.929999999701977
20180620,3590689.799999999813735,3362701.500000000465661,3376543.879999999422580,10329936.179999999701977
20180621,3548467.199999999720603,3400461.000000000000000,3400774.279999999329448,10349703.479999998584390
20180622,3563546.699999999720603,3479476.250000000000000,3425408.519999999552965,10468432.469999998807907
20180625,3500212.799999999813735,3468288.250000000000000,3492042.119999999646097,10460544.169999999925494
20180626,3493845.899999999906868,3447310.750000000000000,3472253.959999999962747,10413411.609999999403954
20180627,3483792.899999999441206,3448010.000000000000000,3509003.399999999906868,10440807.299999998882413
20180628,3510935.999999999534339,3556393.750000000000000,3467407.879999999422580,10534738.629999998956919
20180629,3512276.399999999906868,3517935.000000000000000,3458927.239999999757856,10489139.640000000596046
