代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10875463.899999998509884
真實報酬,875463.899999998509884

夏普值報酬,0.078846390000000
夏普值風險,0.024519377488573
夏普值,3.215676663763046

預期報酬,42411.850963455173769
風險,59631.411569465773937
趨勢值,0.711233389369775
找到最佳解世代,1889
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AXP[1](3),INTC[11](25),TRV[22](2),UNH[23](20),WMT[28](10),
Stock#,AXP[1](3),INTC[11](25),TRV[22](2),UNH[23](20),WMT[28](10),
張數,70596,103896,46436,71275,40096,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,15.320000000065193,2.000000000000000,1.479999999981374,23.500000000000000,11.519999999785796,
20090803,2022590.719999999972060,2012467.520000000018626,2090550.200000000186265,1950107.500000000000000,1998396.159999999916181,10074112.099999999627471
20090804,2026826.480000000214204,2007272.719999999972060,2148130.839999999850988,1919459.250000000000000,1998797.119999999878928,10100486.410000000149012
20090805,2143309.879999999888241,1959480.560000000055879,2162990.359999999869615,1866003.000000000000000,1972734.719999999972060,10104518.519999999552965
20090806,2210376.080000000074506,1942857.199999999953434,2172277.560000000055879,1851748.000000000000000,1963913.599999999627471,10141172.439999999478459
20090807,2307798.559999999590218,1922078.000000000000000,2203854.040000000037253,1889523.750000000000000,1976343.359999999636784,10299597.709999999031425
20090810,2283089.959999999962747,1949090.960000000195578,2155560.600000000093132,1929437.750000000000000,1993584.639999999664724,10310763.910000000149012
20090811,2224495.280000000260770,1936623.439999999944121,2086370.959999999962747,1982894.000000000000000,2006415.359999999636784,10236799.039999999105930
20090812,2244968.120000000111759,1954285.759999999776483,2156024.959999999962747,1980755.750000000000000,2025260.479999999748543,10361295.070000000298023
20090813,2257675.400000000372529,1979220.800000000046566,2204318.399999999906868,2022095.250000000000000,2080192.000000000000000,10543501.849999999627471
20090814,2239320.440000000409782,1950129.919999999925494,2194102.479999999981374,2000000.000000000000000,2076583.359999999636784,10460136.199999999254942
20090817,2145427.759999999776483,1916883.199999999953434,2164383.439999999944121,2029935.500000000000000,2067762.239999999757856,10324392.140000000596046
20090818,2237202.560000000521541,1950129.919999999925494,2206175.839999999850988,2008553.000000000000000,2059342.079999999841675,10461403.400000000372529
20090819,2237908.519999999552965,1953246.800000000046566,2227072.040000000037253,2008553.000000000000000,2071771.839999999850988,10498552.199999999254942
20090820,2295797.240000000223517,1943896.160000000149012,2220106.640000000130385,2023520.750000000000000,2073375.679999999934807,10556696.470000000670552
20090821,2319093.919999999925494,1962597.439999999944121,2238216.680000000167638,2061296.500000000232831,2059342.079999999841675,10640546.619999999180436
20090824,2306386.640000000596046,1949090.960000000195578,2226607.680000000167638,2116178.250000000000000,2066960.319999999599531,10665223.850000001490116
20090825,2316976.040000000037253,1984415.600000000093132,2248896.959999999962747,2132571.500000000000000,2071771.839999999850988,10754631.940000001341105
20090826,2339566.759999999776483,2018701.280000000027940,2265613.919999999925494,2062009.250000000000000,2076984.319999999599531,10762875.530000001192093
20090827,2397455.480000000447035,2022857.119999999878928,2284652.680000000167638,2062722.000000000000000,2054530.559999999823049,10822217.840000001713634
20090828,2417222.360000000335276,2103896.000000000000000,2303691.439999999944121,2008553.000000000000000,2050120.000000000000000,10883482.800000000745058
20090831,2387572.040000000037253,2111168.720000000204891,2341304.600000000093132,1995723.500000000000000,2039695.039999999571592,10875463.899999998509884
