代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10856531.929999999701977
真實報酬,856531.929999999701977

夏普值報酬,0.076953193000000
夏普值風險,0.023455367200826
夏普值,3.280835142810699

預期報酬,39108.579783926237724
風險,16434.545475881128368
趨勢值,2.379656914839591
找到最佳解世代,2128
找到最佳解實驗#,5
找到最佳解次數,19

stock[index](rank)
投資組合檔數,9
AAPL[0](18),CVX[5](25),INTC[11](13),JNJ[12](3),MCD[15](6),MMM[16](8),NKE[19](21),TRV[22](2),WMT[28](4),
Stock#,AAPL[0](18),CVX[5](25),INTC[11](13),JNJ[12](3),MCD[15](6),MMM[16](8),NKE[19](21),TRV[22](2),WMT[28](4),
張數,7209,9456,29178,8546,7091,5293,21429,9068,14219,
分配資金,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,
剩餘資金,59.919999999925494,31.000000000000000,12.760000000009313,45.540000000037253,93.119999999878928,110.300000000046566,17.349999999860302,99.640000000130385,38.340000000083819,
20171002,1108876.209999999962747,1110449.080000000074506,1139121.879999999888241,1121451.659999999916181,1113096.479999999981374,1126248.979999999981374,1111539.579999999841675,1118365.400000000139698,1115518.890000000130385,10064669.160000002011657
20171003,1113706.239999999757856,1114136.919999999925494,1149042.400000000139698,1128972.139999999897555,1112387.379999999888241,1135829.310000000055879,1102967.979999999748543,1121811.240000000223517,1126467.520000000018626,10105322.129999998956919
20171004,1106497.239999999757856,1111867.479999999981374,1147875.280000000027940,1135723.479999999981374,1114869.229999999981374,1146150.660000000149012,1116039.669999999925494,1123624.840000000083819,1124619.050000000046566,10127267.930000001564622
20171005,1120266.429999999934807,1121323.479999999981374,1153419.100000000093132,1138287.280000000027940,1126143.919999999925494,1145356.709999999962747,1118182.569999999832362,1128521.560000000055879,1129169.130000000121072,10180671.180000001564622
20171006,1119617.620000000111759,1106666.679999999934807,1156336.900000000139698,1138543.659999999916181,1131816.719999999739230,1146150.660000000149012,1123325.529999999795109,1134234.400000000139698,1123339.340000000083819,10180032.509999999776483
20171009,1123510.479999999981374,1113096.760000000009313,1163047.840000000083819,1140509.239999999990687,1135504.039999999804422,1146997.540000000037253,1104039.429999999934807,1133146.240000000223517,1145094.410000000149012,10204946.980000000447035
20171010,1123943.020000000018626,1123403.800000000046566,1156920.459999999962747,1144354.940000000176951,1138765.899999999906868,1147368.050000000046566,1104253.719999999972060,1142123.560000000055879,1196282.810000000055879,10277417.260000001639128
20171011,1128628.870000000111759,1128415.479999999981374,1146708.159999999916181,1167856.440000000176951,1156989.770000000018626,1146097.729999999981374,1093539.219999999972060,1139131.120000000111759,1219033.210000000195578,10326401.000000001862645
20171012,1124663.919999999925494,1126618.840000000083819,1143498.579999999841675,1169394.720000000204891,1162378.929999999934807,1151814.170000000158325,1089253.419999999925494,1142214.240000000223517,1224294.239999999990687,10334132.060000000521541
20171013,1131800.830000000074506,1126807.959999999962747,1157504.020000000018626,1165976.320000000065193,1172731.789999999804422,1152502.260000000009313,1092467.769999999785796,1148743.200000000186265,1231688.120000000111759,10380223.269999999552965
20171016,1152634.839999999850988,1135980.280000000027940,1160130.040000000037253,1163327.060000000055879,1170179.029999999795109,1157795.260000000009313,1100825.079999999841675,1168239.400000000139698,1219175.399999999906868,10428287.390000000596046
20171017,1156888.149999999906868,1136831.320000000065193,1161005.379999999888241,1203236.879999999888241,1172944.520000000018626,1152661.050000000046566,1114325.349999999860302,1166697.840000000083819,1222587.960000000195578,10487179.450000001117587
20171018,1151769.759999999776483,1117257.400000000139698,1174427.260000000009313,1202296.820000000065193,1175568.189999999944121,1155413.410000000149012,1120754.049999999813735,1179121.000000000232831,1226000.520000000018626,10502609.410000000149012
20171019,1124519.739999999757856,1117730.199999999953434,1169758.780000000027940,1213919.379999999888241,1180744.619999999878928,1160547.620000000111759,1129111.359999999869615,1207685.199999999953434,1228559.940000000176951,10532577.839999997988343
20171020,1126466.169999999925494,1121890.840000000083819,1179679.300000000046566,1216995.940000000176951,1179326.419999999925494,1171557.060000000055879,1137040.089999999850988,1209045.400000000139698,1243347.699999999953434,10585349.919999999925494
20171023,1125889.449999999720603,1124633.080000000074506,1191350.500000000000000,1227422.060000000055879,1158337.059999999823049,1172774.450000000186265,1149897.489999999757856,1219292.239999999990687,1260552.690000000176951,10630150.019999999552965
20171024,1132593.819999999832362,1127469.880000000121072,1194851.860000000102445,1210500.979999999981374,1162166.199999999953434,1242112.750000000000000,1144754.529999999795109,1207866.560000000055879,1251025.960000000195578,10673343.540000002831221
20171025,1127619.609999999869615,1119999.639999999897555,1189891.600000000093132,1216654.100000000093132,1160038.899999999906868,1258150.540000000037253,1177326.609999999869615,1195080.680000000167638,1258135.460000000195578,10702898.140000000596046
20171026,1134828.609999999869615,1119999.639999999897555,1206523.060000000055879,1211953.800000000046566,1163088.029999999795109,1233061.719999999972060,1217398.839999999850988,1196531.560000000055879,1260126.120000000111759,10743512.379999998956919
20171027,1175487.370000000111759,1073665.239999999990687,1295515.959999999962747,1211697.420000000158325,1172873.609999999869615,1242589.120000000111759,1199184.189999999944121,1188551.720000000204891,1253727.570000000065193,10813293.200000001117587
20171030,1201944.399999999906868,1081702.840000000083819,1294640.619999999878928,1196485.540000000037253,1178830.049999999813735,1222899.160000000149012,1184398.179999999934807,1202697.800000000279397,1236380.390000000130385,10799979.980000000447035
20171031,1218669.279999999795109,1095886.840000000083819,1327319.979999999981374,1191443.399999999906868,1183651.929999999934807,1218505.969999999972060,1178398.059999999823049,1201156.239999999990687,1241499.230000000214204,10856531.929999999701977
