代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11296885.849999999627471
真實報酬,1296885.849999999627471

夏普值報酬,0.120988585000000
夏普值風險,0.031583858072795
夏普值,3.830709494740775

預期報酬,57262.828728223001235
風險,85615.003096002954408
趨勢值,0.668841051889145
找到最佳解世代,2667
找到最佳解實驗#,1
找到最佳解次數,45

stock[index](rank)
投資組合檔數,5
GS[8](5),KO[14](2),MCD[15](9),MRK[17](1),PFE[20](3),
Stock#,GS[8](5),KO[14](2),MCD[15](9),MRK[17](1),PFE[20](3),
張數,15564,92893,37530,82508,149700,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,26.000000000000000,13.709999999962747,26.300000000046566,6.080000000074506,8.000000000000000,
20090501,1977899.119999999878928,1973061.029999999795109,1966598.300000000046566,2004950.480000000214204,2032934.000000000000000,9955442.929999999701977
20090504,2088092.239999999990687,2005573.579999999841675,1980484.400000000139698,2031353.040000000270084,2092814.000000000000000,10198317.259999999776483
20090505,2104278.799999999813735,2003715.719999999972060,1995121.099999999860302,2028877.800000000046566,2137724.000000000000000,10269717.419999998062849
20090506,2166846.080000000074506,1994426.419999999925494,2015012.000000000000000,2030527.959999999962747,2082335.000000000000000,10289147.460000000894070
20090507,2081399.719999999739230,1987923.909999999916181,2003753.000000000000000,2080032.760000000242144,2119760.000000000000000,10272869.390000000596046
20090508,2172604.760000000242144,1993497.489999999990687,2061173.900000000139698,2047854.640000000130385,2155688.000000000000000,10430818.790000000968575
20090511,2113305.919999999925494,1986066.049999999813735,2041658.300000000046566,2013201.280000000027940,2118263.000000000000000,10272494.550000000745058
20090512,2107547.239999999757856,2062238.309999999823049,2025520.399999999906868,2061055.920000000158325,2235029.000000000000000,10491390.869999999180436
20090513,2011828.639999999897555,2026938.969999999972060,2007506.000000000232831,2117986.440000000409782,2285927.000000000000000,10450187.050000000745058
20090514,2079376.399999999906868,2085461.559999999823049,2010508.400000000139698,2149339.479999999981374,2296406.000000000000000,10621091.839999999850988
20090515,2091827.600000000093132,2088248.350000000093132,2006380.100000000093132,2101484.839999999850988,2247005.000000000000000,10534945.890000000596046
20090518,2228012.600000000093132,2140268.429999999701977,2034152.300000000046566,2123762.000000000000000,2273951.000000000000000,10800146.329999998211861
20090519,2196884.600000000093132,2166278.470000000204891,2021767.399999999906868,2126237.240000000223517,2260478.000000000000000,10771645.710000000894070
20090520,2123578.160000000149012,2182999.209999999962747,2111088.799999999813735,2152639.800000000279397,2261975.000000000000000,10832280.970000000670552
20090521,2134784.239999999757856,2168136.330000000074506,2090072.000000000000000,2155115.040000000037253,2220059.000000000000000,10768166.609999999403954
20090522,2122177.399999999906868,2196933.159999999683350,2142238.700000000186265,2159240.440000000409782,2239520.000000000000000,10860109.699999999254942
20090526,2210892.200000000186265,2193217.439999999944121,2208291.500000000000000,2191418.560000000055879,2248502.000000000000000,11052321.700000001117587
20090527,2179141.639999999664724,2166278.470000000204891,2170010.900000000372529,2197194.120000000111759,2194610.000000000000000,10907235.129999998956919
20090528,2251358.600000000093132,2178354.560000000055879,2181645.200000000186265,2208745.240000000223517,2199101.000000000000000,11019204.600000001490116
20090529,2250113.479999999981374,2283323.649999999906868,2213921.000000000000000,2275576.719999999739230,2273951.000000000000000,11296885.849999999627471
