代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10685395.210000000894070
真實報酬,685395.210000000894070

夏普值報酬,0.059839521000000
夏普值風險,0.019050428220174
夏普值,3.141111596464384

預期報酬,34916.679581881566264
風險,21637.426979777341330
趨勢值,1.613716807202410
找到最佳解世代,1882
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,11
AAPL[0](2),HD[9](1),IBM[10](22),JNJ[12](29),KO[14](6),MSFT[18](3),NKE[19](14),PG[21](9),UNH[23](5),V[25](4),XOM[29](15),
Stock#,AAPL[0](2),HD[9](1),IBM[10](22),JNJ[12](29),KO[14](6),MSFT[18](3),NKE[19](14),PG[21](9),UNH[23](5),V[25](4),XOM[29](15),
張數,13940,20479,4720,13792,26920,30785,34965,14420,17553,36132,10856,
分配資金,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,
剩餘資金,62.600000000093132,27.189999999944121,18.000000000000000,59.280000000027940,1.599999999860302,8.949999999953434,0.000000000000000,53.200000000069849,20.130000000004657,8.880000000004657,8.560000000055879,
20120201,908532.400000000139698,910728.319999999948777,909184.400000000023283,906055.760000000009313,913127.999999999883585,920172.599999999976717,906992.100000000093132,911541.400000000139698,934892.909999999916181,926072.039999999920838,911586.880000000004657,10058896.810000000521541
20120202,906441.400000000023283,910523.529999999911524,904039.599999999976717,904676.560000000055879,913127.999999999883585,922019.699999999953434,898950.150000000023283,913127.600000000093132,922254.750000000000000,958229.520000000018626,906810.240000000107102,10060211.050000000745058
20120203,915502.400000000139698,925063.619999999995343,913998.799999999930151,905366.160000000032596,916358.399999999790452,930947.349999999860302,904894.199999999953434,905196.600000000093132,900664.560000000055879,966901.200000000069849,921900.080000000074506,10106803.369999999180436
20120206,924005.800000000162981,925677.989999999990687,910128.400000000023283,899159.760000000009313,915820.000000000000000,929715.949999999953434,904544.550000000046566,915867.400000000023283,900313.500000000000000,969791.760000000009313,930910.560000000055879,10125945.670000001788139
20120207,933763.800000000162981,931002.529999999911524,912630.000000000000000,900125.200000000069849,922819.199999999837019,934333.699999999953434,911187.899999999906868,918607.200000000069849,913302.719999999972060,966539.880000000004657,937315.600000000093132,10181637.730000000447035
20120208,949376.599999999976717,925063.619999999995343,910742.000000000000000,899849.359999999986030,919857.999999999883585,943877.049999999930151,925873.200000000069849,917742.000000000116415,915233.550000000046566,978824.760000000009313,926242.479999999981374,10212692.619999999180436
