代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10539018.800000000745058
真實報酬,539018.800000000745058

夏普值報酬,0.045201880000000
夏普值風險,0.018767560529351
夏普值,2.408511214300219

預期報酬,31750.522851102468849
風險,50163.854030493064784
趨勢值,0.632936273831797
找到最佳解世代,1597
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
MCD[15](1),MMM[16](11),MSFT[18](10),
Stock#,MCD[15](1),MMM[16](11),MSFT[18](10),
張數,49960,39886,113804,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,1.800000000279397,59.980000000447035,13.840000000316650,
20100401,3376298.600000000093132,3344501.080000000074506,3318538.480000000447035,10039339.160000000149012
20100405,3398780.600000000558794,3358062.320000000298023,3331056.920000000391155,10087900.840000001713634
20100406,3387789.400000000372529,3364444.080000000074506,3336747.120000000577420,10088981.600000001490116
20100407,3382293.800000000279397,3336922.740000000223517,3340161.240000000689179,10059378.780000001192093
20100408,3435251.400000000372529,3308603.680000000633299,3405029.520000000484288,10148885.600000001490116
20100409,3431254.600000000558794,3330142.120000000111759,3452827.200000000186265,10214224.920000001788139
20100412,3423760.600000000558794,3321766.060000000521541,3450551.120000000577420,10196078.780000001192093
20100413,3443245.000000000465661,3348090.820000000298023,3465345.640000000130385,10256682.460000000894070
20100414,3468225.000000000465661,3366039.520000000484288,3507453.120000000577420,10341718.640000002458692
20100415,3455235.399999999906868,3390369.980000000447035,3513143.320000000298023,10358749.700000001117587
20100416,3448740.600000000558794,3340911.340000000782311,3490382.520000000484288,10280035.460000000894070
20100419,3493205.000000000465661,3346495.380000000819564,3532490.000000000000000,10372191.380000000819564
20100420,3514188.200000000651926,3401139.200000000186265,3568907.280000000260770,10484235.679999999701977
20100421,3515187.400000000372529,3418290.180000000633299,3565493.160000000149012,10498971.740000002086163
20100422,3548660.600000000558794,3432250.280000000260770,3572321.400000000372529,10553233.280000001192093
20100423,3554655.800000000745058,3453389.860000000335276,3523385.680000000633299,10531432.340000001713634
20100426,3548161.000000000000000,3487691.820000000298023,3540456.280000000260770,10576310.100000001490116
20100427,3523680.600000000558794,3508831.400000000372529,3510867.240000000689179,10543380.240000002086163
20100428,3514188.200000000651926,3519600.620000000111759,3517695.480000000447035,10551485.300000000745058
20100429,3573141.000000000000000,3563076.360000000335276,3527937.840000000316650,10664156.200000001117587
20100430,3526678.200000000651926,3536751.600000000558794,3475588.000000000000000,10539018.800000000745058
