代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10585141.379999998956919
真實報酬,585141.379999998956919

夏普值報酬,0.049814138000000
夏普值風險,0.019893637609467
夏普值,2.504023596785312

預期報酬,30771.695460221966641
風險,54559.740125431271736
趨勢值,0.564000037197368
找到最佳解世代,2876
找到最佳解實驗#,2
找到最佳解次數,12

stock[index](rank)
投資組合檔數,3
AAPL[0](3),CVX[5](12),UNH[23](1),
Stock#,AAPL[0](3),CVX[5](12),UNH[23](1),
張數,38204,30419,65244,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,34.000000000000000,18.979999999981374,17.039999999571592,
20120801,3311938.759999999776483,3361318.479999999981374,3341162.279999999795109,10014420.519999999552965
20120802,3317287.319999999832362,3323294.729999999981374,3333985.439999999478459,9974568.489999998360872
20120803,3360457.839999999850988,3380178.260000000242144,3367259.879999999422580,10107896.979999998584390
20120806,3397897.759999999776483,3385957.870000000111759,3327461.039999999571592,10111317.669999999925494
20120807,3388728.800000000279397,3405426.030000000260770,3427936.799999999348074,10222092.629999998956919
20120808,3382998.199999999720603,3411205.640000000130385,3440333.159999999217689,10234538.000000000000000
20120809,3387964.720000000204891,3426110.949999999720603,3394009.919999999925494,10208086.589999999850988
20120810,3392931.240000000223517,3454096.429999999701977,3386180.639999999664724,10233209.309999998658895
20120813,3438394.000000000000000,3445883.299999999813735,3386180.639999999664724,10270458.939999999478459
20120814,3447562.959999999962747,3447100.059999999590218,3390747.719999999273568,10285411.739999998360872
20120815,3442978.479999999981374,3424285.809999999590218,3446205.119999999646097,10313470.409999998286366
20120816,3473159.639999999664724,3447100.059999999590218,3483394.199999999720603,10403654.899999998509884
20120817,3537342.360000000335276,3427023.520000000018626,3466430.759999999776483,10430797.640000000596046
20120820,3630178.080000000074506,3422764.859999999869615,3470997.839999999850988,10523941.779999999329448
20120821,3580512.879999999888241,3406338.600000000093132,3485351.519999999552965,10472204.000000000000000
20120822,3650426.199999999720603,3411509.830000000074506,3521235.719999999273568,10583172.749999998137355
20120823,3616424.639999999664724,3385349.490000000223517,3517973.519999999552965,10519748.649999998509884
20120824,3619863.000000000000000,3407251.169999999925494,3533632.079999999143183,10560747.250000000000000
20120827,3687866.120000000111759,3398733.850000000093132,3562991.879999999422580,10649592.849999999627471
20120828,3682899.600000000093132,3417593.629999999888241,3544723.559999999590218,10645217.789999999105930
20120829,3675640.839999999850988,3400863.179999999701977,3564949.199999999720603,10641454.219999998807907
20120830,3623301.360000000335276,3374398.650000000372529,3568211.399999999441206,10565912.410000000149012
20120831,3630560.120000000111759,3411814.020000000018626,3542766.239999999292195,10585141.379999998956919
