代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10462951.520000001415610
真實報酬,462951.520000001415610

夏普值報酬,0.037595152000000
夏普值風險,0.014760506560918
夏普值,2.547009605994320

預期報酬,25611.912280277880200
風險,66486.997246231185272
趨勢值,0.385216859552635
找到最佳解世代,2182
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
AXP[1](2),MCD[15](1),
Stock#,AXP[1](2),MCD[15](1),
張數,101874,63848,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,24.080000000074506,63.120000000111759,
20110502,5058068.179999999701977,5021069.839999999850988,10079138.019999999552965
20110503,5083536.679999999701977,5040224.240000000223517,10123760.919999999925494
20110504,5063161.880000000819564,5048524.479999999515712,10111686.359999999403954
20110505,5044824.560000000521541,5018515.919999999925494,10063340.480000000447035
20110506,5114098.880000000819564,5024900.720000000670552,10138999.600000001490116
20110509,5113080.139999999664724,5063848.000000000000000,10176928.140000000596046
20110510,5111042.660000000149012,5089387.199999999254942,10200429.859999999403954
20110511,5076405.500000000000000,5076617.600000000558794,10153023.100000001490116
20110512,5046862.040000000037253,5150042.799999999813735,10196904.839999999850988
20110513,5041768.339999999850988,5155150.639999999664724,10196918.980000000447035
20110516,5100855.259999999776483,5180689.839999999850988,10281545.099999999627471
20110517,5171148.320000000298023,5167281.760000000707805,10338430.080000001937151
20110518,5201710.520000000484288,5203675.120000000111759,10405385.640000000596046
20110519,5279134.759999999776483,5268161.600000000558794,10547296.359999999403954
20110520,5214954.139999999664724,5256668.959999999962747,10471623.099999999627471
20110523,5207822.959999999962747,5267523.120000000111759,10475346.080000000074506
20110524,5150773.520000000484288,5276461.839999999850988,10427235.359999999403954
20110525,5135492.419999999925494,5281569.679999999701977,10417062.099999999627471
20110526,5162998.400000000372529,5263053.760000000707805,10426052.160000000149012
20110527,5208841.700000000186265,5211336.880000000819564,10420178.580000001937151
20110531,5256722.480000000447035,5206229.040000000968575,10462951.520000001415610
