代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10550179.359999999403954
真實報酬,550179.359999999403954

夏普值報酬,0.046317936000000
夏普值風險,0.014714578406556
夏普值,3.147758278916318

預期報酬,22720.659909392888949
風險,67161.901062547418405
趨勢值,0.338296855061224
找到最佳解世代,2090
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
JNJ[12](1),JPM[13](2),MCD[15](10),
Stock#,JNJ[12](1),JPM[13](2),MCD[15](10),
張數,36184,58664,35032,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,62.919999999925494,44.520000000018626,38.199999999720603,
20140303,3313069.959999999962747,3297547.959999999962747,3304256.439999999478459,9914875.359999999403954
20140304,3377477.479999999981374,3359145.159999999683350,3327377.560000000055879,10064001.199999999254942
20140305,3350339.479999999981374,3411942.759999999776483,3328778.839999999385327,10091062.080000000074506
20140306,3361194.680000000167638,3455354.120000000111759,3348396.759999999776483,10164946.560000000521541
20140307,3376753.799999999813735,3484686.120000000111759,3345594.199999999720603,10207035.119999999180436
20140310,3381457.720000000204891,3472953.320000000298023,3335084.599999999627471,10189496.640000000596046
20140311,3382905.079999999608845,3413702.679999999701977,3460499.159999999683350,10257107.919999999925494
20140312,3386885.319999999832362,3397863.399999999906868,3458046.919999999459833,10242796.639999998733401
20140313,3365174.919999999925494,3368531.399999999906868,3411104.040000000037253,10144811.359999999403954
20140314,3358299.959999999962747,3332159.719999999739230,3418460.759999999776483,10108921.439999999478459
20140317,3398826.040000000037253,3377917.640000000130385,3419161.399999999441206,10195906.079999998211861
20140318,3399187.879999999888241,3406076.360000000335276,3409002.119999999646097,10214267.359999999403954
20140319,3386523.479999999981374,3420155.719999999739230,3366613.399999999441206,10173293.599999997764826
20140320,3405701.000000000000000,3526337.560000000055879,3384129.399999999441206,10316168.960000000894070
20140321,3471194.040000000037253,3529857.399999999906868,3344543.239999999757856,10345595.679999999701977
20140324,3444779.720000000204891,3582655.000000000000000,3369415.959999999962747,10396851.679999999701977
20140325,3523660.839999999850988,3574442.040000000037253,3359957.319999999832362,10458061.199999999254942
20140326,3511720.119999999646097,3514018.120000000111759,3357505.079999999608845,10383244.320000000298023
20140327,3520042.439999999944121,3515191.399999999906868,3368715.319999999832362,10403950.160000000149012
20140328,3525831.879999999888241,3522231.080000000074506,3406549.879999999422580,10454613.839999999850988
20140331,3554417.240000000223517,3561535.959999999962747,3434225.159999999683350,10550179.359999999403954
