代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10487989.620000001043081
真實報酬,487989.620000001043081

夏普值報酬,0.040098962000000
夏普值風險,0.023530409217008
夏普值,1.704133643838869

預期報酬,30227.313061923618079
風險,93620.782423262149678
趨勢值,0.322869690676853
找到最佳解世代,1912
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
MSFT[18](9),TRV[22](18),V[25](1),WBA[27](14),
Stock#,MSFT[18](9),TRV[22](18),V[25](1),WBA[27](14),
張數,97200,50782,144675,66720,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,16.000000000000000,2.140000000130385,16.000000000000000,1.600000000093132,
20091001,2418352.000000000000000,2476640.280000000260770,2500000.000000000000000,2548038.399999999906868,9943030.679999999701977
20091002,2426128.000000000000000,2490351.419999999925494,2452257.250000000000000,2538697.600000000093132,9907434.269999999552965
20091005,2395024.000000000000000,2487812.320000000298023,2465278.000000000000000,2549372.800000000279397,9897487.120000001043081
20091006,2440708.000000000000000,2515234.600000000093132,2469618.250000000000000,2556044.800000000279397,9981605.650000000372529
20091007,2439736.000000000000000,2484765.399999999906868,2563657.000000000000000,2610088.000000000000000,10098246.400000000372529
20091008,2495140.000000000000000,2455311.840000000316650,2594038.750000000000000,2644782.399999999906868,10189272.990000000223517
20091009,2483476.000000000000000,2478671.560000000055879,2638888.000000000000000,2632105.600000000093132,10233141.160000000149012
20091012,2500000.000000000000000,2479687.200000000186265,2666376.250000000000000,2600080.000000000000000,10246143.449999999254942
20091013,2508748.000000000000000,2438553.780000000260770,2701098.250000000465661,2553376.000000000465661,10201776.030000001192093
20091014,2523328.000000000000000,2471054.259999999776483,2705438.500000000000000,2585401.600000000093132,10285222.359999999403954
20091015,2596228.000000000000000,2465468.239999999757856,2715565.750000000000000,2657459.200000000186265,10434721.190000001341105
20091016,2575816.000000000000000,2471562.080000000074506,2686630.750000000000000,2693488.000000000000000,10427496.830000000074506
20091019,2562208.000000000000000,2478163.739999999757856,2711225.500000000000000,2693488.000000000000000,10445085.240000000223517
20091020,2563180.000000000000000,2460897.860000000335276,2714119.000000000000000,2672804.800000000279397,10411001.660000000149012
20091021,2583592.000000000000000,2438553.780000000260770,2719906.000000000000000,2630771.200000000186265,10372822.980000000447035
20091022,2584564.000000000000000,2625431.540000000502914,2737267.000000000465661,2634774.400000000372529,10582036.940000001341105
20091023,2723560.000000000000000,2605118.739999999757856,2680843.750000000000000,2605417.600000000093132,10614940.089999999850988
20091026,2787712.000000000000000,2602071.820000000298023,2633101.000000000000000,2595409.600000000093132,10618294.419999999925494
20091027,2778964.000000000000000,2593438.880000000353903,2673610.000000000000000,2515345.600000000093132,10561358.480000000447035
20091028,2723560.000000000000000,2564493.140000000130385,2769095.500000000000000,2474646.400000000372529,10531795.040000000968575
20091029,2743000.000000000000000,2636095.759999999776483,2795137.000000000000000,2562049.600000000093132,10736282.359999999403954
20091030,2695372.000000000000000,2528437.919999999925494,2740160.500000000000000,2524019.200000000186265,10487989.620000001043081
