代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10579399.250000000000000
真實報酬,579399.250000000000000

夏普值報酬,0.049239925000000
夏普值風險,0.019606570586829
夏普值,2.511399164985882

預期報酬,40536.267692539986456
風險,174524.950890442472883
趨勢值,0.232266317714001
找到最佳解世代,1692
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
GS[8](2),TRV[22](1),
Stock#,GS[8](2),TRV[22](1),
張數,43983,73249,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,12.559999999590218,23.259999999776483,
20121001,5139865.939999999478459,5059331.689999999478459,10199197.629999998956919
20121002,5157019.309999999590218,5032229.559999999590218,10189248.869999999180436
20121003,5186048.089999999850988,5054936.750000000000000,10240984.839999999850988
20121004,5273574.259999999776483,5074713.979999999515712,10348288.239999998360872
20121005,5247624.290000000037253,5095223.700000000186265,10342847.990000000223517
20121008,5254221.739999999292195,5093758.720000000670552,10347980.460000000894070
20121009,5261698.849999999627471,5077643.939999999478459,10339342.789999999105930
20121010,5281491.199999999254942,5083503.860000000335276,10364995.059999998658895
20121011,5365498.729999999515712,5065924.099999999627471,10431422.829999998211861
20121012,5286769.160000000149012,5033694.540000000037253,10320463.699999999254942
20121015,5475896.059999999590218,5112070.970000000670552,10587967.030000001192093
20121016,5419597.819999999366701,5163345.269999999552965,10582943.089999999850988
20121017,5494368.919999999925494,5228536.879999999888241,10722905.800000000745058
20121018,5504485.009999999776483,5416054.319999999366701,10920539.329999998211861
20121019,5437191.019999999552965,5384557.250000000000000,10821748.269999999552965
20121022,5399805.469999999739230,5419716.769999999552965,10819522.239999998360872
20121023,5233989.559999999590218,5375034.879999999888241,10609024.439999999478459
20121024,5267856.469999999739230,5360385.080000000074506,10628241.550000000745058
20121025,5265657.319999999366701,5282741.139999999664724,10548398.459999999031425
20121026,5253342.079999999143183,5241721.700000000186265,10495063.779999999329448
20121031,5383091.929999999701977,5196307.319999999366701,10579399.250000000000000
