代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10829183.070000000298023
真實報酬,829183.070000000298023

夏普值報酬,0.074218307000000
夏普值風險,0.025482865345617
夏普值,2.912478875251967

預期報酬,41230.252239789253508
風險,41011.727709140213847
趨勢值,1.005328342473130
找到最佳解世代,2421
找到最佳解實驗#,3
找到最佳解次數,41

stock[index](rank)
投資組合檔數,8
AAPL[0](25),DIS[6](1),NKE[19](18),PG[21](12),TRV[22](4),UNH[23](27),VZ[26](13),XOM[29](16),
Stock#,AAPL[0](25),DIS[6](1),NKE[19](18),PG[21](12),TRV[22](4),UNH[23](27),VZ[26](13),XOM[29](16),
張數,11332,12230,20328,17375,12559,10774,28729,16812,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,80.400000000139698,94.000000000000000,31.280000000027940,42.500000000000000,2.729999999981374,108.260000000009313,1.209999999962747,27.800000000046566,
20151001,1241840.960000000195578,1255748.100000000093132,1258741.040000000037253,1250173.750000000000000,1235054.790000000037253,1256464.399999999906868,1234199.050000000046566,1245124.520000000018626,9977346.610000001266599
20151002,1250906.560000000055879,1259784.000000000000000,1272767.360000000102445,1258340.000000000000000,1256279.500000000000000,1280382.679999999934807,1230751.570000000065193,1275722.359999999869615,10084934.029999999329448
20151005,1255439.360000000102445,1270179.500000000000000,1263213.199999999953434,1272240.000000000000000,1279262.469999999972060,1289217.360000000102445,1264077.209999999962747,1291357.520000000018626,10184986.620000001043081
20151006,1261445.320000000065193,1269201.099999999860302,1252236.080000000074506,1275367.500000000000000,1269340.859999999869615,1250430.959999999962747,1265800.949999999953434,1309514.479999999981374,10153337.250000000000000
20151007,1255439.360000000102445,1264553.699999999953434,1241055.679999999934807,1280927.500000000000000,1283155.760000000009313,1254525.080000000074506,1259767.860000000102445,1331538.200000000186265,10170963.140000000596046
20151008,1240934.400000000139698,1279474.300000000046566,1269718.160000000149012,1292742.500000000000000,1294710.040000000037253,1250754.179999999934807,1270684.879999999888241,1345492.160000000149012,10244510.620000001043081
20151009,1270624.240000000223517,1291092.800000000046566,1269921.439999999944121,1294132.500000000000000,1292826.189999999944121,1285123.239999999990687,1268673.849999999860302,1332546.920000000158325,10304941.179999999701977
20151012,1264731.600000000093132,1300754.500000000000000,1285167.439999999944121,1291526.250000000000000,1302622.209999999962747,1320031.000000000000000,1272695.909999999916181,1333219.399999999906868,10370748.310000000521541
20151013,1266884.680000000167638,1303689.699999999953434,1278865.760000000009313,1287703.750000000000000,1297473.020000000018626,1335976.520000000018626,1274419.649999999906868,1330865.719999999972060,10375878.800000000745058
20151014,1248980.120000000111759,1293171.900000000139698,1279069.040000000037253,1289441.250000000000000,1290691.159999999916181,1315290.439999999944121,1263789.919999999925494,1347677.719999999972060,10328111.550000000745058
20151015,1267677.920000000158325,1319588.699999999953434,1309154.480000000214204,1290483.750000000000000,1318195.369999999878928,1294819.840000000083819,1283325.639999999897555,1369869.560000000055879,10453115.260000001639128
20151016,1258385.680000000167638,1323869.199999999953434,1326230.000000000000000,1301430.000000000000000,1330000.830000000074506,1292772.780000000027940,1284187.510000000009313,1386681.560000000055879,10503557.560000000521541
20151019,1266204.760000000242144,1338912.100000000093132,1354079.360000000102445,1305947.500000000000000,1335275.609999999869615,1300853.280000000027940,1284187.510000000009313,1361631.679999999934807,10547091.800000000745058
20151020,1289322.040000000037253,1343437.199999999953434,1345541.600000000093132,1293263.750000000232831,1368305.780000000027940,1297513.340000000083819,1299701.169999999925494,1358941.760000000009313,10596026.640000000596046
20151021,1289208.720000000204891,1346494.699999999953434,1346558.000000000000000,1278668.750000000000000,1390284.030000000027940,1272625.399999999906868,1288784.149999999906868,1348518.319999999832362,10561142.070000000298023
20151022,1308926.400000000139698,1385141.500000000000000,1345948.159999999916181,1300561.250000000000000,1410629.609999999869615,1226297.199999999953434,1318375.020000000018626,1393574.479999999981374,10689453.620000001043081
20151023,1349494.960000000195578,1383184.699999999953434,1326839.839999999850988,1338438.750000000000000,1410127.250000000000000,1249030.340000000083819,1326131.849999999860302,1395087.560000000055879,10778335.250000000000000
20151026,1306433.360000000102445,1388443.599999999860302,1335377.600000000093132,1346431.250000000000000,1416281.159999999916181,1255602.479999999981374,1331877.649999999906868,1365498.439999999944121,10745945.540000000968575
20151027,1298161.000000000000000,1391501.099999999860302,1329685.760000000009313,1342956.250000000000000,1424318.919999999925494,1286200.640000000130385,1326419.139999999897555,1363312.880000000121072,10762555.690000001341105
20151028,1351648.040000000037253,1398472.199999999953434,1334564.480000000214204,1329403.750000000000000,1434994.070000000065193,1290617.979999999981374,1335325.129999999888241,1383319.160000000149012,10858344.810000002384186
20151029,1365926.360000000102445,1407033.200000000186265,1332734.959999999962747,1338265.000000000000000,1435370.840000000083819,1289863.800000000046566,1333026.809999999823049,1382478.560000000055879,10884699.530000001192093
20151030,1354254.400000000139698,1391134.199999999953434,1331921.839999999850988,1327145.000000000000000,1417788.239999999990687,1269069.979999999981374,1346816.729999999981374,1391052.679999999934807,10829183.070000000298023
