代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10462259.789999999105930
真實報酬,462259.789999999105930

夏普值報酬,0.037525979000000
夏普值風險,0.017269808409298
夏普值,2.172923874464983

預期報酬,26023.290982872193126
風險,73450.729102547251387
趨勢值,0.354295883796335
找到最佳解世代,2071
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
JPM[13](2),NKE[19](1),
Stock#,JPM[13](2),NKE[19](1),
張數,76010,98347,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,62.200000000186265,38.519999999552965,
20150601,5022803.000000000000000,5003933.879999999888241,10026736.879999998956919
20150602,5018242.399999999441206,5021636.339999999850988,10039878.739999998360872
20150603,5069929.200000000186265,5041305.739999999292195,10111234.939999999478459
20150604,5041805.500000000000000,5013768.579999999143183,10055574.079999998211861
20150605,5124656.400000000372529,5017702.459999999962747,10142358.859999999403954
20150608,5084371.100000000558794,4988198.359999999403954,10072569.460000000894070
20150609,5106414.000000000931323,4984264.479999999515712,10090678.480000000447035
20150610,5188504.800000000745058,5081628.009999999776483,10270132.810000000521541
20150611,5208267.399999999441206,5108181.699999999254942,10316449.099999997764826
20150612,5187744.700000000186265,5103264.349999999627471,10291009.050000000745058
20150615,5167982.099999999627471,5082611.479999999515712,10250593.579999998211861
20150616,5196865.900000000372529,5141619.679999999701977,10338485.580000000074506
20150617,5179383.600000000558794,5151454.379999999888241,10330837.980000000447035
20150618,5228030.000000000000000,5212429.519999999552965,10440459.519999999552965
20150619,5174823.000000000000000,5238983.209999999962747,10413806.210000000894070
20150622,5241711.799999999813735,5251768.319999999366701,10493480.119999999180436
20150623,5301759.700000000186265,5271437.719999999739230,10573197.419999999925494
20150624,5246272.399999999441206,5223247.689999999478459,10469520.089999999850988
20150625,5218148.700000000186265,5174074.189999999478459,10392222.890000000596046
20150626,5240951.700000000186265,5395354.939999999478459,10636306.640000000596046
20150629,5107934.200000000186265,5295041.000000000000000,10402975.199999999254942
20150630,5150499.800000000745058,5311759.989999999292195,10462259.789999999105930
