代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10533289.579999998211861
真實報酬,533289.579999998211861

夏普值報酬,0.044628958000000
夏普值風險,0.021855026171527
夏普值,2.042045507048803

預期報酬,37122.042674571792304
風險,91718.753902330761775
趨勢值,0.404737756403693
找到最佳解世代,1821
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](5),IBM[10](2),INTC[11](3),VZ[26](1),
Stock#,AAPL[0](5),IBM[10](2),INTC[11](3),VZ[26](1),
張數,26901,13791,80906,51093,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,90.069999999832362,105.429999999701977,4.600000000093132,19.510000000242144,
20140701,2515871.589999999850988,2570058.279999999795109,2506472.479999999981374,2522480.919999999925494,10114883.269999999552965
20140702,2514795.549999999813735,2598191.919999999459833,2506472.479999999981374,2537297.890000000130385,10156757.839999999850988
20140703,2529591.100000000093132,2600122.659999999683350,2519417.439999999944121,2539852.540000000502914,10188983.740000000223517
20140707,2581779.039999999571592,2593365.069999999366701,2510517.780000000260770,2541896.260000000242144,10227558.150000000372529
20140708,2565100.419999999459833,2582056.449999999720603,2491100.339999999850988,2491314.189999999944121,10129571.399999998509884
20140709,2566176.459999999962747,2598605.649999999441206,2499190.939999999944121,2498467.209999999962747,10162440.259999997913837
20140710,2556761.109999999869615,2588676.129999999422580,2529126.160000000149012,2536276.030000000260770,10210839.429999999701977
20140711,2561603.289999999571592,2592813.429999999701977,2528317.100000000093132,2571019.270000000484288,10253753.089999999850988
20140714,2594691.520000000018626,2618464.689999999944121,2547734.540000000037253,2581748.800000000279397,10342639.550000000745058
20140715,2564293.389999999664724,2599571.020000000018626,2565533.860000000335276,2590945.540000000502914,10320343.810000000521541
20140716,2549766.850000000093132,2652942.189999999944121,2803397.500000000000000,2603718.790000000502914,10609825.330000000074506
20140717,2504304.160000000149012,2654735.020000000018626,2726536.800000000279397,2571019.270000000484288,10456595.250000000000000
20140718,2540351.500000000000000,2654872.929999999701977,2726536.800000000279397,2592989.260000000242144,10514750.490000000223517
20140721,2527170.009999999776483,2632117.779999999795109,2755662.960000000428408,2590434.610000000335276,10505385.359999999403954
20140722,2548152.789999999571592,2676800.619999999646097,2814724.339999999850988,2604740.649999999906868,10644418.399999998509884
20140723,2614598.259999999776483,2670456.759999999776483,2791261.600000000093132,2601164.140000000130385,10677480.759999999776483
20140724,2610294.100000000093132,2692660.270000000018626,2771035.100000000093132,2608317.160000000149012,10682306.630000000819564
20140725,2627510.739999999757856,2681075.829999999608845,2771035.100000000093132,2620068.550000000279397,10699690.220000000670552
20140728,2663827.089999999850988,2700107.409999999683350,2769416.979999999981374,2635396.450000000186265,10768747.929999999701977
20140729,2646610.449999999720603,2683420.299999999813735,2766180.739999999757856,2655322.720000000204891,10751534.210000000894070
20140730,2640423.220000000204891,2675559.429999999701977,2779125.700000000186265,2644593.189999999944121,10739701.540000000968575
20140731,2571825.669999999459833,2643426.399999999441206,2741908.939999999944121,2576128.570000000298023,10533289.579999998211861
