代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10802765.569999998435378
真實報酬,802765.569999998435378

夏普值報酬,0.071576557000000
夏普值風險,0.022023155463349
夏普值,3.250059107974692

預期報酬,42660.202731707307976
風險,42659.848143469404022
趨勢值,1.000008311990158
找到最佳解世代,2036
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,8
AAPL[0](10),CAT[3](1),DD[7](4),IBM[10](21),JNJ[12](24),MCD[15](25),NKE[19](2),WMT[28](18),
Stock#,AAPL[0](10),CAT[3](1),DD[7](4),IBM[10](21),JNJ[12](24),MCD[15](25),NKE[19](2),WMT[28](18),
張數,21603,13796,30517,6797,19060,12458,51888,20917,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,50.419999999925494,82.400000000139698,23.679999999934807,167.640000000130385,45.199999999953434,88.860000000102445,18.080000000074506,0.080000000074506,
20120103,1269226.669999999925494,1296630.480000000214204,1294554.820000000065193,1266448.740000000223517,1255717.999999999767169,1231437.580000000074506,1255707.679999999934807,1261922.689999999944121,10131646.660000000149012
20120104,1275923.599999999860302,1308633.000000000000000,1301573.729999999981374,1261283.020000000018626,1248094.000000000000000,1238289.480000000214204,1274387.360000000102445,1248954.150000000139698,10157138.339999999850988
20120105,1290181.579999999841675,1317876.320000000065193,1309813.320000000065193,1255301.660000000149012,1246569.199999999953434,1243771.000000000000000,1273349.600000000093132,1242888.220000000204891,10179750.900000000372529
20120106,1303575.439999999944121,1321187.360000000102445,1317747.739999999990687,1240892.020000000018626,1235705.000000000000000,1253363.659999999916181,1271274.080000000074506,1234103.080000000074506,10177848.380000000819564
20120109,1301631.169999999925494,1339674.000000000000000,1317137.399999999906868,1234434.870000000111759,1237611.000000000000000,1241403.980000000214204,1275944.000000000000000,1237868.140000000130385,10185704.560000000521541
20120110,1306167.800000000046566,1379130.560000000055879,1346433.719999999972060,1232531.710000000195578,1242757.199999999953434,1242151.460000000195578,1277500.640000000130385,1234939.760000000009313,10261612.849999999627471
20120111,1304007.500000000000000,1374715.840000000083819,1365964.599999999860302,1239396.680000000167638,1241422.999999999767169,1245016.800000000279397,1273349.600000000093132,1242469.880000000121072,10286343.900000000372529
20120112,1300551.020000000018626,1406446.640000000130385,1415096.969999999972060,1227365.990000000223517,1243329.000000000000000,1252989.919999999925494,1285802.720000000204891,1244561.580000000074506,10376143.839999999850988
20120113,1295582.329999999841675,1413896.480000000214204,1391598.879999999888241,1217918.160000000149012,1243900.800000000046566,1250249.159999999916181,1275425.119999999878928,1245398.260000000009313,10333969.189999999478459
20120117,1310704.429999999934807,1426174.920000000158325,1418453.839999999850988,1223627.640000000130385,1241232.400000000139698,1252740.760000000009313,1287359.360000000102445,1251882.530000000027940,10412175.879999998956919
20120118,1324314.319999999832362,1438453.360000000102445,1440731.250000000000000,1230900.430000000167638,1244282.000000000000000,1265323.340000000083819,1308633.439999999944121,1255229.250000000000000,10507867.389999998733401
20120119,1320209.750000000000000,1459009.400000000139698,1433407.169999999925494,1227162.080000000307336,1242566.599999999860302,1261585.940000000176951,1317973.280000000027940,1267779.449999999953434,10529693.669999999925494
20120120,1297094.539999999804422,1457491.840000000083819,1451107.029999999795109,1281538.080000000307336,1244091.399999999906868,1267565.780000000027940,1320048.800000000046566,1276146.250000000000000,10595083.720000000670552
20120123,1319129.599999999860302,1467562.920000000158325,1438595.060000000055879,1291461.699999999953434,1238945.199999999953434,1257723.960000000195578,1317454.400000000139698,1274054.550000000046566,10604927.390000000596046
20120124,1297526.599999999860302,1466459.240000000223517,1450801.859999999869615,1304715.850000000093132,1238945.199999999953434,1230316.360000000102445,1325756.480000000214204,1284094.710000000195578,10598616.300000000745058
20120125,1378537.849999999860302,1504536.200000000186265,1466365.529999999795109,1303356.449999999953434,1243138.399999999906868,1236296.200000000186265,1338728.480000000214204,1285768.070000000065193,10756727.179999999701977
20120126,1372272.979999999981374,1535715.160000000149012,1452022.539999999804422,1298258.699999999953434,1252287.199999999953434,1235673.300000000279397,1327313.119999999878928,1275309.570000000065193,10748852.570000000298023
20120127,1380482.119999999878928,1535301.280000000260770,1454158.729999999981374,1294724.260000000242144,1249618.800000000046566,1229568.880000000121072,1324718.720000000204891,1269871.150000000139698,10738443.940000001341105
20120130,1398196.579999999841675,1523298.760000000009313,1442562.270000000018626,1308590.140000000130385,1252477.799999999813735,1229568.880000000121072,1341322.880000000121072,1282212.179999999934807,10778229.490000000223517
20120131,1408782.049999999813735,1505501.920000000158325,1456294.919999999925494,1309269.840000000083819,1256289.799999999813735,1234053.760000000009313,1349106.080000000074506,1283467.199999999953434,10802765.569999998435378
