代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10771222.759999999776483
真實報酬,771222.759999999776483

夏普值報酬,0.068422276000000
夏普值風險,0.023584727268960
夏普值,2.901126445928856

預期報酬,26916.653154486553831
風險,124161.043557814773521
趨勢值,0.216788232308574
找到最佳解世代,2218
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
VZ[26](2),WBA[27](3),WMT[28](1),
Stock#,VZ[26](2),WBA[27](3),WMT[28](1),
張數,62433,45724,35494,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,35.129999999888241,53.399999999906868,91.459999999962747,
20181001,3361427.850000000093132,3313214.439999999478459,3350725.060000000055879,10025368.349999999627471
20181002,3397638.990000000223517,3360310.159999999683350,3377345.560000000055879,10135295.710000000894070
20181003,3389522.699999999720603,3374484.599999999627471,3339012.039999999571592,10103020.339999997988343
20181004,3435098.790000000037253,3353451.560000000055879,3343981.199999999720603,10132532.549999998882413
20181005,3430104.149999999906868,3315500.640000000130385,3312036.600000000093132,10057642.390000000596046
20181008,3435098.790000000037253,3390488.000000000000000,3361018.319999999832362,10186606.109999999403954
20181009,3433225.799999999813735,3363510.839999999850988,3445848.979999999981374,10242586.619999999180436
20181010,3392020.019999999552965,3306355.839999999850988,3398996.900000000372529,10097373.759999999776483
20181011,3329587.019999999552965,3241885.000000000000000,3333687.939999999944121,9905160.959999999031425
20181012,3354560.219999999739230,3360767.399999999906868,3365277.600000000093132,10080606.219999998807907
20181015,3346443.930000000167638,3416550.679999999701977,3330138.539999999571592,10093134.149999998509884
20181016,3352687.229999999981374,3487880.120000000111759,3400771.600000000093132,10241339.949999999254942
20181017,3368919.810000000055879,3519886.919999999925494,3427392.100000000093132,10316199.830000000074506
20181018,3411998.579999999608845,3501597.319999999832362,3413549.439999999944121,10327146.339999999850988
20181019,3427606.829999999608845,3536804.799999999813735,3448333.560000000055879,10412746.189999999478459
20181022,3432601.469999999739230,3550522.000000000000000,3447978.620000000111759,10431103.089999999850988
20181023,3571827.060000000055879,3532689.640000000130385,3471404.659999999683350,10575922.359999999403954
20181024,3584937.990000000223517,3392774.200000000186265,3462886.100000000093132,10440599.290000000968575
20181025,3523129.319999999832362,3463189.159999999683350,3520386.380000000353903,10506705.859999999403954
20181026,3465690.959999999962747,3485593.919999999925494,3511867.819999999832362,10463153.699999999254942
20181029,3526250.969999999739230,3512571.079999999608845,3542392.659999999683350,10581215.709999999031425
20181030,3632387.069999999832362,3603104.599999999627471,3635386.939999999944121,10870879.609999999403954
20181031,3564335.100000000093132,3647456.879999999888241,3559429.779999999795109,10771222.759999999776483
