代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10939687.000000000000000
真實報酬,939687.000000000000000

夏普值報酬,0.085268700000000
夏普值風險,0.026738875548460
夏普值,3.188941129759359

預期報酬,50631.843773386048269
風險,90201.166036540351342
趨勢值,0.561321388604613
找到最佳解世代,2002
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MSFT[18](1),VZ[26](2),
Stock#,MSFT[18](1),VZ[26](2),
張數,239348,182748,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,20.280000000260770,14.719999999739230,
20090601,5122067.479999999515712,4998172.519999999552965,10120240.000000000000000
20090602,5122067.479999999515712,5052996.919999999925494,10175064.399999998509884
20090603,5201052.320000000298023,5054824.399999999441206,10255876.719999998807907
20090604,5224987.120000000111759,5052996.919999999925494,10277984.039999999105930
20090605,5299185.000000000000000,4998172.519999999552965,10297357.519999999552965
20090608,5277643.680000000633299,5001827.479999999515712,10279471.160000000149012
20090609,5284824.120000000111759,5027412.200000000186265,10312236.320000000298023
20090610,5397317.680000000633299,5045687.000000000000000,10443004.679999999701977
20090611,5464335.120000000111759,5082236.599999999627471,10546571.719999998807907
20090612,5584009.120000000111759,5111476.279999999329448,10695485.399999998509884
20090615,5605550.440000000409782,5080409.120000000111759,10685959.560000000521541
20090616,5612730.879999999888241,5047514.479999999515712,10660245.359999999403954
20090617,5667780.919999999925494,5087719.040000000037253,10755499.960000000894070
20090618,5624698.280000000260770,5140715.959999999962747,10765414.240000000223517
20090619,5761126.640000000596046,5067616.759999999776483,10828743.400000000372529
20090622,5572041.720000000670552,5129751.080000000074506,10701792.800000000745058
20090623,5586402.600000000558794,5213815.160000000149012,10800217.760000001639128
20090624,5617517.839999999850988,5263157.120000000111759,10880674.960000000894070
20090625,5694109.200000000186265,5312499.080000000074506,11006608.280000001192093
20090626,5588796.080000001005828,5294224.279999999329448,10883020.359999999403954
20090629,5710863.560000000521541,5358186.080000000074506,11069049.640000000596046
20090630,5689322.240000000223517,5250364.759999999776483,10939687.000000000000000
