代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10451904.560000002384186
真實報酬,451904.560000002384186

夏普值報酬,0.036490456000000
夏普值風險,0.013461375388154
夏普值,2.710752426688187

預期報酬,20431.099509881449194
風險,40215.383493296103552
趨勢值,0.508041891812055
找到最佳解世代,3582
找到最佳解實驗#,5
找到最佳解次數,27

stock[index](rank)
投資組合檔數,4
INTC[11](5),KO[14](14),PFE[20](3),VZ[26](17),
Stock#,INTC[11](5),KO[14](14),PFE[20](3),VZ[26](17),
張數,93005,71571,118315,65599,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,25.600000000093132,24.970000000204891,4.050000000279397,22.109999999869615,
20120301,2498139.899999999906868,2490695.770000000018626,2542593.399999999906868,2520991.679999999701977,10052420.750000000000000
20120302,2503720.200000000186265,2475665.860000000335276,2533128.200000000186265,2536735.439999999944121,10049249.700000001117587
20120305,2468378.299999999813735,2477812.990000000223517,2543776.550000000279397,2558383.109999999869615,10048350.949999999254942
20120306,2474888.649999999906868,2460635.950000000186265,2516564.100000000093132,2538047.419999999925494,9990136.119999999180436
20120307,2502790.149999999906868,2462067.370000000111759,2528395.600000000558794,2549855.239999999757856,10043108.359999999403954
20120308,2496279.800000000279397,2479244.410000000149012,2539043.950000000186265,2572814.889999999664724,10087383.050000000745058
20120309,2517670.950000000186265,2487832.930000000167638,2541410.250000000465661,2564943.009999999776483,10111857.140000000596046
20120312,2510230.549999999813735,2510735.649999999906868,2548509.150000000372529,2579374.790000000037253,10148850.140000000596046
20120313,2556733.049999999813735,2514314.200000000186265,2604117.200000000651926,2589870.629999999888241,10265035.080000001937151
20120314,2553942.900000000372529,2512882.780000000260770,2594652.000000000465661,2589214.639999999664724,10250692.320000000298023
20120315,2580914.350000000093132,2517177.040000000502914,2592285.700000000186265,2593806.569999999832362,10284183.660000000149012
20120316,2579054.250000000000000,2510735.649999999906868,2595835.150000000372529,2595774.540000000037253,10281399.589999999850988
20120319,2579984.299999999813735,2519324.170000000391155,2588736.250000000000000,2601022.459999999962747,10289067.179999999701977
20120320,2580914.350000000093132,2526481.270000000018626,2579271.050000000279397,2599710.479999999981374,10286377.150000000372529
20120321,2583704.500000000000000,2545089.730000000447035,2575721.600000000093132,2609550.330000000074506,10314066.160000000149012
20120322,2594865.100000000093132,2555825.380000000353903,2570989.000000000465661,2601678.449999999720603,10323357.929999999701977
20120323,2593005.000000000000000,2557972.510000000242144,2581637.350000000093132,2585934.689999999944121,10318549.549999998882413
20120326,2621836.550000000279397,2573002.420000000391155,2621864.450000000186265,2580030.779999999795109,10396734.200000001117587
20120327,2621836.550000000279397,2572286.709999999962747,2662091.550000000279397,2536079.449999999720603,10392294.259999999776483
20120328,2585564.600000000093132,2600199.399999999906868,2651443.200000000186265,2509839.849999999627471,10347047.050000000745058
20120329,2619046.399999999906868,2641710.580000000074506,2652626.350000000558794,2497376.040000000037253,10410759.370000001043081
20120330,2615326.200000000186265,2648867.680000000167638,2679838.800000000279397,2507871.879999999888241,10451904.560000002384186
