代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10741332.380000000819564
真實報酬,741332.380000000819564

夏普值報酬,0.065433238000000
夏普值風險,0.025617062574746
夏普值,2.554283412045300

預期報酬,42959.699264808383305
風險,105155.680528286466142
趨勢值,0.408534270797215
找到最佳解世代,2662
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
CSCO[4](5),DD[7](2),MMM[16](1),WMT[28](14),
Stock#,CSCO[4](5),DD[7](2),MMM[16](1),WMT[28](14),
張數,105086,41799,16556,37673,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,4.060000000055879,1.810000000055879,44.000000000000000,19.720000000204891,
20160201,2467423.340000000316650,2534693.169999999925494,2462417.879999999888241,2542947.220000000204891,10007481.609999999403954
20160202,2399117.439999999944121,2680571.679999999701977,2448179.720000000204891,2518836.500000000000000,10046705.339999999850988
20160203,2427490.660000000149012,2782143.250000000000000,2525165.120000000111759,2496609.430000000167638,10231408.460000000894070
20160204,2473728.500000000000000,2821016.319999999832362,2540396.640000000130385,2502260.380000000353903,10337401.840000001713634
20160205,2405422.600000000093132,2779217.319999999832362,2540893.319999999832362,2524110.720000000204891,10249643.960000000894070
20160208,2409626.040000000037253,2752047.970000000204891,2548012.399999999906868,2520343.420000000391155,10230029.830000000074506
20160209,2380201.959999999962747,2773783.450000000186265,2561919.439999999944121,2479279.850000000093132,10195184.699999999254942
20160210,2365489.920000000391155,2747868.069999999832362,2524006.199999999720603,2478526.390000000596046,10115890.580000000074506
20160211,2593526.540000000037253,2666778.009999999776483,2494536.520000000018626,2460820.080000000074506,10215661.150000000372529
20160212,2638713.520000000018626,2738672.290000000037253,2549005.760000000242144,2493218.860000000335276,10419610.429999999701977
20160216,2715426.299999999813735,2787577.120000000111759,2574998.680000000167638,2482670.420000000391155,10560672.519999999552965
20160217,2780579.620000000111759,2856545.470000000204891,2593044.720000000204891,2490581.750000000000000,10720751.560000000521541
20160218,2777427.040000000037253,2831466.069999999832362,2595693.680000000167638,2415612.480000000447035,10620199.269999999552965
20160219,2790037.360000000335276,2802624.759999999776483,2590230.199999999720603,2435955.899999999906868,10618848.220000000670552
20160222,2798444.239999999757856,2850693.610000000335276,2610925.199999999720603,2472498.709999999962747,10732561.759999997913837
20160223,2744850.380000000353903,2796354.910000000149012,2585594.520000000018626,2504520.760000000242144,10631320.570000000298023
20160224,2765867.580000000074506,2808894.610000000335276,2602978.319999999832362,2528631.480000000447035,10706371.990000000223517
20160225,2795291.660000000149012,2863233.310000000055879,2632282.439999999944121,2563290.640000000596046,10854098.050000000745058
20160226,2775325.320000000298023,2901270.399999999906868,2620362.120000000111759,2505650.950000000186265,10802608.790000000968575
20160229,2751155.540000000037253,2893746.580000000074506,2597183.720000000204891,2499246.540000000502914,10741332.380000000819564
