代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10769647.390000000596046
真實報酬,769647.390000000596046

夏普值報酬,0.068264739000000
夏普值風險,0.027178006414117
夏普值,2.511764033013882

預期報酬,48710.408780487829063
風險,119148.785037736452068
趨勢值,0.408820020825730
找到最佳解世代,1603
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
BA[2](4),MRK[17](2),UNH[23](1),
Stock#,BA[2](4),MRK[17](2),UNH[23](1),
張數,25644,58695,32973,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,125.880000000353903,43.950000000186265,92.429999999701977,
20150102,3332563.680000000167638,3356811.000000000000000,3323111.369999999646097,10012487.049999998882413
20150105,3309484.080000000540167,3406701.750000000000000,3268376.189999999944121,9984563.019999999552965
20150106,3270505.200000000186265,3540526.350000000093132,3261781.589999999850988,10072814.140000000596046
20150107,3321280.320000000298023,3616242.900000000372529,3295084.319999999832362,10232608.540000000968575
20150108,3380005.080000000540167,3689024.700000000186265,3452365.529999999795109,10521396.310000000521541
20150109,3373337.640000000130385,3672003.150000000372529,3420051.989999999757856,10465393.780000001192093
20150112,3356156.160000000614673,3656742.450000000186265,3381473.579999999608845,10394373.190000001341105
20150113,3363849.359999999869615,3650286.000000000000000,3398619.539999999571592,10412755.899999998509884
20150114,3343590.600000000093132,3676698.750000000000000,3407192.519999999552965,10427482.869999999180436
20150115,3337436.040000000037253,3632090.550000000279397,3444452.009999999310821,10413979.599999999627471
20150116,3353848.200000000186265,3699589.800000000279397,3487646.639999999664724,10541085.640000000596046
20150120,3365131.560000000521541,3674937.900000000372529,3482700.689999999944121,10522771.150000000372529
20150121,3395647.920000000391155,3648525.149999999906868,3604700.789999999571592,10648874.859999999403954
20150122,3478478.040000000037253,3673764.000000000465661,3754068.479999999515712,10906311.519999999552965
20150123,3452321.160000000614673,3667894.500000000465661,3693068.429999999701977,10813285.089999999850988
20150126,3438216.959999999962747,3687263.850000000093132,3680208.959999999497086,10805690.769999999552965
20150127,3397443.000000000000000,3672003.150000000372529,3627452.159999999683350,10696899.310000000521541
20150128,3581054.040000000037253,3606851.700000000186265,3576344.009999999310821,10764250.750000000000000
20150129,3789796.200000000186265,3644416.500000000465661,3607008.899999999906868,11041222.600000001490116
20150130,3727994.160000000614673,3538178.550000000279397,3503473.679999999701977,10769647.390000000596046
