代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10760455.759999999776483
真實報酬,760455.759999999776483

夏普值報酬,0.067345576000000
夏普值風險,0.024910293467645
夏普值,2.703523990493002

預期報酬,38253.928568408315186
風險,72452.221678861125838
趨勢值,0.527988344345959
找到最佳解世代,2070
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](10),DD[7](1),XOM[29](2),
Stock#,AAPL[0](10),DD[7](1),XOM[29](2),
張數,41960,59919,35658,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,30.600000000093132,39.029999999795109,23.159999999683350,
20131202,3304380.600000000093132,3411826.889999999664724,3334759.319999999366701,10050967.809999998658895
20131203,3394594.600000000558794,3303972.689999999944121,3365781.779999999795109,10064350.070000000298023
20131204,3386622.199999999720603,3318353.250000000000000,3375766.019999999552965,10080742.469999998807907
20131205,3404245.399999999906868,3294385.649999999441206,3356510.699999999720603,10055142.749999998137355
20131206,3356830.600000000093132,3350709.509999999776483,3410710.859999999869615,10118251.969999998807907
20131209,3395433.800000000279397,3481332.929999999701977,3417485.879999999888241,10294253.609999999403954
20131210,3389979.000000000465661,3565219.529999999795109,3412850.339999999385327,10368049.869999999180436
20131211,3364803.000000000000000,3502903.770000000018626,3361146.239999999757856,10228854.009999999776483
20131212,3360187.399999999906868,3478336.979999999515712,3400370.039999999571592,10238895.419999998062849
20131213,3323262.600000000093132,3543049.500000000000000,3398587.139999999664724,10264900.239999998360872
20131216,3341725.000000000000000,3549640.589999999850988,3466693.919999999459833,10358060.509999999776483
20131217,3326619.400000000372529,3601170.929999999701977,3449934.659999999683350,10377725.990000000223517
20131218,3301443.400000000372529,3712620.270000000018626,3549420.479999999981374,10563485.150000000372529
20131219,3263679.400000000372529,3746174.910000000149012,3545498.100000000093132,10555353.410000000149012
20131220,3290953.400000000372529,3735988.679999999701977,3518754.600000000093132,10545697.679999999701977
20131223,3417253.000000000000000,3744377.339999999850988,3512692.739999999757856,10674324.080000000074506
20131224,3402986.599999999627471,3790514.969999999739230,3538009.919999999459833,10731512.489999998360872
20131226,3380328.200000000186265,3827664.750000000000000,3597915.359999999869615,10805909.310000000521541
20131227,3357250.200000000186265,3805494.719999999739230,3619666.739999999757856,10782412.660000000149012
20131230,3324101.799999999813735,3805494.719999999739230,3576877.139999999664724,10706474.660000000149012
20131231,3363124.600000000558794,3788717.399999999441206,3608612.759999999776483,10760455.759999999776483
