代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10329206.809999998658895
真實報酬,329206.809999998658895

夏普值報酬,0.024220681000000
夏普值風險,0.013673304640420
夏普值,1.771384580169506

預期報酬,22949.265732793515781
風險,96118.801345592510188
趨勢值,0.238759383299840
找到最佳解世代,2061
找到最佳解實驗#,3
找到最佳解次數,23

stock[index](rank)
投資組合檔數,3
MCD[15](5),TRV[22](15),UNH[23](1),
Stock#,MCD[15](5),TRV[22](15),UNH[23](1),
張數,53384,66853,109361,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,36.040000000037253,42.419999999925494,9.719999999739230,
20100104,3351483.560000000055879,3329990.350000000093132,3448162.049999999813735,10129636.960000000894070
20100105,3325859.239999999757856,3251103.810000000055879,3442694.000000000000000,10019658.050000000745058
20100106,3280482.840000000316650,3204975.239999999757856,3476595.909999999683350,9962054.990000000223517
20100107,3304505.640000000130385,3251103.810000000055879,3610016.329999999608845,10165626.779999999329448
20100108,3301302.600000000093132,3246424.100000000093132,3576114.419999999925494,10123842.120000001043081
20100111,3326926.919999999925494,3245087.040000000037253,3600173.839999999850988,10172188.800000000745058
20100112,3345077.479999999981374,3265811.470000000204891,3505029.769999999552965,10115919.719999998807907
20100113,3341340.600000000093132,3277176.479999999981374,3558616.659999999683350,10177134.740000000223517
20100114,3344543.640000000130385,3294558.259999999776483,3643918.239999999757856,10283021.140000000596046
20100115,3324791.560000000055879,3261800.290000000037253,3690943.469999999739230,10277536.320000000298023
20100119,3388852.359999999869615,3304586.209999999962747,3841861.649999999906868,10535301.220000000670552
20100120,3363761.879999999888241,3271159.709999999962747,3778432.269999999552965,10413354.859999999403954
20100121,3373904.840000000316650,3272496.770000000018626,3619858.819999999832362,10266261.429999999701977
20100122,3384047.800000000279397,3229710.850000000093132,3626420.479999999515712,10240180.129999998956919
20100125,3368032.600000000093132,3268485.589999999850988,3608922.719999999739230,10245441.910000000149012
20100126,3406469.080000000074506,3358068.609999999869615,3547680.559999999590218,10312219.250000000000000
20100127,3402198.359999999869615,3402860.119999999646097,3635169.359999999869615,10440228.839999999850988
20100128,3354152.759999999776483,3360742.729999999981374,3655947.949999999720603,10370844.439999999478459
20100129,3332799.160000000149012,3387483.930000000167638,3608922.719999999739230,10329206.809999998658895
