代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10430688.859999999403954
真實報酬,430688.859999999403954

夏普值報酬,0.034368886000000
夏普值風險,0.013113544688963
夏普值,2.620869247422283

預期報酬,24994.828554655876360
風險,33163.779460234007274
趨勢值,0.753678530054955
找到最佳解世代,2623
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
HD[9](3),MCD[15](6),MRK[17](5),PFE[20](14),VZ[26](2),WBA[27](23),
Stock#,HD[9](3),MCD[15](6),MRK[17](5),PFE[20](14),VZ[26](2),WBA[27](23),
張數,29368,18624,38714,69851,38813,46606,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,32.000000000000000,4.239999999990687,28.300000000046566,21.140000000130385,35.780000000027940,35.440000000176951,
20120904,1667840.719999999972060,1658471.439999999944121,1674408.800000000046566,1661077.920000000158325,1696163.880000000121072,1663869.640000000363216,10021836.400000000372529
20120905,1660498.719999999972060,1658657.679999999934807,1681764.459999999962747,1670857.060000000288710,1700045.179999999934807,1672258.720000000204891,10044085.820000000298023
20120906,1693097.199999999953434,1688642.320000000065193,1712735.660000000149012,1700194.480000000214204,1713629.729999999981374,1640566.640000000363216,10148870.030000001192093
20120907,1681643.679999999934807,1695160.719999999972060,1705380.000000000000000,1693209.380000000121072,1696940.139999999897555,1628449.080000000074506,10100787.000000000000000
20120910,1682818.399999999906868,1700375.439999999944121,1713509.939999999944121,1683430.240000000223517,1710136.560000000055879,1637770.280000000260770,10128044.859999999403954
20120911,1665784.959999999962747,1698513.040000000037253,1716219.919999999925494,1688319.810000000288710,1717122.900000000139698,1636372.100000000093132,10122336.730000000447035
20120912,1675476.399999999906868,1691435.919999999925494,1723962.720000000204891,1681334.710000000195578,1742351.350000000093132,1648023.600000000093132,10162588.699999999254942
20120913,1712186.399999999906868,1705403.919999999925494,1728995.539999999804422,1693907.890000000130385,1769132.320000000065193,1678783.560000000288710,10288413.630000000819564
20120914,1746253.280000000027940,1707825.040000000037253,1688732.979999999981374,1662474.940000000176951,1728378.670000000158325,1678783.560000000288710,10212452.470000002533197
20120917,1730100.879999999888241,1716019.600000000093132,1703444.300000000046566,1677842.160000000149012,1730319.320000000065193,1663869.640000000363216,10221599.900000000372529
20120918,1728632.479999999981374,1733526.159999999916181,1706541.419999999925494,1677143.650000000139698,1743127.609999999869615,1662005.399999999906868,10250980.720000000670552
20120919,1746546.959999999962747,1728870.159999999916181,1723188.439999999944121,1687621.300000000046566,1757100.290000000037253,1668996.300000000279397,10312327.450000001117587
20120920,1740967.040000000037253,1734829.840000000083819,1737899.760000000009313,1705084.050000000046566,1765639.150000000139698,1656878.739999999990687,10341302.580000000074506
20120921,1745078.560000000055879,1745259.279999999795109,1738674.039999999804422,1712767.660000000149012,1771461.100000000093132,1636372.100000000093132,10349616.740000000223517
20120924,1744197.520000000018626,1745259.279999999795109,1747578.260000000009313,1728833.390000000130385,1773013.620000000111759,1662471.460000000195578,10401357.530000001192093
20120925,1753888.959999999962747,1729428.879999999888241,1746416.840000000083819,1735119.980000000214204,1770684.839999999850988,1681113.860000000102445,10416657.359999999403954
20120926,1737736.560000000055879,1735761.040000000037253,1742545.439999999944121,1734421.469999999972060,1769520.450000000186265,1669462.360000000102445,10389451.320000000298023
20120927,1758587.840000000083819,1737064.719999999972060,1751062.520000000018626,1743502.100000000093132,1776118.659999999916181,1705815.040000000270084,10472154.880000000819564
20120928,1772978.159999999916181,1708756.239999999990687,1746029.700000000186265,1735818.490000000223517,1768744.189999999944121,1698358.080000000074506,10430688.859999999403954
