代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10639752.539999999105930
真實報酬,639752.539999999105930

夏普值報酬,0.055275254000000
夏普值風險,0.022169617311624
夏普值,2.493288595063714

預期報酬,31454.591573542729748
風險,62171.781203479557007
趨勢值,0.505930358832671
找到最佳解世代,2201
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
MCD[15](1),PFE[20](2),VZ[26](3),
Stock#,MCD[15](1),PFE[20](2),VZ[26](3),
張數,34896,166085,88347,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,67.080000000074506,7.049999999813735,0.690000000409782,
20111201,3332635.080000000074506,3326689.600000000093132,3336866.880000000819564,9996192.560000000521541
20111202,3339614.280000000260770,3303437.699999999720603,3343934.640000000596046,9986987.620000001043081
20111205,3327400.679999999701977,3295133.449999999720603,3361604.040000000037253,9984139.169999998062849
20111206,3350432.040000000037253,3359906.600000000093132,3385457.730000000447035,10095797.370000001043081
20111207,3365786.280000000260770,3399766.999999999534339,3384574.260000000707805,10150128.539999999105930
20111208,3382187.399999999906868,3353263.200000000186265,3340400.760000000707805,10075852.359999999403954
20111209,3420921.959999999962747,3414714.649999999441206,3395175.900000000372529,10230813.509999999776483
20111212,3436625.160000000149012,3386480.199999999720603,3388108.140000000596046,10211214.500000000000000
20111213,3419875.080000000074506,3447931.649999999906868,3380156.910000000149012,10247964.640000000596046
20111214,3406265.640000000130385,3464540.149999999906868,3380156.910000000149012,10250963.699999999254942
20111215,3424760.520000000018626,3511043.949999999720603,3394292.430000000633299,10330097.900000000372529
20111216,3402078.120000000111759,3492774.600000000093132,3426097.350000000558794,10320951.070000000298023
20111219,3393354.120000000111759,3511043.949999999720603,3412845.300000000745058,10317244.370000001043081
20111220,3448489.799999999813735,3564191.149999999906868,3464086.560000000521541,10476768.509999999776483
20111221,3461750.280000000260770,3600729.849999999627471,3465853.500000000000000,10528334.629999998956919
20111222,3440812.679999999701977,3592425.599999999627471,3471154.320000000298023,10504393.599999999627471
20111223,3494901.480000000447035,3625642.599999999627471,3532113.750000000000000,10652658.830000000074506
20111227,3508859.879999999888241,3615677.499999999534339,3532997.220000000670552,10657535.599999999627471
20111228,3475010.760000000242144,3575817.100000000093132,3512677.410000000149012,10563506.269999999552965
20111229,3517932.840000000316650,3605712.399999999906868,3538298.040000000037253,10661944.280000001192093
20111230,3501182.760000000242144,3594086.449999999720603,3544482.330000000074506,10639752.539999999105930
