代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10341739.849999999627471
真實報酬,341739.849999999627471

夏普值報酬,0.025473985000000
夏普值風險,0.014801976929431
夏普值,1.720985319829162

預期報酬,24784.160909407659346
風險,102669.873537265564664
趨勢值,0.241396624496785
找到最佳解世代,2000
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
DIS[6](5),HD[9](4),JPM[13](2),V[25](1),
Stock#,DIS[6](5),HD[9](4),JPM[13](2),V[25](1),
張數,21979,20219,38910,32224,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,108.540000000037253,122.839999999850988,32.500000000000000,62.080000000074506,
20151102,2528572.700000000186265,2515568.629999999888241,2550193.900000000372529,2423951.359999999869615,10018286.589999999850988
20151103,2539562.200000000186265,2540842.379999999888241,2559532.299999999813735,2510311.680000000167638,10150248.560000000521541
20151104,2489230.290000000037253,2535181.059999999590218,2562256.000000000000000,2524812.479999999981374,10111479.830000000074506
20151105,2483735.540000000037253,2542055.520000000018626,2585212.899999999906868,2554136.320000000298023,10165140.280000001192093
20151106,2542419.470000000204891,2547312.459999999962747,2663811.099999999627471,2537702.080000000074506,10291245.109999999403954
20151109,2558903.720000000204891,2517388.339999999850988,2622177.399999999906868,2514823.040000000502914,10213292.500000001862645
20151110,2580882.720000000204891,2532754.779999999795109,2633461.300000000279397,2561225.600000000093132,10308324.400000000372529
20151111,2561101.620000000111759,2521634.329999999608845,2620621.000000000000000,2551558.400000000372529,10254915.349999999627471
20151112,2554288.129999999888241,2503437.229999999981374,2568092.500000000000000,2523523.520000000018626,10149341.379999998956919
20151113,2524176.899999999906868,2426402.839999999850988,2550972.100000000093132,2517078.720000000204891,10018630.560000000521541
20151116,2547914.220000000204891,2443386.799999999813735,2587936.600000000093132,2542535.680000000167638,10121773.299999998882413
20151117,2552529.810000000055879,2551356.259999999776483,2573150.799999999813735,2540280.000000000000000,10217316.870000001043081
20151118,2596707.600000000093132,2558635.100000000093132,2624512.000000000000000,2592805.119999999646097,10372659.820000000298023
20151119,2609235.629999999888241,2565105.179999999701977,2632683.100000000093132,2582815.680000000167638,10389839.589999999850988
20151120,2639127.069999999832362,2632838.830000000074506,2628013.900000000372529,2584104.640000000130385,10484084.440000001341105
20151123,2624840.720000000204891,2679140.339999999850988,2602333.299999999813735,2581526.720000000204891,10487841.080000000074506
20151124,2592531.590000000316650,2701381.239999999757856,2598442.299999999813735,2571215.040000000502914,10463570.169999999925494
20151125,2608356.470000000204891,2722611.189999999944121,2601555.100000000093132,2563803.520000000018626,10496326.279999999329448
20151127,2530550.810000000055879,2724430.899999999906868,2613617.200000000186265,2572826.240000000223517,10441425.150000000372529
20151130,2494065.669999999925494,2707042.559999999590218,2594551.300000000279397,2546080.320000000298023,10341739.849999999627471
