代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10761927.719999998807907
真實報酬,761927.719999998807907

夏普值報酬,0.067492772000000
夏普值風險,0.025957777004274
夏普值,2.600098305370584

預期報酬,37423.162527752057940
風險,76237.057493916305248
趨勢值,0.490878894830620
找到最佳解世代,2409
找到最佳解實驗#,1
找到最佳解次數,31

stock[index](rank)
投資組合檔數,3
AAPL[0](2),MSFT[18](9),PG[21](1),
Stock#,AAPL[0](2),MSFT[18](9),PG[21](1),
張數,48940,100160,44097,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,29.600000000093132,8.199999999720603,40.770000000018626,
20131001,3411637.000000000000000,3363380.999999999534339,3358468.290000000037253,10133487.289999999105930
20131002,3422893.200000000186265,3397435.399999999906868,3348325.980000000447035,10168655.580000000074506
20131003,3379826.000000000000000,3391425.799999999813735,3344357.250000000000000,10115610.050000000745058
20131004,3376889.600000000093132,3393429.000000000000000,3352294.709999999962747,10122614.309999998658895
20131007,3410168.800000000279397,3335336.199999999254942,3335978.820000000298023,10081484.820000000298023
20131008,3362697.000000000000000,3306289.799999999348074,3365964.779999999795109,10034952.579999998211861
20131009,3401849.000000000465661,3312299.399999999906868,3393304.919999999925494,10107454.320000000298023
20131010,3423382.600000000093132,3381409.799999999348074,3434756.100000000093132,10239549.500000000000000
20131011,3445405.600000000558794,3418469.000000000000000,3460773.330000000074506,10324648.929999999701977
20131014,3467918.000000000000000,3450520.200000000186265,3472238.549999999813735,10390677.750000000000000
20131015,3486515.199999999720603,3454526.600000000093132,3421967.969999999739230,10363010.769999999552965
20131016,3503644.200000000186265,3469550.599999999627471,3454599.750000000000000,10427795.550000000745058
20131017,3527135.399999999906868,3497595.399999999906868,3502224.510000000242144,10526956.310000000521541
20131018,3557967.600000000093132,3501601.799999999813735,3501783.540000000037253,10561353.940000001341105
20131021,3645080.800000000279397,3504606.600000000093132,3482380.859999999869615,10632069.259999999776483
20131022,3634803.399999999906868,3463540.999999999534339,3544557.629999999888241,10642903.029999999329448
20131023,3670040.199999999720603,3381409.799999999348074,3567929.040000000037253,10619380.039999999105930
20131024,3718980.199999999720603,3377403.399999999441206,3554699.939999999944121,10651084.539999999105930
20131025,3677381.200000000186265,3578724.999999999534339,3527800.770000000018626,10783907.969999998807907
20131028,3704787.600000000093132,3562699.399999999906868,3585126.870000000111759,10852614.870000001043081
20131029,3612291.000000000000000,3557691.399999999906868,3636279.389999999664724,10806262.789999999105930
20131030,3670040.199999999720603,3559694.599999999627471,3594828.209999999962747,10824564.009999997913837
20131031,3654379.400000000372529,3546673.799999999348074,3560873.520000000018626,10761927.719999998807907
