代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10776793.759999999776483
真實報酬,776793.759999999776483

夏普值報酬,0.068979376000000
夏普值風險,0.025012081215774
夏普值,2.757842316476149

預期報酬,43244.713797909382265
風險,94285.320468231308041
趨勢值,0.458657971178879
找到最佳解世代,2287
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
GS[8](5),NKE[19](13),WBA[27](2),
Stock#,GS[8](5),NKE[19](13),WBA[27](2),
張數,28298,136780,98299,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,111.579999999608845,4.399999999906868,13.910000000149012,
20121203,3350594.779999999795109,3336068.600000000093132,3369703.630000000353903,10056368.009999999776483
20121204,3299092.419999999459833,3340172.000000000000000,3368720.640000000596046,10007986.060000000521541
20121205,3314656.319999999366701,3340172.000000000000000,3496509.340000000316650,10151338.660000000149012
20121206,3316637.179999999701977,3366160.199999999720603,3524033.060000000055879,10206831.439999999478459
20121207,3298809.439999999478459,3371631.399999999906868,3548607.810000000055879,10219049.650000000372529
20121210,3311260.559999999590218,3353850.000000000000000,3573182.560000000055879,10238294.119999999180436
20121211,3363611.859999999403954,3398987.399999999906868,3602672.260000000242144,10365272.519999999552965
20121212,3341822.399999999906868,3392148.399999999906868,3604638.240000000223517,10338610.039999999105930
20121213,3353424.579999999608845,3327861.799999999813735,3588910.399999999906868,10270197.779999999329448
20121214,3377760.859999999403954,3314183.799999999813735,3613485.149999999906868,10305430.809999998658895
20121217,3494631.599999999627471,3351114.399999999906868,3650838.770000000018626,10496585.769999999552965
20121218,3615747.039999999571592,3382573.799999999813735,3691141.359999999869615,10689463.199999999254942
20121219,3601032.079999999608845,3344275.399999999906868,3660668.670000000391155,10605977.150000000372529
20121220,3670928.139999999664724,3385309.399999999906868,3691141.359999999869615,10747379.899999998509884
20121221,3634706.699999999720603,3594582.800000000279397,3569250.600000000558794,10798541.100000001490116
20121224,3609238.500000000000000,3610996.399999999906868,3584978.439999999944121,10805214.339999999850988
20121226,3598485.259999999310821,3511147.000000000000000,3603655.250000000000000,10713288.509999999776483
20121227,3584619.239999999757856,3539870.799999999813735,3590876.380000000353903,10715367.419999999925494
20121228,3552076.539999999571592,3487894.399999999906868,3591859.370000000111759,10631831.309999998658895
20121231,3609804.459999999497086,3528928.399999999906868,3638059.899999999906868,10776793.759999999776483
