代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10644644.910000000149012
真實報酬,644644.910000000149012

夏普值報酬,0.055764491000000
夏普值風險,0.019185094397214
夏普值,2.906657108140107

預期報酬,21302.823207490157074
風險,115223.258785624115262
趨勢值,0.184883012614012
找到最佳解世代,2199
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
INTC[11](3),MCD[15](1),NKE[19](2),
Stock#,INTC[11](3),MCD[15](1),NKE[19](2),
張數,116795,35080,59651,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,3.700000000186265,31.399999999906868,35.119999999646097,
20150901,3249240.600000000093132,3278959.000000000000000,3240277.439999999478459,9768478.039999999105930
20150902,3340340.700000000186265,3369114.600000000093132,3301717.969999999739230,10011174.269999999552965
20150903,3396402.299999999813735,3368062.200000000186265,3306490.049999999813735,10070955.550000000745058
20150904,3330997.100000000093132,3327369.399999999906868,3271892.469999999739230,9930259.969999998807907
20150908,3445456.200000000186265,3395073.799999999813735,3333333.000000000000000,10173864.000000000000000
20150909,3415089.500000000000000,3347715.800000000279397,3276664.549999999813735,10039470.850000001490116
20150910,3418593.350000000093132,3341401.399999999906868,3292173.809999999590218,10052169.559999998658895
20150911,3441952.350000000093132,3417174.199999999720603,3335122.529999999329448,10194250.079999998211861
20150914,3432608.750000000465661,3401739.000000000000000,3337508.569999999832362,10171857.320000000298023
20150915,3472319.050000000279397,3444536.599999999627471,3395370.039999999571592,10312226.689999999478459
20150916,3476990.850000000093132,3462076.599999999627471,3447266.409999999683350,10386334.859999999403954
20150917,3469983.150000000372529,3432258.600000000093132,3438318.759999999776483,10340561.509999999776483
20150918,3389394.600000000093132,3404545.399999999906868,3431757.149999999906868,10225698.150000000372529
20150921,3405745.900000000372529,3434363.399999999906868,3476495.399999999906868,10316605.700000001117587
20150922,3348516.350000000558794,3409807.399999999906868,3459196.609999999869615,10217521.359999999403954
20150923,3356692.000000000000000,3416121.799999999813735,3443090.839999999385327,10215905.639999998733401
20150924,3326325.300000000279397,3412964.600000000093132,3424002.519999999552965,10163293.419999999925494
20150925,3364867.649999999906868,3423488.600000000093132,3728222.619999999646097,10516579.869999999180436
20150928,3359027.900000000372529,3366308.199999999720603,3642921.689999999478459,10368258.789999999105930
20150929,3415089.500000000000000,3419629.799999999813735,3569550.959999999962747,10404271.259999999776483
20150930,3520205.000000000465661,3456463.799999999813735,3667975.109999999869615,10644644.910000000149012
