代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10590228.399999998509884
真實報酬,590228.399999998509884

夏普值報酬,0.050322840000000
夏普值風險,0.020230636996100
夏普值,2.487457019257496

預期報酬,33457.403122923533374
風險,49250.843486107565695
趨勢值,0.679326499907784
找到最佳解世代,3160
找到最佳解實驗#,1
找到最佳解次數,45

stock[index](rank)
投資組合檔數,5
AXP[1](11),BA[2](3),MCD[15](12),PFE[20](4),XOM[29](7),
Stock#,AXP[1](11),BA[2](3),MCD[15](12),PFE[20](4),XOM[29](7),
張數,32573,15755,15913,67476,23926,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,17.800000000046566,60.300000000046566,54.159999999916181,11.359999999869615,25.659999999916181,
20160401,1990228.100000000093132,2000315.099999999860302,2021323.419999999925494,2026990.399999999906868,1984926.619999999878928,10023783.639999998733401
20160404,1974593.060000000055879,1990547.000000000000000,2030075.569999999832362,2072874.079999999841675,1989711.819999999832362,10057801.529999999329448
20160405,1960586.669999999925494,2001417.949999999953434,2027052.099999999860302,2116058.719999999739230,1966982.119999999878928,10072097.559999998658895
20160406,1950489.040000000037253,2015597.450000000186265,2029279.919999999925494,2221996.040000000037253,1993300.719999999972060,10210663.169999999925494
20160407,1917264.580000000074506,2000945.300000000046566,2039145.979999999748543,2210525.119999999646097,1970810.280000000027940,10138691.259999997913837
20160408,1938111.300000000046566,2014809.699999999953434,2036281.639999999897555,2192981.359999999869615,1990908.119999999878928,10173092.119999999180436
20160411,1947883.199999999953434,2015282.350000000093132,2029916.439999999944121,2151821.000000000000000,1993539.979999999748543,10138442.970000000670552
20160412,1976547.439999999944121,2039860.150000000139698,2030712.089999999850988,2156544.319999999832362,2018183.759999999776483,10221847.759999999776483
20160413,2024755.479999999981374,2066170.999999999767169,2019254.729999999981374,2195680.399999999906868,2029668.239999999990687,10335529.849999999627471
20160414,2036156.030000000027940,2061602.050000000046566,2029120.790000000037253,2203102.759999999776483,2044023.840000000083819,10374005.470000000670552
20160415,2024104.020000000018626,2066013.449999999953434,2033417.300000000046566,2192981.359999999869615,2033017.879999999888241,10349534.009999997913837
20160418,2038761.870000000111759,2079247.650000000139698,2050444.209999999729916,2200403.719999999739230,2052397.939999999944121,10421255.390000000596046
20160419,2070683.410000000149012,2090433.700000000186265,2050603.340000000083819,2219297.000000000000000,2062686.119999999878928,10493703.569999998435378
20160420,2117914.259999999776483,2057190.649999999906868,2045670.310000000055879,2242238.839999999850988,2076802.459999999962747,10539816.519999999552965
20160421,2137132.330000000074506,2059869.000000000232831,2001750.429999999934807,2242913.600000000093132,2076563.199999999953434,10518228.559999998658895
20160422,2147555.690000000409782,2064753.050000000279397,1997135.659999999916181,2244937.879999999888241,2094268.439999999944121,10548650.720000000670552
20160425,2140063.900000000372529,2060026.550000000046566,2028325.139999999897555,2240889.319999999832362,2089483.239999999990687,10558788.150000000372529
20160426,2156350.400000000372529,2099256.500000000000000,2032303.389999999897555,2230093.159999999683350,2096661.039999999804422,10614664.489999998360872
20160427,2157327.589999999850988,2159755.700000000186265,2041692.060000000055879,2226719.359999999869615,2116519.620000000111759,10702014.329999998211861
20160428,2144624.120000000111759,2123834.299999999813735,2035645.119999999878928,2220646.519999999552965,2106231.439999999478459,10630981.499999998137355
20160429,2131269.190000000409782,2123834.299999999813735,2012889.529999999795109,2207151.319999999832362,2115084.059999999590218,10590228.399999998509884
