代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10529057.469999998807907
真實報酬,529057.469999998807907

夏普值報酬,0.044205747000000
夏普值風險,0.015488248659706
夏普值,2.854147552202172

預期報酬,26754.857177700367174
風險,23235.775309214262961
趨勢值,1.151451019888740
找到最佳解世代,2375
找到最佳解實驗#,4
找到最佳解次數,6

stock[index](rank)
投資組合檔數,6
AXP[1](20),IBM[10](22),MCD[15](17),MMM[16](4),MRK[17](1),UNH[23](2),
Stock#,AXP[1](20),IBM[10](22),MCD[15](17),MMM[16](4),MRK[17](1),UNH[23](2),
張數,20374,9300,17267,13243,36963,24416,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,72.800000000046566,13.000000000000000,55.160000000149012,34.450000000186265,4.329999999841675,29.839999999850988,
20131101,1674000.639999999897555,1666852.000000000000000,1679098.239999999990687,1667328.150000000372529,1671840.819999999832362,1675699.919999999692664,10034823.769999999552965
20131104,1669314.620000000111759,1676524.000000000000000,1680306.930000000167638,1672890.210000000195578,1689952.689999999711290,1683513.039999999804422,10072505.490000000223517
20131105,1668703.400000000139698,1654018.000000000000000,1682033.630000000121072,1670241.610000000335276,1676646.009999999776483,1677897.359999999869615,10029544.009999999776483
20131106,1673185.680000000167638,1666480.000000000000000,1690494.460000000195578,1683617.040000000037253,1698823.809999999823049,1716230.479999999981374,10128835.470000000670552
20131107,1648736.880000000121072,1674013.000000000000000,1678407.560000000288710,1674082.080000000074506,1693648.989999999757856,1703290.000000000000000,10072182.509999999776483
20131108,1666258.520000000018626,1673920.000000000000000,1675126.830000000307336,1695006.020000000018626,1729872.729999999748543,1721357.839999999850988,10161545.940000001341105
20131111,1658516.400000000139698,1700797.000000000000000,1676508.190000000176951,1694476.300000000279397,1737265.329999999841675,1721357.839999999850988,10188925.060000000521541
20131112,1650978.020000000018626,1702564.000000000000000,1686350.380000000121072,1699905.930000000400469,1759073.500000000000000,1707929.039999999804422,10206804.870000001043081
20131113,1659331.360000000102445,1707028.000000000000000,1694120.530000000027940,1702951.820000000298023,1749832.750000000000000,1733810.000000000000000,10247078.460000000894070
20131114,1668499.660000000149012,1694566.000000000000000,1684623.680000000167638,1718843.420000000158325,1767574.989999999757856,1744308.879999999888241,10278420.629999998956919
20131115,1687040.000000000000000,1703680.000000000000000,1673572.800000000279397,1719638.000000000000000,1776815.739999999757856,1754807.760000000009313,10315558.300000000745058
20131118,1677667.960000000195578,1715584.000000000000000,1686177.710000000195578,1723346.040000000037253,1774597.959999999729916,1750168.719999999972060,10327546.390000000596046
20131119,1680112.839999999850988,1722838.000000000000000,1691875.820000000298023,1722286.600000000325963,1776815.739999999757856,1748459.599999999860302,10342392.599999999627471
20131120,1675834.300000000046566,1722280.000000000000000,1684278.340000000316650,1710765.190000000176951,1779033.520000000018626,1757493.520000000018626,10329688.870000001043081
20131121,1710470.100000000093132,1712422.000000000000000,1687041.060000000288710,1726259.500000000000000,1797145.389999999664724,1780200.399999999674037,10413542.450000001117587
20131122,1708432.699999999953434,1686103.000000000000000,1696883.250000000000000,1735132.310000000288710,1808973.549999999813735,1800465.679999999701977,10435994.490000000223517
20131125,1723509.460000000195578,1664155.000000000000000,1708106.800000000279397,1737913.340000000083819,1835586.909999999683350,1808522.959999999729916,10477798.469999998807907
20131126,1733696.460000000195578,1648996.000000000000000,1695674.560000000288710,1750096.900000000372529,1832629.869999999878928,1819510.159999999683350,10480607.950000001117587
20131127,1743883.460000000195578,1664434.000000000000000,1675990.180000000167638,1767974.950000000186265,1841870.619999999878928,1815603.599999999860302,10509760.810000000521541
20131129,1748162.000000000000000,1671037.000000000000000,1681342.950000000186265,1768107.380000000121072,1841870.619999999878928,1818533.520000000018626,10529057.469999998807907
