代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11192814.960000000894070
真實報酬,1192814.960000000894070

夏普值報酬,0.110581496000000
夏普值風險,0.033797126444623
夏普值,3.271920060458050

預期報酬,56340.521806100892718
風險,53824.651301908765163
趨勢值,1.046741974975004
找到最佳解世代,2209
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
GS[8](2),KO[14](1),VZ[26](18),
Stock#,GS[8](2),KO[14](1),VZ[26](18),
張數,25392,133014,127226,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,125.159999999683350,2.160000000149012,11.800000000279397,
20100701,3330032.039999999105930,3328012.439999999944121,3346055.600000000558794,10004101.079999998211861
20100702,3328508.520000000018626,3329342.580000000074506,3410940.860000000335276,10068792.960000000894070
20100706,3358471.079999999608845,3354615.240000000223517,3385495.660000000149012,10098582.980000000447035
20100707,3449120.520000000018626,3423782.520000000018626,3374045.320000000298023,10246949.359999999403954
20100708,3439725.479999999981374,3486299.100000000093132,3407124.080000000540167,10333149.660000000149012
20100709,3505744.679999999701977,3484968.959999999962747,3390584.700000000186265,10381299.339999999850988
20100712,3485177.159999999683350,3488959.380000000353903,3370228.540000000037253,10344366.080000000074506
20100713,3561353.159999999683350,3506251.200000000186265,3421118.940000000409782,10488724.300000000745058
20100714,3531136.679999999701977,3512901.900000000372529,3414757.640000000130385,10458797.220000000670552
20100715,3687551.399999999441206,3515562.180000000167638,3409668.600000000558794,10612783.179999999701977
20100716,3711673.799999999348074,3483638.820000000298023,3395673.740000000223517,10590987.359999999403954
20100719,3699231.719999999739230,3476988.120000000111759,3399490.520000000018626,10575711.359999999403954
20100720,3781247.879999999422580,3540834.840000000316650,3393129.220000000670552,10715212.940000001341105
20100721,3732495.239999999757856,3596700.720000000204891,3374045.320000000298023,10703242.280000001192093
20100722,3721322.759999999776483,3608671.979999999981374,3435113.800000000279397,10765109.540000000968575
20100723,3742398.119999999646097,3641925.479999999981374,3564884.320000000298023,10949208.919999999925494
20100726,3763219.559999999590218,3653896.740000000223517,3597963.080000000540167,11015080.380000000819564
20100727,3738589.319999999366701,3661877.580000000074506,3637403.140000000130385,11037871.039999999105930
20100728,3737827.559999999590218,3649906.320000000298023,3678115.460000000428408,11065850.339999999850988
20100729,3874436.520000000018626,3657887.160000000149012,3674298.680000000167638,11206623.359999999403954
20100730,3829746.599999999627471,3665868.000000000000000,3697199.360000000335276,11192814.960000000894070
