代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11516506.900000000372529
真實報酬,1516506.900000000372529

夏普值報酬,0.142950690000000
夏普值風險,0.037704307213542
夏普值,3.791362328722403

預期報酬,77903.578314708531252
風險,98263.473696079599904
趨勢值,0.792803016059228
找到最佳解世代,1942
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](4),IBM[10](2),VZ[26](1),WBA[27](16),
Stock#,AAPL[0](4),IBM[10](2),VZ[26](1),WBA[27](16),
張數,71983,20303,84659,93005,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,30.410000000149012,91.609999999869615,19.729999999981374,25.600000000093132,
20100901,2574142.490000000223517,2553599.919999999925494,2561801.070000000298023,2575334.050000000279397,10264877.530000001192093
20100902,2592858.070000000298023,2538778.729999999981374,2549102.219999999739230,2632067.100000000093132,10312806.120000001043081
20100903,2661241.919999999925494,2590348.349999999627471,2556721.529999999795109,2632067.100000000093132,10440378.899999998509884
20100907,2651164.299999999813735,2557254.459999999962747,2558414.709999999962747,2649738.049999999813735,10416571.519999999552965
20100908,2703711.890000000130385,2559893.849999999627471,2578732.870000000111759,2666478.950000000186265,10508817.560000000521541
20100909,2705151.549999999813735,2565578.689999999944121,2610903.290000000037253,2671129.200000000186265,10552762.730000000447035
20100910,2708750.700000000186265,2598672.579999999608845,2609210.109999999869615,2693450.400000000372529,10610083.789999999105930
20100913,2746181.859999999869615,2631563.439999999944121,2615982.830000000074506,2702750.899999999906868,10696479.029999999329448
20100914,2756259.479999999981374,2616133.159999999683350,2616829.419999999925494,2717631.700000000186265,10706853.759999999776483
20100915,2778574.210000000428408,2627908.899999999906868,2640533.939999999944121,2716701.650000000372529,10763718.700000001117587
20100916,2844078.740000000223517,2632781.619999999646097,2660005.510000000242144,2708331.200000000186265,10845197.070000000298023
20100917,2831841.630000000353903,2643339.179999999701977,2682016.850000000093132,2716701.650000000372529,10873899.310000000521541
20100920,2912462.590000000316650,2675823.979999999515712,2716727.040000000502914,2719491.799999999813735,11024505.410000000149012
20100921,2918221.229999999981374,2679681.549999999813735,2736198.609999999869615,2764134.200000000186265,11098235.589999999850988
20100922,2959251.540000000037253,2691660.319999999832362,2742124.740000000223517,2770644.549999999813735,11163681.149999998509884
20100923,2970768.820000000298023,2673387.619999999646097,2723499.760000000242144,2744603.150000000372529,11112259.349999999627471
20100924,3006040.490000000223517,2722926.939999999944121,2763289.490000000223517,2823657.399999999906868,11315914.320000000298023
20100927,2993803.380000000353903,2733890.560000000055879,2781914.469999999739230,2822727.350000000093132,11332335.759999999776483
20100928,2949893.750000000000000,2738763.279999999795109,2770062.209999999962747,3144524.650000000372529,11603243.889999998733401
20100929,2954932.560000000055879,2750742.049999999813735,2764982.669999999459833,3127783.750000000465661,11598441.029999999329448
20100930,2918221.229999999981374,2723536.029999999795109,2759056.540000000502914,3115693.100000000093132,11516506.900000000372529
