代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11589298.140000000596046
真實報酬,1589298.140000000596046

夏普值報酬,0.150229814000000
夏普值風險,0.048939351873634
夏普值,3.069714008226067

預期報酬,82751.025693144081743
風險,125819.943181177062797
趨勢值,0.657694031652717
找到最佳解世代,1994
找到最佳解實驗#,1
找到最佳解次數,36

stock[index](rank)
投資組合檔數,4
CSCO[4](8),INTC[11](1),TRV[22](14),WMT[28](2),
Stock#,CSCO[4](8),INTC[11](1),TRV[22](14),WMT[28](2),
張數,161290,117150,51303,48169,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,5.000000000000000,19.000000000000000,4.810000000055879,28.899999999906868,
20111003,2450000.100000000093132,2415652.000000000000000,2400985.209999999962747,2502890.140000000130385,9769527.449999999254942
20111004,2512903.200000000186265,2485942.000000000000000,2466653.049999999813735,2547205.620000000111759,10012703.870000001043081
20111005,2606451.399999999906868,2559746.500000000000000,2543094.520000000018626,2536126.750000000000000,10245419.169999999925494
20111006,2701612.500000000000000,2580833.500000000000000,2574902.379999999888241,2540943.649999999906868,10398292.029999999329448
20111007,2687096.399999999906868,2611292.500000000000000,2513851.810000000055879,2586704.200000000186265,10398944.910000000149012
20111010,2756451.100000000093132,2680411.000000000000000,2621588.110000000335276,2640171.790000000037253,10698622.000000000000000
20111011,2740322.099999999627471,2693297.500000000000000,2586702.070000000298023,2635836.580000000074506,10656158.250000000000000
20111012,2782257.500000000000000,2708527.000000000000000,2639031.129999999888241,2658957.700000000186265,10788773.330000000074506
20111013,2809676.800000000279397,2740157.500000000000000,2588241.160000000149012,2650287.280000000260770,10788362.740000002086163
20111014,2830644.500000000000000,2753044.000000000000000,2630309.620000000111759,2671481.640000000130385,10885479.759999999776483
20111017,2769354.300000000279397,2727271.000000000000000,2543607.549999999813735,2638726.719999999739230,10678959.570000000298023
20111018,2824192.900000000372529,2741329.000000000000000,2640057.189999999944121,2692194.310000000055879,10897773.400000000372529
20111019,2767741.399999999906868,2839735.000000000000000,2790374.979999999981374,2709535.149999999906868,11107386.530000001192093
20111020,2772580.100000000093132,2765930.500000000000000,2797557.399999999906868,2715315.429999999701977,11051383.429999999701977
20111021,2803225.199999999720603,2815133.500000000000000,2942231.860000000335276,2741808.379999999888241,11302398.939999997615814
20111024,2829031.600000000093132,2880737.500000000000000,2956083.669999999925494,2735064.719999999739230,11400917.489999998360872
20111025,2841934.800000000279397,2885423.500000000000000,2890415.830000000074506,2731692.890000000130385,11349467.020000001415610
20111026,2840321.899999999906868,2893624.000000000000000,2949927.310000000055879,2763484.429999999701977,11447357.640000000596046
20111027,2974192.600000000093132,2943998.500000000000000,3016108.180000000167638,2784678.790000000037253,11718978.070000000298023
20111028,2993547.399999999906868,2926426.000000000000000,3051507.250000000000000,2752887.250000000000000,11724367.900000000372529
20111031,2988708.700000000186265,2874880.000000000000000,2993534.860000000335276,2732174.580000000074506,11589298.140000000596046
