代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,16528732.039999999105930
真實報酬,6528732.039999999105930

夏普值報酬,0.644173204000000
夏普值風險,0.120350733808668
夏普值,5.352465943615241

預期報酬,280282.235095137380995
風險,533151.109295985428616
趨勢值,0.525708809769230
找到最佳解世代,2090
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AXP[1](1),DD[7](2),WBA[27](3),
Stock#,AXP[1](1),DD[7](2),WBA[27](3),
張數,244558,277546,128402,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,7.459999999962747,5.540000000037253,17.080000000074506,
20090401,3531424.979999999981374,3483207.840000000316650,3402670.080000000074506,10417303.900000000372529
20090402,3663486.300000000279397,3930056.899999999906868,3516947.860000000335276,11110492.060000000521541
20090403,3749081.600000000093132,4349151.360000000335276,3455314.899999999906868,11553548.860000001266599
20090406,3707506.740000000223517,4260336.639999999664724,3457882.939999999944121,11425727.320000000298023
20090407,3670823.040000000037253,3941158.739999999757856,3518231.879999999888241,11130214.660000000149012
20090408,3844459.220000000204891,4010545.239999999757856,3559320.520000000018626,11414325.980000000447035
20090409,4605034.599999999627471,4324172.219999999739230,3721107.040000000037253,12650314.859999999403954
20090413,5003664.140000000596046,4443517.000000000931323,3745503.420000000391155,13192685.560000000521541
20090414,4507211.399999999441206,4213153.820000000298023,3710834.879999999888241,12431201.099999997764826
20090415,5042793.419999999925494,4437966.080000000074506,3728811.160000000149012,13209571.660000000149012
20090416,5059912.480000000447035,4707185.700000000186265,3902153.860000000335276,13669253.039999999105930
20090417,5333817.439999999478459,4979180.780000000260770,3854645.120000000111759,14167644.339999999850988
20090420,4641718.299999999813735,4537882.640000000596046,3864917.280000000260770,13044519.220000002533197
20090421,4786007.520000000484288,4815428.640000000596046,3931686.320000000298023,13533123.480000000447035
20090422,4751769.399999999441206,4929222.500000000931323,3834100.799999999813735,13515093.699999999254942
20090423,5128388.719999999739230,4895916.980000000447035,3768615.780000000260770,13792922.480000000447035
20090424,6187324.860000000335276,5134606.540000000037253,3799432.260000000242144,15121364.660000000149012
20090427,5925647.799999999813735,4984731.700000000186265,3755775.580000000074506,14666156.080000000074506
20090428,5906083.159999999217689,5137382.000000000931323,3852077.080000000074506,14895543.240000000223517
20090429,6101729.559999999590218,5339990.579999999143183,3998455.360000000335276,15440176.500000000000000
20090430,6167760.219999999739230,6325278.879999999888241,4035691.939999999944121,16528732.039999999105930
