代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10481467.110000001266599
真實報酬,481467.110000001266599

夏普值報酬,0.039446711000000
夏普值風險,0.015895613573145
夏普值,2.481609836479929

預期報酬,25884.391935971019848
風險,47974.342696348612662
趨勢值,0.539546567626889
找到最佳解世代,2118
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](5),BA[2](4),GS[8](1),KO[14](12),
Stock#,AAPL[0](5),BA[2](4),GS[8](1),KO[14](12),
張數,22114,18976,15501,59073,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,12.300000000279397,101.759999999776483,153.729999999981374,30.640000000130385,
20161003,2488279.580000000074506,2512144.639999999664724,2496899.799999999813735,2482868.830000000074506,9980192.849999999627471
20161004,2498894.300000000279397,2509677.759999999776483,2515501.000000000000000,2471644.960000000428408,9995718.020000001415610
20161005,2500000.000000000000000,2555409.919999999925494,2579520.129999999888241,2469872.770000000484288,10104802.820000000298023
20161006,2518575.760000000242144,2550855.679999999701977,2591145.879999999888241,2463965.470000000204891,10124542.789999999105930
20161007,2522335.140000000130385,2540039.359999999869615,2632688.560000000055879,2465146.930000000167638,10160209.990000000223517
20161010,2566342.000000000000000,2577801.599999999627471,2651444.770000000018626,2465146.930000000167638,10260735.299999998882413
20161011,2571870.500000000000000,2537952.000000000000000,2620442.770000000018626,2453923.060000000055879,10184188.330000000074506
20161012,2594869.060000000521541,2526945.919999999925494,2624473.030000000260770,2468100.580000000074506,10214388.589999999850988
20161013,2586908.020000000484288,2531120.639999999664724,2595331.149999999906868,2466919.120000000111759,10180278.929999999701977
20161014,2601282.120000000111759,2533397.759999999776483,2643384.250000000000000,2461602.550000000279397,10239666.679999999701977
20161017,2599513.000000000000000,2542885.759999999776483,2619822.729999999981374,2457467.440000000409782,10219688.929999999701977
20161018,2597743.880000000353903,2563759.359999999869615,2676091.359999999869615,2479324.450000000186265,10316919.050000000745058
20161019,2590003.980000000447035,2584253.439999999944121,2705233.239999999757856,2484050.290000000037253,10363540.949999999254942
20161020,2588677.140000000130385,2577801.599999999627471,2705233.239999999757856,2476961.530000000260770,10348673.510000001639128
20161021,2578504.700000000186265,2573816.639999999664724,2707713.399999999906868,2488776.130000000353903,10348810.870000001043081
20161024,2601724.400000000372529,2608352.959999999497086,2714688.850000000093132,2514177.520000000484288,10438943.730000000447035
20161025,2614992.800000000279397,2638145.279999999795109,2721354.280000000260770,2512996.060000000055879,10487488.419999999925494
20161026,2556169.560000000521541,2761868.799999999813735,2744915.799999999813735,2507088.759999999776483,10570042.919999999925494
20161027,2531623.020000000484288,2719552.319999999832362,2755456.479999999981374,2488185.399999999906868,10494817.220000000670552
20161028,2514816.380000000353903,2713859.519999999552965,2746000.869999999646097,2494683.430000000167638,10469360.199999999254942
20161031,2510835.860000000335276,2702853.439999999944121,2763051.970000000204891,2504725.839999999850988,10481467.110000001266599
