代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11202653.109999999403954
真實報酬,1202653.109999999403954

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,10690.751283580104428
風險,146833.035521912359400
起點值,0.072808896482867
找到最佳解世代,2147
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
INTC[11](14),JNJ[12](2),JPM[13](4),MRK[17](1),PFE[20](5),PG[21](16),
Stock#,INTC[11](14),JNJ[12](2),JPM[13](4),MRK[17](1),PFE[20](5),PG[21](16),
張數,51361,15263,27838,31036,55481,19952,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,1.549999999813735,99.030000000027940,4.940000000176951,32.799999999813735,16.760000000009313,75.439999999944121,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1643553.549999999813735,1657508.200000000186265,1648014.540000000270084,1688391.199999999720603,1704393.079999999841675,1660281.359999999869615,10002145.929999999701977
FS( 3 ),1638417.449999999720603,1663002.880000000121072,1624630.620000000111759,1683425.439999999944121,1739900.919999999925494,1659283.759999999776483,10008665.070000000298023
FS( 4 ),1647662.429999999701977,1670176.489999999990687,1637157.720000000204891,1726565.479999999981374,1827006.090000000083819,1672252.560000000055879,10180824.770000001415610
FS( 5 ),1620441.099999999860302,1667887.040000000037253,1595679.100000000093132,1720047.919999999925494,1817574.319999999832362,1660879.919999999925494,10082513.400000000372529
FS( 6 ),1624549.979999999748543,1665292.329999999841675,1607371.060000000288710,1718185.759999999776483,1803149.260000000009313,1660081.840000000083819,10078634.230000000447035
FS( 7 ),1626604.419999999925494,1663308.139999999897555,1620176.540000000270084,1708564.599999999627471,1769305.850000000093132,1650704.400000000139698,10038667.949999999254942
FS( 8 ),1636363.009999999776483,1672923.829999999841675,1650241.580000000307336,1717565.039999999804422,1773189.520000000018626,1652699.599999999860302,10102986.580000000074506
FS( 9 ),1650230.479999999981374,1677044.840000000083819,1720114.960000000195578,1736807.359999999869615,1805368.500000000000000,1645317.359999999869615,10234887.500000000000000
FS( 10 ),1633281.349999999860302,1676586.950000000186265,1742385.360000000335276,1752015.000000000000000,1811471.409999999916181,1636338.959999999962747,10252083.030000001192093
FS( 11 ),1615818.609999999869615,1681776.370000000111759,1722342.000000000000000,1742393.839999999850988,1803149.260000000009313,1642125.039999999804422,10207609.119999999180436
FS( 12 ),1625577.199999999720603,1693223.620000000111759,1733477.200000000186265,1753877.159999999683350,1809252.169999999925494,1652699.599999999860302,10268110.949999999254942
FS( 13 ),1623009.149999999906868,1719933.870000000111759,1762707.100000000093132,1764739.759999999776483,1824786.850000000093132,1661678.000000000000000,10356858.730000000447035
FS( 14 ),1643553.549999999813735,1733670.570000000065193,1788318.060000000055879,1756049.679999999701977,1843650.389999999897555,1627161.039999999804422,10392407.289999999105930
FS( 15 ),1642012.719999999739230,1733517.939999999944121,1770501.740000000223517,1756670.399999999906868,1844205.200000000186265,1612197.039999999804422,10359109.039999999105930
FS( 16 ),1625063.589999999850988,1729702.189999999944121,1780801.800000000046566,1761015.439999999944121,1845869.630000000121072,1615189.840000000083819,10357646.490000000223517
FS( 17 ),1612223.339999999850988,1732602.160000000149012,1770501.740000000223517,1744876.719999999739230,1842540.770000000018626,1624367.759999999776483,10327116.490000000223517
FS( 18 ),1612736.949999999720603,1723444.359999999869615,1779688.280000000260770,1739290.239999999757856,1833663.809999999823049,1587257.039999999804422,10276084.679999999701977
FS( 19 ),1630713.299999999813735,1721307.540000000037253,1784699.120000000111759,1747669.959999999962747,1830889.760000000009313,1594040.719999999972060,10309324.400000000372529
FS( 20 ),1597842.259999999776483,1716881.270000000018626,1770501.740000000223517,1729979.439999999944121,1825896.469999999739230,1591446.959999999962747,10232552.140000000596046
FS( 21 ),1555212.629999999888241,1710776.070000000065193,1759366.540000000270084,1702047.039999999804422,1814800.270000000018626,1598629.679999999934807,10140836.230000000447035
FS( 22 ),1572161.759999999776483,1721002.280000000027940,1775790.960000000195578,1716323.599999999627471,1819793.559999999823049,1615588.879999999888241,10220665.039999999105930
