代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11841730.939999999478459
真實報酬,1841730.939999999478459

夏普值報酬,0.175473094000000
夏普值風險,0.056754148343315
夏普值,3.091810891752509

二次趨勢線,111.110755276996628 x^2 + 1019.191953263186633 x + 10000000.000000000000000
二次加權預期報酬,19908.020350352609967
風險,129100.811757063740515
二次加權趨勢值,0.154205229846383
一次趨勢線,11643.994528456458283 x + 10000000.000000000000000
一次預期報酬,11643.994528456458283
一次風險,240007.930351997376420
一次趨勢值,0.048515040779608
找到最佳解世代,1865
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
HD[9](2),INTC[11](4),NKE[19](6),PG[21](9),
Stock#,HD[9](2),INTC[11](4),NKE[19](6),PG[21](9),
張數,31494,96190,67204,31117,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,6.280000000260770,21.900000000372529,11.199999999720603,60.219999999739230,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2517951.580000000540167,2490381.000000000465661,2504704.279999999795109,2493465.429999999701977,10006502.290000000968575
FS( 3 ),2500629.880000000353903,2540399.800000000279397,2485887.159999999683350,2492531.919999999459833,10019448.759999999776483
FS( 4 ),2479213.960000000428408,2516352.300000000279397,2447580.879999999888241,2482263.309999999590218,9925410.449999999254942
FS( 5 ),2429138.500000000000000,2548095.000000000000000,2380376.879999999888241,2504667.549999999348074,9862277.929999999701977
FS( 6 ),2428508.620000000111759,2588494.800000000279397,2450269.039999999571592,2531428.169999999459833,9998700.629999998956919
FS( 7 ),2448979.720000000204891,2595228.100000000558794,2471774.319999999832362,2535784.549999999348074,10051766.689999999478459
FS( 8 ),2418115.600000000093132,2542323.600000000558794,2434812.119999999646097,2523337.750000000000000,9918589.070000000298023
FS( 9 ),2384102.080000000540167,2518276.100000000558794,2394489.719999999739230,2513069.140000000130385,9809937.040000000968575
FS( 10 ),2392605.460000000428408,2554828.300000000279397,2432123.959999999497086,2514624.989999999757856,9894182.710000000894070
FS( 11 ),2390085.940000000409782,2575028.200000000186265,2428763.759999999776483,2515558.500000000000000,9909436.400000000372529
FS( 12 ),2411816.800000000279397,2590418.600000000558794,2456317.399999999441206,2540763.270000000018626,9999316.070000000298023
FS( 13 ),2427878.740000000223517,2600999.500000000465661,2487903.279999999795109,2544186.140000000130385,10060967.660000000149012
FS( 14 ),2455278.520000000018626,2592342.400000000372529,2483199.000000000000000,2537962.739999999757856,10068782.660000000149012
FS( 15 ),2509133.260000000242144,2581761.500000000465661,2497983.879999999888241,2528316.469999999739230,10117195.109999999403954
FS( 16 ),2472915.160000000149012,2573104.400000000372529,2489919.399999999441206,2500622.339999999850988,10036561.300000000745058
FS( 17 ),2512282.660000000149012,2573104.400000000372529,2466398.000000000000000,2525204.770000000018626,10076989.830000000074506
FS( 18 ),2500000.000000000000000,2525971.300000000745058,2442876.599999999627471,2533295.189999999478459,10002143.089999999850988
FS( 19 ),2524880.260000000242144,2532704.600000000093132,2408602.560000000055879,2580904.199999999720603,10047091.619999999180436
FS( 20 ),2504409.160000000149012,2547133.100000000558794,2435484.159999999683350,2565345.699999999720603,10052372.119999999180436
FS( 21 ),2504094.220000000204891,2567333.000000000465661,2451613.119999999646097,2568768.569999999832362,10091808.910000000149012
FS( 22 ),2498425.300000000279397,2544247.400000000372529,2450269.039999999571592,2562234.000000000000000,10055175.740000000223517
FS( 23 ),2500629.880000000353903,2540399.800000000279397,2452285.159999999683350,2549164.859999999869615,10042479.699999999254942
FS( 24 ),2478269.140000000130385,2517314.200000000651926,2463037.799999999813735,2542319.119999999646097,10000940.259999999776483
FS( 25 ),2438271.760000000242144,2520199.900000000372529,2428091.719999999739230,2524582.429999999701977,9911145.809999998658895
FS( 26 ),2427563.800000000279397,2536552.200000000651926,2425403.560000000055879,2554454.750000000000000,9943974.310000000521541
FS( 27 ),2426618.979999999981374,2533666.500000000465661,2454973.319999999832362,2556632.939999999478459,9971891.740000000223517
FS( 28 ),2447405.020000000018626,2529818.900000000372529,2468414.119999999646097,2563789.849999999627471,10009427.889999998733401
FS( 29 ),2465041.660000000149012,2536552.200000000651926,2508064.479999999515712,2543252.629999999888241,10052910.970000000670552
FS( 30 ),2433547.660000000149012,2544247.400000000372529,2506720.399999999441206,2539518.589999999850988,10024034.050000000745058
FS( 31 ),2403313.420000000391155,2532704.600000000093132,2472446.359999999869615,2525827.109999999869615,9934291.490000000223517
FS( 32 ),2401108.840000000316650,2501923.800000000745058,2450941.079999999608845,2505912.229999999981374,9859885.950000001117587
FS( 33 ),2436382.120000000111759,2483647.700000000186265,2484543.079999999608845,2499688.829999999608845,9904261.730000000447035
FS( 34 ),2409297.280000000260770,2504809.500000000465661,2502688.159999999683350,2487242.029999999795109,9904036.970000000670552
FS( 35 ),2455278.520000000018626,2504809.500000000465661,2461693.719999999739230,2496577.129999999888241,9918358.870000001043081
FS( 36 ),2459057.800000000279397,2520199.900000000372529,2493279.599999999627471,2504667.549999999348074,9977204.849999999627471
FS( 37 ),2481103.600000000093132,2515390.400000000372529,2516128.959999999497086,2509646.270000000018626,10022269.229999998584390
FS( 38 ),2493701.200000000651926,2528857.000000000465661,2548386.879999999888241,2505601.059999999590218,10076546.140000000596046
FS( 39 ),2509763.140000000130385,2569256.800000000279397,2574596.439999999944121,2491909.579999999608845,10145525.960000000894070
FS( 40 ),2509448.200000000651926,2585609.100000000093132,2563171.759999999776483,2492531.919999999459833,10150760.980000000447035
FS( 41 ),2516376.880000000353903,2593304.300000000279397,2566531.959999999497086,2501867.020000000018626,10178080.160000000149012
FS( 42 ),2526769.900000000372529,2627932.700000000186265,2584677.039999999571592,2514002.649999999906868,10253382.290000000968575
FS( 43 ),2545981.240000000223517,2622161.300000000745058,2577956.639999999664724,2500622.339999999850988,10246721.519999999552965
FS( 44 ),2540627.260000000242144,2660637.300000000279397,2538978.319999999832362,2487242.029999999795109,10227484.910000000149012
FS( 45 ),2536533.040000000502914,2654865.900000000372529,2558467.479999999515712,2485063.839999999850988,10234930.260000001639128
FS( 46 ),2531494.000000000000000,2660637.300000000279397,2549730.959999999497086,2492843.089999999850988,10234705.349999999627471
FS( 47 ),2539682.440000000409782,2709694.200000000651926,2561827.679999999701977,2490353.729999999981374,10301558.050000000745058
FS( 48 ),2538737.620000000111759,2684684.800000000279397,2576612.560000000055879,2492220.750000000000000,10292255.730000000447035
FS( 49 ),2542831.840000000316650,2716427.500000000000000,2564515.839999999385327,2494087.770000000018626,10317862.949999999254942
FS( 50 ),2513542.420000000391155,2686608.600000000558794,2524865.479999999515712,2491287.239999999757856,10216303.740000000223517
FS( 51 ),2470080.700000000651926,2689494.300000000279397,2512768.759999999776483,2481952.140000000130385,10154295.900000000372529
FS( 52 ),2458742.859999999869615,2873217.200000000651926,2507392.439999999944121,2478218.099999999627471,10317570.599999999627471
FS( 53 ),2484882.880000000353903,2886683.800000000745058,2505376.319999999832362,2479773.949999999720603,10356716.950000001117587
FS( 54 ),2520156.160000000149012,2880912.400000000372529,2523521.399999999441206,2476351.079999999608845,10400941.039999999105930
FS( 55 ),2541887.020000000018626,2878988.600000000558794,2560483.599999999627471,2482885.649999999906868,10464244.870000001043081
FS( 56 ),2533383.640000000130385,2894379.000000000465661,2541666.479999999515712,2496888.299999999348074,10466317.419999999925494
FS( 57 ),2524880.260000000242144,2904959.900000000372529,2523521.399999999441206,2487242.029999999795109,10440603.589999999850988
FS( 58 ),2539682.440000000409782,2907845.600000000558794,2535618.119999999646097,2474484.059999999590218,10457630.219999998807907
FS( 59 ),2533068.700000000651926,2933816.900000000372529,2519489.159999999683350,2458614.390000000130385,10444989.150000002235174
FS( 60 ),2536218.100000000093132,2970369.100000000093132,2569892.159999999683350,2468260.659999999683350,10544740.019999999552965
FS( 61 ),2543146.780000000260770,2960750.100000000558794,2582660.919999999925494,2446478.759999999776483,10533036.560000000521541
FS( 62 ),2555114.500000000000000,2975178.600000000558794,2610214.560000000055879,2458925.559999999590218,10599433.219999998807907
FS( 63 ),2549760.520000000018626,2972292.900000000372529,2606182.319999999832362,2445545.250000000000000,10573780.990000000223517
FS( 64 ),2576845.359999999869615,2979988.100000000558794,2620967.199999999720603,2467015.979999999981374,10644816.640000000596046
FS( 65 ),2581884.400000000372529,2979988.100000000558794,2614246.799999999813735,2475728.739999999757856,10651848.040000000968575
FS( 66 ),2584088.979999999981374,2995378.500000000465661,2636424.119999999646097,2488797.879999999888241,10704689.480000000447035
FS( 67 ),2564247.760000000242144,2984797.600000000558794,2643144.519999999552965,2495332.449999999720603,10687522.330000000074506
FS( 68 ),2543461.720000000204891,2961712.000000000465661,2610214.560000000055879,2506845.739999999757856,10622234.020000001415610
FS( 69 ),2542516.900000000372529,2971331.000000000465661,2644488.599999999627471,2541385.609999999869615,10699722.109999999403954
FS( 70 ),2500629.880000000353903,3006921.300000000745058,2604166.199999999720603,2539518.589999999850988,10651235.970000000670552
FS( 71 ),2507243.620000000111759,3005959.400000000372529,2597445.799999999813735,2525515.939999999478459,10636164.759999999776483
FS( 72 ),2502519.520000000018626,3029045.000000000000000,2619623.119999999646097,2530494.659999999683350,10681682.299999998882413
FS( 73 ),2515117.120000000111759,3050206.800000000279397,2622311.279999999795109,2528627.640000000130385,10716262.839999999850988
FS( 74 ),2508818.320000000298023,3333005.400000000372529,2584677.039999999571592,2518670.199999999720603,10945170.959999999031425
FS( 75 ),2505353.979999999981374,3241624.900000000838190,2571908.279999999795109,2501867.020000000018626,10820754.179999999701977
FS( 76 ),2522045.800000000279397,3241624.900000000838190,2604838.239999999757856,2506534.569999999832362,10875043.510000001639128
FS( 77 ),2510393.020000000018626,3276253.300000000745058,2581316.839999999385327,2498132.979999999981374,10866096.140000000596046
FS( 78 ),2536533.040000000502914,3346472.000000000465661,2588709.279999999795109,2492531.919999999459833,10964246.240000000223517
FS( 79 ),2551650.160000000149012,3318576.900000000372529,2600133.959999999497086,2489109.049999999348074,10959470.069999998435378
FS( 80 ),2557319.080000000540167,3294529.400000000372529,2641128.399999999441206,2497510.640000000130385,10990487.519999999552965
FS( 81 ),2551965.100000000093132,3294529.400000000372529,2611558.639999999664724,2475728.739999999757856,10933781.880000000819564
FS( 82 ),2553224.859999999869615,3292605.600000000093132,2634408.000000000000000,2466393.640000000130385,10946632.100000001490116
FS( 83 ),2550390.400000000372529,3288758.000000000000000,2624327.399999999441206,2447412.270000000018626,10910888.070000000298023
FS( 84 ),2574955.720000000204891,3304148.400000000372529,2675402.439999999944121,2432164.939999999478459,10986671.500000000000000
FS( 85 ),2546296.180000000167638,3259901.000000000465661,2592069.479999999515712,2406026.659999999683350,10804293.320000000298023
FS( 86 ),2511652.780000000260770,3245472.500000000465661,2579972.759999999776483,2478529.270000000018626,10815627.310000000521541
FS( 87 ),2520471.100000000093132,3275291.399999999906868,2592741.519999999552965,2465148.959999999497086,10853652.979999998584390
FS( 88 ),2520471.100000000093132,3156977.700000000186265,2584677.039999999571592,2471061.189999999478459,10733187.029999999329448
FS( 89 ),2535903.160000000149012,3159863.400000000372529,2592069.479999999515712,2523337.750000000000000,10811173.789999999105930
FS( 90 ),2534328.460000000428408,3143511.100000000558794,2565187.879999999888241,2493776.599999999627471,10736804.039999999105930
FS( 91 ),2596056.700000000651926,3135815.900000000372529,2589381.319999999832362,2518981.369999999646097,10840235.290000000968575
FS( 92 ),2610229.000000000000000,3176215.700000000651926,2589381.319999999832362,2535473.379999999888241,10911299.400000002235174
FS( 93 ),2611488.760000000242144,3186796.600000000558794,2578628.679999999701977,2533606.359999999869615,10910520.400000000372529
FS( 94 ),2617787.560000000521541,3280100.900000000372529,2596101.719999999739230,2535473.379999999888241,11029463.559999998658895
FS( 95 ),2641093.120000000111759,3264710.500000000000000,2597445.799999999813735,2550098.369999999646097,11053347.789999999105930
FS( 96 ),2635739.140000000130385,3286834.200000000651926,2592069.479999999515712,2544808.479999999981374,11059451.300000000745058
FS( 97 ),2632589.740000000223517,3309919.799999999813735,2639784.319999999832362,2565345.699999999720603,11147639.559999998658895
FS( 98 ),2778721.900000000372529,3303186.500000000931323,2638440.239999999757856,2573124.949999999720603,11293473.589999999850988
FS( 99 ),2858086.780000000260770,3318576.900000000372529,2651881.039999999571592,2576858.989999999757856,11405403.710000000894070
FS( 100 ),2870684.380000000353903,3381100.400000000372529,2652553.079999999608845,2591483.979999999981374,11495821.840000001713634
FS( 101 ),2866905.100000000093132,3360900.500000000000000,2664649.799999999813735,2594906.849999999627471,11487362.249999998137355
FS( 102 ),2872259.080000000540167,3348395.800000000745058,2688843.239999999757856,2599574.399999999906868,11509072.520000001415610
FS( 103 ),2885801.500000000000000,3347433.899999999906868,2670698.159999999683350,2594595.679999999701977,11498529.240000000223517
FS( 104 ),2893360.060000000521541,3346472.000000000465661,2678762.639999999664724,2592417.489999999757856,11511012.189999999478459
FS( 105 ),2913516.220000000204891,3333005.400000000372529,2648520.839999999385327,2583704.729999999981374,11478747.190000001341105
FS( 106 ),2944695.280000000260770,3358976.700000000651926,2639784.319999999832362,2586194.089999999850988,11529650.390000000596046
FS( 107 ),2870684.380000000353903,3325310.200000000186265,2663977.759999999776483,2582148.879999999888241,11442121.219999998807907
FS( 108 ),2802972.280000000260770,3325310.200000000186265,2648520.839999999385327,2579659.520000000018626,11356462.839999999850988
FS( 109 ),2832261.700000000651926,3358014.799999999813735,2685483.039999999571592,2604553.119999999646097,11480312.659999998286366
FS( 110 ),2885171.620000000111759,3366671.900000000372529,2756719.279999999795109,2606731.309999999590218,11615294.109999999403954
FS( 111 ),2860291.359999999869615,3398414.600000000093132,2768816.000000000000000,2592728.659999999683350,11620250.620000001043081
FS( 112 ),2800767.700000000651926,3358014.799999999813735,2749998.879999999888241,2582460.049999999348074,11491241.429999997839332
FS( 113 ),2810845.780000000260770,3368595.700000000651926,2771504.159999999683350,2602686.099999999627471,11553631.740000000223517
FS( 114 ),2809900.960000000428408,3368595.700000000651926,2749326.839999999385327,2598018.549999999348074,11525842.049999998882413
FS( 115 ),2797933.240000000223517,3330119.700000000186265,2749998.879999999888241,2590861.640000000130385,11468913.460000000894070
FS( 116 ),2814940.000000000000000,3322424.500000000465661,2742606.439999999944121,2609843.009999999776483,11489813.949999999254942
FS( 117 ),2842969.660000000149012,3359938.600000000558794,2728493.599999999627471,2616377.579999999608845,11547779.439999999478459
FS( 118 ),2872888.960000000428408,3364748.100000000093132,2739246.239999999757856,2618866.939999999478459,11595750.240000000223517
FS( 119 ),2900288.740000000223517,3383024.200000000651926,2754703.159999999683350,2619800.449999999720603,11657816.550000000745058
FS( 120 ),2908162.240000000223517,3349357.700000000186265,2749326.839999999385327,2628513.209999999497086,11635359.989999998360872
FS( 121 ),2893989.940000000409782,3338776.800000000279397,2711692.599999999627471,2639092.989999999757856,11583552.330000000074506
FS( 122 ),2881392.340000000316650,3310881.700000000651926,2692203.439999999944121,2627579.699999999720603,11512057.179999999701977
FS( 123 ),2929578.160000000149012,3342624.400000000372529,2716396.879999999888241,2652473.299999999348074,11641072.740000000223517
FS( 124 ),2894304.880000000353903,3283948.500000000465661,2680106.719999999739230,2624156.829999999608845,11482516.930000001564622
FS( 125 ),2923909.240000000223517,3295491.300000000279397,3007390.199999999720603,2631936.079999999608845,11858726.820000000298023
FS( 126 ),2925169.000000000000000,3357052.900000000372529,2994621.439999999944121,2627579.699999999720603,11904423.039999999105930
FS( 127 ),2889265.840000000316650,3349357.700000000186265,2997309.599999999627471,2605797.799999999348074,11841730.939999999478459
