代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12952173.069999998435378
真實報酬,2952173.069999998435378

夏普值報酬,0.286517307000000
夏普值風險,0.091727943680716
夏普值,3.123555325706414

二次趨勢線,4.161575675243174 x^2 + 27220.841003071414889 x + 10000000.000000000000000
二次加權預期報酬,27911.662565161779639
風險,277810.303126607555896
二次加權趨勢值,0.100470221050230
一次趨勢線,27609.421864314033883 x + 10000000.000000000000000
一次預期報酬,27609.421864314033883
一次風險,277904.262588489684276
一次趨勢值,0.099348680754843
找到最佳解世代,2255
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
BA[2](2),CSCO[4](1),INTC[11](7),
Stock#,BA[2](2),CSCO[4](1),INTC[11](7),
張數,13021,98765,85382,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,87.209999999962747,14.250000000000000,19.720000000204891,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3326431.870000000111759,3343209.500000000000000,3362362.880000000353903,10032005.250000000000000
FS( 3 ),3330338.169999999925494,3302715.849999999627471,3358947.600000000558794,9992002.620000001043081
FS( 4 ),3371093.899999999906868,3317530.600000000558794,3375170.180000000167638,10063795.679999999701977
FS( 5 ),3367057.389999999664724,3333333.000000000000000,3383708.380000000353903,10084099.769999999552965
FS( 6 ),3364583.399999999906868,3334320.649999999906868,3403346.240000000223517,10102251.289999999105930
FS( 7 ),3397656.740000000223517,3313579.999999999534339,3385416.020000000018626,10096653.759999999776483
FS( 8 ),3404297.449999999720603,3317530.600000000558794,3355532.319999999832362,10077361.370000001043081
FS( 9 ),3410417.320000000298023,3284938.149999999906868,3346140.299999999813735,10041496.769999999552965
FS( 10 ),3395182.750000000000000,3305678.799999999813735,3387123.660000000149012,10087986.210000000894070
FS( 11 ),3382291.959999999962747,3312592.350000000093132,3394808.040000000037253,10089693.350000001490116
FS( 12 ),3367578.229999999981374,3318518.250000000000000,3397369.500000000000000,10083466.980000000447035
FS( 13 ),3386068.050000000279397,3313579.999999999534339,3436645.220000000204891,10136294.269999999552965
FS( 14 ),3373047.050000000279397,3333333.000000000000000,3422984.100000000558794,10129365.150000002235174
FS( 15 ),3447396.959999999962747,3382715.500000000000000,3452013.979999999981374,10282127.439999999478459
FS( 16 ),3415755.929999999701977,3392592.000000000000000,3486166.780000000260770,10294515.710000000894070
FS( 17 ),3463673.209999999962747,3415307.949999999720603,3496412.620000000577420,10375394.780000001192093
FS( 18 ),3364974.030000000260770,3387653.749999999534339,3481897.680000000167638,10234526.459999999031425
FS( 19 ),3376041.879999999888241,3384690.800000000279397,3530565.420000000391155,10291299.099999999627471
FS( 20 ),3339452.869999999646097,3400493.200000000186265,3790980.520000000018626,10530927.589999999850988
FS( 21 ),3375781.459999999962747,3361974.850000000093132,3788419.060000000055879,10526176.370000001043081
FS( 22 ),3359244.790000000037253,3372839.000000000000000,3884046.900000000372529,10616131.690000001341105
FS( 23 ),3366015.709999999962747,3419258.549999999813735,3988212.940000000409782,10773488.199999999254942
FS( 24 ),3419792.439999999944121,3378764.899999999906868,4021511.920000000391155,10820070.259999999776483
FS( 25 ),3408333.959999999962747,3404443.799999999813735,3956621.600000000558794,10769400.359999999403954
FS( 26 ),3438542.679999999701977,3398517.899999999441206,3987359.120000000577420,10824420.699999999254942
FS( 27 ),3465365.939999999944121,3397530.250000000000000,3994189.680000000167638,10857086.869999999180436
FS( 28 ),3458074.179999999701977,3407406.750000000000000,3987359.120000000577420,10852841.050000000745058
FS( 29 ),3420703.909999999683350,3362962.499999999534339,3953206.319999999832362,10736873.729999998584390
FS( 30 ),3396615.060000000055879,3357036.600000000093132,3891731.280000000260770,10645383.940000001341105
