代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,15966107.040000002831221
真實報酬,5966107.040000002831221

夏普值報酬,0.587910704000000
夏普值風險,0.135373251615099
夏普值,4.342886774054764

二次趨勢線,210.403663884319940 x^2 + 22697.808834428189584 x + 10000000.000000000000000
二次加權預期報酬,57905.355257737748616
風險,334050.704939125105739
二次加權趨勢值,0.173343011709225
一次趨勢線,42501.739349436546036 x + 10000000.000000000000000
一次預期報酬,42501.739349436546036
一次風險,499395.396363817038946
一次趨勢值,0.085106389964543
找到最佳解世代,2107
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
AAPL[0](1),HD[9](2),
Stock#,AAPL[0](1),HD[9](2),
張數,93440,158277,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,25.600000000558794,29.570000000298023,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4971968.000000000931323,5139283.759999999776483,10111251.760000001639128
FS( 3 ),5049523.200000000186265,5196263.480000000447035,10245786.679999999701977
FS( 4 ),5037376.000000000000000,5283315.830000001005828,10320691.830000001937151
FS( 5 ),4936460.800000000745058,5368785.410000000149012,10305246.210000000894070
FS( 6 ),5189683.200000000186265,5485910.389999999664724,10675593.589999999850988
FS( 7 ),5342924.800000000745058,5493824.240000000223517,10836749.040000000968575
FS( 8 ),5369088.000000000931323,5495407.009999999776483,10864495.010000001639128
FS( 9 ),5452249.600000000558794,5446341.139999999664724,10898590.740000000223517
FS( 10 ),5633523.200000000186265,5547638.419999999925494,11181161.620000001043081
FS( 11 ),5606425.600000000558794,5484327.620000000111759,11090753.220000000670552
FS( 12 ),5636326.400000000372529,5690087.720000000670552,11326414.120000001043081
FS( 13 ),5321433.600000000558794,5603035.370000000111759,10924468.970000000670552
FS( 14 ),5276582.400000000372529,5655266.780000000260770,10931849.179999999701977
FS( 15 ),5243878.400000000372529,5834119.790000000037253,11077998.190000001341105
FS( 16 ),5416742.400000000372529,5808795.470000000670552,11225537.870000001043081
FS( 17 ),5309286.400000000372529,5704332.650000000372529,11013619.050000000745058
FS( 18 ),5347596.799999999813735,5785053.919999999925494,11132650.719999998807907
FS( 19 ),5401792.000000000931323,5914841.059999999590218,11316633.060000000521541
FS( 20 ),5405529.600000000558794,5716994.809999999590218,11122524.410000000149012
FS( 21 ),5403660.800000000745058,5666346.169999999925494,11070006.970000000670552
FS( 22 ),5292467.200000000186265,5625194.150000000372529,10917661.350000001490116
FS( 23 ),5304614.400000001303852,5696418.800000000745058,11001033.200000002980232
FS( 24 ),5380300.800000000745058,5769226.220000000670552,11149527.020000001415610
FS( 25 ),5342924.800000000745058,5759729.600000000558794,11102654.400000002235174
FS( 26 ),5335449.600000000558794,5910092.750000000931323,11245542.350000001490116
FS( 27 ),5422348.800000000745058,6005058.950000000186265,11427407.750000000000000
FS( 28 ),5276582.400000000372529,5881602.889999999664724,11158185.289999999105930
FS( 29 ),5142028.800000000745058,5887933.970000000670552,11029962.770000001415610
FS( 30 ),5134553.600000000558794,6024052.190000000409782,11158605.790000000968575
FS( 31 ),5062604.800000000745058,6054124.820000000298023,11116729.620000001043081
FS( 32 ),5190617.600000000558794,6025634.959999999962747,11216252.560000000521541
FS( 33 ),5136422.400000000372529,5989231.250000000931323,11125653.650000002235174
FS( 34 ),5038310.400000000372529,5954410.309999999590218,10992720.710000000894070
FS( 35 ),5004672.000000000931323,5995562.330000001005828,11000234.330000001937151
FS( 36 ),4926182.400000000372529,5865775.190000000409782,10791957.589999999850988
FS( 37 ),5026163.200000000186265,5872106.270000000484288,10898269.470000000670552
FS( 38 ),4899084.800000000745058,5780305.610000000335276,10679390.410000000149012
FS( 39 ),4853299.200000000186265,5772391.759999999776483,10625690.960000000894070
FS( 40 ),5020556.799999999813735,5903761.669999999925494,10924318.469999998807907
FS( 41 ),4981312.000000000931323,6166501.490000000223517,11147813.490000002086163
FS( 42 ),5101849.600000000558794,6207653.509999999776483,11309503.109999999403954
FS( 43 ),5178470.400000000372529,6226646.750000000931323,11405117.150000002235174
FS( 44 ),5201830.400000000372529,6321612.950000000186265,11523443.350000001490116
FS( 45 ),5245747.200000000186265,6367513.280000000260770,11613260.480000000447035
FS( 46 ),5218649.600000000558794,6381758.209999999962747,11600407.810000000521541
FS( 47 ),5193420.800000000745058,6446651.780000000260770,11640072.580000001937151
FS( 48 ),5214912.000000000931323,6316864.639999999664724,11531776.640000000596046
FS( 49 ),5254156.799999999813735,6367513.280000000260770,11621670.080000000074506
FS( 50 ),5230796.799999999813735,6339023.419999999925494,11569820.219999998807907
FS( 51 ),5189683.200000000186265,6253553.839999999850988,11443237.039999999105930
FS( 52 ),5074752.000000000931323,6194991.350000000558794,11269743.350000001490116
FS( 53 ),5057932.800000000745058,6239308.910000000149012,11297241.710000000894070
FS( 54 ),5085964.800000000745058,6397585.910000000149012,11483550.710000000894070
FS( 55 ),5101849.600000000558794,6362764.970000000670552,11464614.570000000298023
FS( 56 ),5284992.000000000931323,6639749.720000000670552,11924741.720000002533197
FS( 57 ),5292467.200000000186265,6647663.570000000298023,11940130.769999999552965
FS( 58 ),5320499.200000000186265,6635001.410000000149012,11955500.609999999403954
FS( 59 ),5384038.400000000372529,6661908.500000000931323,12045946.900000002235174
FS( 60 ),5427020.800000000745058,6682484.509999999776483,12109505.310000000521541
FS( 61 ),5374694.400000001303852,6573273.380000000819564,11947967.780000001192093
FS( 62 ),5407398.400000000372529,6649246.339999999850988,12056644.740000000223517
FS( 63 ),5406464.000000000931323,6653994.650000000372529,12060458.650000002235174
FS( 64 ),5489625.600000000558794,6669822.350000000558794,12159447.950000001117587
FS( 65 ),5518592.000000000931323,6764788.550000000745058,12283380.550000000745058
FS( 66 ),5580262.400000000372529,6820185.500000000931323,12400447.900000002235174
FS( 67 ),5638195.200000001117587,6837595.970000000670552,12475791.170000001788139
FS( 68 ),5629785.600000000558794,6842344.280000000260770,12472129.880000000819564
FS( 69 ),5649408.000000000931323,6889827.380000000819564,12539235.380000002682209
FS( 70 ),5640064.000000000931323,6878747.990000000223517,12518811.990000002086163
FS( 71 ),5625113.600000000558794,6867668.600000000558794,12492782.200000001117587
FS( 72 ),5603622.400000000372529,6886661.839999999850988,12490284.240000000223517
FS( 73 ),5669030.400000000372529,6923065.550000000745058,12592095.950000001117587
FS( 74 ),5727897.600000000558794,7103501.330000001005828,12831398.930000001564622
FS( 75 ),5710144.000000000931323,7187388.139999999664724,12897532.140000000596046
FS( 76 ),5610163.200000000186265,7044938.839999999850988,12655102.039999999105930
FS( 77 ),5705472.000000000931323,7103501.330000001005828,12808973.330000001937151
FS( 78 ),5612032.000000000931323,7116163.490000000223517,12728195.490000002086163
FS( 79 ),5962432.000000000931323,7163646.589999999850988,13126078.589999999850988
FS( 80 ),5935334.400000001303852,7114580.720000000670552,13049915.120000001043081
FS( 81 ),5970841.600000000558794,7101918.559999999590218,13072760.160000000149012
FS( 82 ),6047462.400000000372529,7086090.860000000335276,13133553.260000001639128
