代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11311706.339999999850988
真實報酬,1311706.339999999850988

夏普值報酬,0.122470634000000
夏普值風險,0.056273333950418
夏普值,2.176352908251481

二次趨勢線,67.345153746366265 x^2 + 5644.431694796525335 x + 10000000.000000000000000
二次加權預期報酬,17093.107831678786170
風險,248337.815239896095591
二次加權趨勢值,0.068830064463468
一次趨勢線,12084.212984802004939 x + 10000000.000000000000000
一次預期報酬,12084.212984802004939
一次風險,276966.617949158884585
一次趨勢值,0.043630575678330
找到最佳解世代,2144
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
AAPL[0](2),MCD[15](1),
Stock#,AAPL[0](2),MCD[15](1),
張數,101584,65798,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,35.520000000484288,9.980000000447035,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4951239.680000000633299,5026319.200000000186265,9977558.880000000819564
FS( 3 ),4917716.959999999962747,5040136.780000000260770,9957853.740000000223517
FS( 4 ),4905526.880000000819564,5048032.540000000037253,9953559.420000001788139
FS( 5 ),4906542.719999999739230,5001315.960000000894070,9907858.679999999701977
FS( 6 ),4862861.600000000558794,5003289.900000001303852,9866151.500000001862645
FS( 7 ),4800895.360000000335276,5017107.480000000447035,9818002.839999999850988
FS( 8 ),4824259.680000000633299,5044084.660000000149012,9868344.339999999850988
FS( 9 ),4878099.200000001117587,5059218.200000000186265,9937317.400000002235174
FS( 10 ),4824259.680000000633299,5071061.839999999850988,9895321.519999999552965
FS( 11 ),4752135.040000000968575,5091459.219999999739230,9843594.260000001639128
FS( 12 ),4816132.959999999962747,5066455.980000000447035,9882588.940000001341105
FS( 13 ),4903495.200000001117587,5040136.780000000260770,9943631.980000000447035
FS( 14 ),4969524.800000000745058,5158573.180000000633299,10128097.980000000447035
FS( 15 ),5089393.920000000856817,5060534.160000000149012,10149928.080000001937151
FS( 16 ),5122916.640000000596046,5075009.719999999739230,10197926.359999999403954
FS( 17 ),5085330.560000000521541,5062508.100000000558794,10147838.660000000149012
FS( 18 ),5081267.200000001117587,5123700.240000001154840,10204967.440000001341105
FS( 19 ),5032506.880000000819564,5134227.920000000856817,10166734.800000000745058
FS( 20 ),5081267.200000001117587,5152651.360000000335276,10233918.560000002384186
FS( 21 ),5025396.000000000000000,5174364.700000000186265,10199760.699999999254942
FS( 22 ),5052823.680000000633299,5194104.100000000558794,10246927.780000001192093
FS( 23 ),5073140.480000000447035,5202657.839999999850988,10275798.320000000298023
FS( 24 ),5032506.880000000819564,5171732.780000000260770,10204239.660000000149012
FS( 25 ),5030475.200000001117587,5178312.580000001005828,10208787.780000001192093
FS( 26 ),5044696.959999999962747,5218449.360000000335276,10263146.320000000298023
FS( 27 ),5071108.800000000745058,5244768.559999999590218,10315877.359999999403954
FS( 28 ),5038601.920000000856817,5231608.960000000894070,10270210.880000002682209
FS( 29 ),5029459.360000000335276,5307276.660000000149012,10336736.019999999552965
FS( 30 ),4941081.280000000260770,5312540.500000000000000,10253621.780000001192093
FS( 31 ),4836449.760000000707805,5338859.700000000186265,10175309.460000000894070
FS( 32 ),4878099.200000001117587,5325042.120000001043081,10203141.320000002160668
FS( 33 ),4931938.719999999739230,5362546.980000000447035,10294485.699999999254942
FS( 34 ),4942097.120000000111759,5429002.960000000894070,10371100.080000001937151
FS( 35 ),4864893.280000000260770,5417159.320000000298023,10282052.600000001490116
FS( 36 ),4852703.200000001117587,5428344.980000000447035,10281048.180000001564622
FS( 37 ),4821212.160000000149012,5437556.700000000186265,10258768.859999999403954
FS( 38 ),4887241.760000000707805,5442820.540000000037253,10330062.300000000745058
FS( 39 ),4861845.760000000707805,5423739.120000001043081,10285584.880000002682209
FS( 40 ),4896384.320000001229346,5370442.740000001154840,10266827.060000002384186
FS( 41 ),5047744.480000000447035,5365178.900000001303852,10412923.380000002682209
FS( 42 ),5014221.760000000707805,5328332.020000000484288,10342553.780000001192093
FS( 43 ),5022348.480000000447035,5313198.480000000447035,10335546.960000000894070
FS( 44 ),4983746.560000000521541,5299380.900000001303852,10283127.460000000894070
FS( 45 ),4905526.880000000819564,5309908.580000001005828,10215435.460000000894070
FS( 46 ),4818164.640000000596046,5338859.700000000186265,10157024.339999999850988
FS( 47 ),4821212.160000000149012,5339517.680000000633299,10160729.839999999850988
FS( 48 ),4811053.760000000707805,5346755.460000000894070,10157809.220000002533197
FS( 49 ),4729786.560000000521541,5287537.260000000707805,10017323.820000000298023
FS( 50 ),4739944.959999999962747,5311882.520000000484288,10051827.480000000447035
FS( 51 ),4824259.680000000633299,5360573.040000000037253,10184832.720000000670552
FS( 52 ),4741976.640000000596046,5345439.500000000000000,10087416.140000000596046
FS( 53 ),4718612.320000001229346,5382944.360000000335276,10101556.680000001564622
FS( 54 ),4647503.520000000484288,5429660.940000000409782,10077164.460000000894070
FS( 55 ),4576394.719999999739230,5440846.600000000558794,10017241.320000000298023
FS( 56 ),4720644.000000000000000,5448084.379999999888241,10168728.379999998956919
FS( 57 ),4682042.080000001005828,5438214.680000000633299,10120256.760000001639128
FS( 58 ),4806990.400000000372529,5414527.400000001303852,10221517.800000000745058
FS( 59 ),4735881.600000000558794,5384918.300000000745058,10120799.900000002235174
FS( 60 ),4818164.640000000596046,5416501.339999999850988,10234665.980000000447035
FS( 61 ),4864893.280000000260770,5550071.280000000260770,10414964.560000000521541
FS( 62 ),4847624.000000000000000,5564546.839999999850988,10412170.839999999850988
FS( 63 ),4870988.320000001229346,5548097.339999999850988,10419085.660000000149012
FS( 64 ),4981714.880000000819564,5635608.680000000633299,10617323.560000002384186
FS( 65 ),5071108.800000000745058,5634950.700000000186265,10706059.500000000000000
FS( 66 ),5104631.520000000484288,5649426.260000000707805,10754057.780000001192093
FS( 67 ),5183867.040000000968575,5662585.860000000335276,10846452.900000002235174
FS( 68 ),5220437.280000000260770,5632318.780000000260770,10852756.060000000521541
FS( 69 ),5137138.400000000372529,5615869.280000000260770,10753007.679999999701977
FS( 70 ),5134090.880000000819564,5592182.000000000000000,10726272.880000000819564
FS( 71 ),5196057.120000000111759,5590208.059999999590218,10786265.179999999701977
FS( 72 ),5191993.760000000707805,5646136.360000000335276,10838130.120000001043081
FS( 73 ),5295609.440000000409782,5624423.020000000484288,10920032.460000000894070
FS( 74 ),5424621.120000000111759,5619159.180000000633299,11043780.300000000745058
FS( 75 ),5469318.080000001005828,5672455.559999999590218,11141773.640000000596046
FS( 76 ),5614583.200000001117587,5676403.440000000409782,11290986.640000000596046
FS( 77 ),5620678.240000000223517,5694168.900000001303852,11314847.140000000596046
FS( 78 ),5708040.480000000447035,5827080.860000000335276,11535121.339999999850988
FS( 79 ),5783212.640000000596046,5798129.740000001154840,11581342.380000002682209
FS( 80 ),5854321.440000000409782,5791549.940000000409782,11645871.380000000819564
FS( 81 ),5696866.240000000223517,5730357.800000000745058,11427224.040000000968575
FS( 82 ),5685692.000000000000000,5709960.420000000856817,11395652.420000001788139
FS( 83 ),5666391.040000000968575,5690221.020000000484288,11356612.060000002384186
FS( 84 ),5757816.640000000596046,5684299.200000000186265,11442115.839999999850988
FS( 85 ),5644042.560000000521541,5596787.860000000335276,11240830.420000001788139
FS( 86 ),5696866.240000000223517,5628370.900000001303852,11325237.140000000596046
FS( 87 ),5476428.959999999962747,5545465.420000000856817,11021894.380000000819564
FS( 88 ),5421573.600000000558794,5598103.820000000298023,11019677.420000001788139
FS( 89 ),5125964.160000000149012,5402683.760000000707805,10528647.920000001788139
FS( 90 ),5427668.640000000596046,5656006.059999999590218,11083674.699999999254942
FS( 91 ),5278340.160000000149012,5532305.820000000298023,10810645.980000000447035
FS( 92 ),5423605.280000000260770,5677061.420000000856817,11100666.700000001117587
FS( 93 ),5471349.760000000707805,5691536.980000000447035,11162886.740000002086163
FS( 94 ),5563791.200000001117587,5712592.339999999850988,11276383.540000000968575
FS( 95 ),5521125.920000000856817,5702722.640000000596046,11223848.560000002384186
FS( 96 ),5521125.920000000856817,5757334.980000000447035,11278460.900000002235174
FS( 97 ),5311862.880000000819564,5632976.760000000707805,10944839.640000000596046
FS( 98 ),5166597.760000000707805,5739569.520000000484288,10906167.280000001192093
FS( 99 ),5172692.800000000745058,5774442.460000000894070,10947135.260000001639128
FS( 100 ),5421573.600000000558794,5890904.920000000856817,11312478.520000001415610
FS( 101 ),5459159.680000000633299,5930383.719999999739230,11389543.400000000372529
FS( 102 ),5423605.280000000260770,5836950.559999999590218,11260555.839999999850988
FS( 103 ),5566838.719999999739230,5917224.120000001043081,11484062.839999999850988
FS( 104 ),5659280.160000000149012,5973810.400000001303852,11633090.560000002384186
FS( 105 ),5659280.160000000149012,5973152.420000000856817,11632432.580000001937151
FS( 106 ),5585123.839999999850988,5948807.160000000149012,11533931.000000000000000
FS( 107 ),5529252.640000000596046,5926435.839999999850988,11455688.480000000447035
FS( 108 ),5428684.480000000447035,5861953.800000000745058,11290638.280000001192093
FS( 109 ),5510967.520000000484288,5844188.339999999850988,11355155.859999999403954
FS( 110 ),5571917.920000000856817,5875113.400000001303852,11447031.320000002160668
FS( 111 ),5574965.440000000409782,5830370.760000000707805,11405336.200000001117587
FS( 112 ),5478460.640000000596046,5594813.920000000856817,11073274.560000002384186
FS( 113 ),5514015.040000000968575,5671139.600000000558794,11185154.640000000596046
FS( 114 ),5582076.320000001229346,5666533.740000001154840,11248610.060000002384186
FS( 115 ),5649121.760000000707805,5707986.480000000447035,11357108.240000002086163
FS( 116 ),5702961.280000000260770,5794839.839999999850988,11497801.120000001043081
FS( 117 ),5811656.160000000149012,5809315.400000001303852,11620971.560000002384186
FS( 118 ),5973174.719999999739230,5843530.360000000335276,11816705.080000000074506
FS( 119 ),5999586.560000000521541,5876429.360000000335276,11876015.920000001788139
FS( 120 ),5981301.440000000409782,5758650.940000000409782,11739952.380000000819564
FS( 121 ),5830957.120000000111759,5657980.000000000000000,11488937.120000001043081
FS( 122 ),5867527.360000000335276,5748781.240000001154840,11616308.600000001490116
FS( 123 ),5851273.920000000856817,5878403.300000000745058,11729677.220000002533197
FS( 124 ),5794386.880000000819564,5904722.500000000000000,11699109.380000000819564
FS( 125 ),5761880.000000000000000,5792207.920000000856817,11554087.920000001788139
FS( 126 ),5668422.719999999739230,5841556.420000000856817,11509979.140000000596046
FS( 127 ),5533316.000000000000000,5778390.339999999850988,11311706.339999999850988
