代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11164605.219999998807907
真實報酬,1164605.219999998807907

夏普值報酬,0.107760522000000
夏普值風險,0.042594354922778
夏普值,2.529924967648057

二次趨勢線,105.679728066582243 x^2 + -3126.052137420477720 x + 10000000.000000000000000
二次加權預期報酬,14980.407937987283731
風險,149245.336285637924448
二次加權趨勢值,0.100374378930787
一次趨勢線,7058.677453058538049 x + 10000000.000000000000000
一次預期報酬,7058.677453058538049
一次風險,245929.433829633169807
一次趨勢值,0.028702044091023
找到最佳解世代,1852
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
INTC[11](1),MRK[17](3),PG[21](2),V[25](8),
Stock#,INTC[11](1),MRK[17](3),PG[21](2),V[25](8),
張數,77041,46554,29929,32220,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,19.549999999813735,50.199999999720603,30.629999999888241,50.199999999720603,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2465331.549999999813735,2532587.799999999813735,2490422.719999999739230,2507732.799999999813735,9996074.869999999180436
FS( 3 ),2457627.449999999720603,2525139.159999999683350,2488926.270000000018626,2480023.599999999627471,9951716.479999998584390
FS( 4 ),2471494.829999999608845,2589849.219999999739230,2508380.120000000111759,2519976.399999999441206,10089700.569999998435378
FS( 5 ),2430663.100000000093132,2580072.879999999888241,2491320.589999999850988,2499677.799999999813735,10001734.370000001043081
FS( 6 ),2436826.379999999888241,2577279.639999999664724,2490123.430000000167638,2514176.799999999813735,10018406.250000000000000
FS( 7 ),2439908.020000000018626,2562847.899999999441206,2476056.799999999813735,2507410.599999999627471,9986223.320000000298023
FS( 8 ),2454545.809999999590218,2576348.560000000055879,2479049.699999999720603,2529964.599999999627471,10039908.669999998062849
FS( 9 ),2475346.879999999888241,2605212.039999999571592,2467975.969999999739230,2568306.399999999441206,10116841.289999999105930
