代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12630499.470000000670552
真實報酬,2630499.470000000670552

夏普值報酬,0.254349947000000
夏普值風險,0.068416364825738
夏普值,3.717677015548093

二次趨勢線,85.087691974701002 x^2 + 9417.275616086290029 x + 10000000.000000000000000
二次加權預期報酬,23768.732995819198550
風險,127239.474923588757520
二次加權趨勢值,0.186803136448756
一次趨勢線,17489.844274065548234 x + 10000000.000000000000000
一次預期報酬,17489.844274065548234
一次風險,198627.947737529175356
一次趨勢值,0.088053289948789
找到最佳解世代,2376
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
CAT[3](2),CVX[5](1),KO[14](19),PFE[20](3),UNH[23](5),
Stock#,CAT[3](2),CVX[5](1),KO[14](19),PFE[20](3),UNH[23](5),
張數,25568,24405,67658,116414,56449,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,71.040000000037253,10.250000000000000,29.520000000018626,7.479999999981374,11.929999999934807,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),1975710.399999999906868,1984380.800000000046566,1991881.040000000037253,1967404.079999999841675,1949760.389999999897555,9869136.710000000894070
FS( 3 ),2030170.240000000223517,2035143.199999999953434,2018267.659999999916181,2005820.699999999953434,1979678.359999999869615,10069080.160000000149012
FS( 4 ),2016363.520000000018626,2041732.549999999813735,2021650.560000000055879,2001164.140000000130385,1922100.379999999888241,10003011.149999998509884
FS( 5 ),2013295.359999999869615,2038315.849999999860302,2010825.280000000027940,2023282.799999999813735,1938470.590000000083819,10024189.880000000819564
FS( 6 ),2054971.200000000186265,2048565.949999999953434,2010148.700000000186265,2032595.920000000158325,1939035.080000000074506,10085316.850000001490116
FS( 7 ),2044999.680000000167638,2042952.799999999813735,2014884.760000000009313,2023282.799999999813735,1955969.779999999795109,10082089.820000000298023
FS( 8 ),2028636.160000000149012,2046125.450000000186265,2016237.920000000158325,2034924.199999999953434,1976855.910000000149012,10102779.640000000596046
FS( 9 ),2052925.760000000242144,2041976.600000000093132,2027739.780000000027940,2064027.699999999953434,1993790.609999999869615,10180460.450000001117587
FS( 10 ),2043209.919999999925494,2047589.750000000232831,2027063.200000000186265,2055878.719999999972060,2019757.149999999906868,10193498.740000000223517
FS( 11 ),2039119.040000000037253,2040512.300000000046566,2027739.780000000027940,2066355.979999999981374,2031046.949999999720603,10204774.049999998882413
FS( 12 ),2051647.359999999869615,2061744.650000000139698,2029769.520000000018626,2072176.680000000167638,2046288.179999999934807,10261626.389999998733401
FS( 13 ),2008437.439999999944121,2020500.200000000186265,2041271.380000000121072,2024446.939999999944121,1992661.629999999888241,10087317.589999999850988
FS( 14 ),2053692.799999999813735,2050518.349999999860302,2069011.159999999916181,2055878.719999999972060,2073383.699999999720603,10302484.729999998584390
FS( 15 ),2017130.560000000055879,2056131.500000000000000,2079836.439999999944121,2052386.299999999813735,2059835.939999999944121,10265320.740000000223517
FS( 16 ),2002812.479999999981374,2063453.000000000000000,2084572.500000000000000,2037252.479999999981374,2103301.669999999925494,10291392.130000000819564
FS( 17 ),2021221.439999999944121,2071262.600000000093132,2064275.100000000093132,2051222.160000000149012,2120236.370000000111759,10328217.670000001788139
FS( 18 ),2010994.240000000223517,2078096.000000000232831,2071717.479999999981374,2036088.339999999850988,2120800.860000000335276,10317696.920000001788139
FS( 19 ),2000000.000000000000000,2057595.800000000046566,2070364.320000000065193,2011641.400000000139698,2028224.500000000000000,10167826.019999999552965
FS( 20 ),1987727.359999999869615,2060768.449999999953434,2071040.899999999906868,2045401.459999999962747,2046288.179999999934807,10211226.349999999627471
FS( 21 ),2009715.839999999850988,2015863.249999999767169,2074423.800000000046566,2027939.360000000102445,2034998.379999999888241,10162940.629999998956919
FS( 22 ),2026846.399999999906868,1987797.500000000000000,2087955.399999999906868,2051222.160000000149012,2038385.319999999832362,10192206.779999999329448
FS( 23 ),2039119.040000000037253,2004881.000000000232831,2092691.459999999962747,2031431.779999999795109,2088624.929999999934807,10256748.209999999031425
FS( 24 ),2042442.879999999888241,2018303.750000000000000,2096074.360000000102445,2047729.739999999990687,2069432.269999999785796,10273983.000000000000000
