代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11085566.280000001192093
真實報酬,1085566.280000001192093

夏普值報酬,0.099856628000000
夏普值風險,0.050507059337571
夏普值,1.977082596169272

二次趨勢線,233.227428736793939 x^2 + -19143.837428149865445 x + 10000000.000000000000000
二次加權預期報酬,20504.825457105111127
風險,159706.262427374342224
二次加權趨勢值,0.128390866741557
一次趨勢線,3158.192463293198216 x + 10000000.000000000000000
一次預期報酬,3158.192463293198216
一次風險,453734.102362370234914
一次趨勢值,0.006960447642904
找到最佳解世代,2376
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MCD[15](4),VZ[26](1),
Stock#,MCD[15](4),VZ[26](1),
張數,73986,170998,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,26.120000000111759,18.480000000447035,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5033293.700000000186265,5029069.660000000149012,10062363.359999999403954
FS( 3 ),5017016.780000000260770,4988030.140000000596046,10005046.920000001788139
FS( 4 ),5008878.320000000298023,4834131.940000000409782,9843010.260000001639128
FS( 5 ),5087303.480000000447035,4822162.080000000074506,9909465.560000000521541
FS( 6 ),5081384.600000000558794,4808482.240000000223517,9889866.839999999850988
FS( 7 ),5070286.700000000186265,4786252.500000000000000,9856539.199999999254942
FS( 8 ),5099141.240000000223517,4806772.260000000707805,9905913.500000000000000
FS( 9 ),5136134.240000000223517,4772572.660000000149012,9908706.900000000372529
FS( 10 ),5116897.879999999888241,4722983.240000000223517,9839881.120000001043081
FS( 11 ),5107279.700000000186265,4729823.160000000149012,9837102.859999999403954
FS( 12 ),5173127.240000000223517,4753762.880000000819564,9926890.120000001043081
FS( 13 ),5204201.360000000335276,4757182.840000000782311,9961384.200000001117587
FS( 14 ),5205681.080000000074506,4726403.200000000186265,9932084.280000001192093
FS( 15 ),5255251.700000000186265,4680233.740000000223517,9935485.440000001341105
FS( 16 ),5264130.020000000484288,4644324.160000000149012,9908454.179999999701977
FS( 17 ),5254511.839999999850988,4627224.360000000335276,9881736.199999999254942
FS( 18 ),5218258.700000000186265,4596444.720000000670552,9814703.420000001788139
FS( 19 ),5204201.360000000335276,4656294.020000000484288,9860495.380000000819564
FS( 20 ),5291504.839999999850988,4671683.840000000782311,9963188.679999999701977
FS( 21 ),5222697.860000000335276,4620384.440000000409782,9843082.300000000745058
FS( 22 ),5284106.240000000223517,4681943.720000000670552,9966049.960000000894070
FS( 23 ),5226397.160000000149012,4596444.720000000670552,9822841.880000000819564
FS( 24 ),5227876.879999999888241,4584474.860000000335276,9812351.740000000223517
FS( 25 ),5136134.240000000223517,4478456.100000000558794,9614590.339999999850988
FS( 26 ),5031813.980000000447035,4507525.760000000707805,9539339.740000002086163
FS( 27 ),5221958.000000000000000,4574214.980000000447035,9796172.980000000447035
FS( 28 ),5214559.400000000372529,4540015.380000000819564,9754574.780000001192093
FS( 29 ),5228616.740000000223517,4587894.820000000298023,9816511.560000000521541
FS( 30 ),5216039.120000000111759,4586184.840000000782311,9802223.960000000894070
FS( 31 ),5148711.860000000335276,4558825.160000000149012,9707537.019999999552965
FS( 32 ),5189404.160000000149012,4582764.880000000819564,9772169.040000000968575
FS( 33 ),5180525.839999999850988,4543435.340000000782311,9723961.179999999701977
FS( 34 ),5134654.520000000484288,4558825.160000000149012,9693479.679999999701977
FS( 35 ),5005918.879999999888241,4437416.580000000074506,9443335.460000000894070
FS( 36 ),5020716.080000000074506,4469906.200000000186265,9490622.280000001192093
FS( 37 ),5005918.879999999888241,4394667.080000000074506,9400585.960000000894070
FS( 38 ),5019236.360000000335276,4380987.240000000223517,9400223.600000001490116
FS( 39 ),4883841.980000000447035,4305748.120000000111759,9189590.100000001490116
FS( 40 ),4971885.320000000298023,4410056.900000000372529,9381942.220000000670552
FS( 41 ),4947469.940000000409782,4399797.020000000484288,9347266.960000000894070
