代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,13622417.224250000000
真實報酬,3622417.224250000000

夏普值報酬,0.353541722425
夏普值風險,0.089633746221
夏普值,3.944292605542

預期報酬,14596.174304423173
風險,203756.458479497580
起點值,0.071635394595
找到最佳解世代,3387
找到最佳解實驗#,1
找到最佳解次數,47

投資組合檔數,6
1326(5),2301(12),2408(23),2892(39),4904(44),6505(47),
Stock#,1326(5),2301(12),2408(23),2892(39),4904(44),6505(47),
張數,27,61,41,132,27,23,
分配資金,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,
剩餘資金,4070.172250000000,1436.424499999767,2157.450500000233,10349.107000000233,41383.267749999999,60590.599249999766,
FS( 1 ),1664300.172250000100,1664296.424500000000,1664297.450500000000,1664309.107000000100,1664353.267750000100,1664380.599250000000,9985941.021250000200
FS( 2 ),1664211.396250000000,1714024.539499999700,1651227.880500000000,1662246.970000000400,1642387.336750000200,1644918.786999999500,9979020.910000000100
FS( 3 ),1666630.643500000000,1710988.035749999600,1586734.532000000400,1651733.698000000300,1635129.595000000200,1659344.668749999700,9910565.173000000400
FS( 4 ),1676307.632500000100,1714024.539499999700,1558977.901000000300,1641220.426000000400,1642387.336750000200,1642857.946749999900,9875779.782500000700
FS( 5 ),1654534.407250000200,1681230.298999999600,1585101.789000000300,1641220.426000000400,1652333.131000000100,1638507.283999999500,9852931.336249999700
FS( 6 ),1669049.890750000000,1613819.915749999900,1654901.552250000400,1624136.359000000200,1654752.378250000100,1638507.283999999500,9855171.380000000800
FS( 7 ),1693242.363249999900,1638111.945749999700,1553671.486250000100,1629392.995000000300,1662010.120000000100,1657283.828499999800,9833716.738749999600
FS( 8 ),1710177.094000000000,1681230.298999999600,1568366.173250000000,1635963.790000000300,1676794.408749999900,1698729.615749999600,9971265.380750000500
FS( 9 ),1710177.094000000000,1656938.268999999900,1588775.460750000100,1629392.995000000300,1681632.903250000000,1700790.455999999500,9967711.178000001200
FS( 10 ),1724692.577500000100,1664833.178749999700,1572039.845000000400,1624136.359000000200,1684052.150500000000,1696668.775500000000,9966426.886250000400
FS( 11 ),1702919.352250000000,1673335.389250000000,1586734.532000000400,1601795.656000000200,1700986.881250000100,1700790.455999999500,9966566.266750000400
FS( 12 ),1702919.352250000000,1692161.712499999700,1525914.855250000300,1596539.020000000300,1715771.169999999900,1686364.574249999800,9919674.684250000900
FS( 13 ),1681146.126999999900,1689125.208749999800,1422643.860500000400,1591282.384000000100,1706094.180999999900,1698729.615749999600,9789025.377000000300
FS( 14 ),1647276.665500000100,1673335.389250000000,1437338.547500000300,1563685.045000000400,1693729.139500000000,1698729.615749999600,9714098.402499999900
FS( 15 ),1671469.138000000000,1703093.125999999900,1489178.137750000200,1575512.476000000500,1706094.180999999900,1717506.160249999700,9862857.219000000500
FS( 16 ),1712596.341250000300,1762608.599499999800,1496525.481250000200,1591282.384000000100,1742651.694999999800,1742465.225499999900,10048133.726500001000
FS( 17 ),1695661.610500000000,1708558.832749999800,1485096.280250000100,1586025.748000000400,1732705.900750000000,1742465.225499999900,9950517.597750000700
FS( 18 ),1702919.352250000000,1754713.689749999900,1470401.593250000200,1596539.020000000300,1752328.683999999900,1725749.521249999800,10002655.860500000000
FS( 19 ),1702919.352250000000,1857347.516499999400,1431623.947000000600,1629392.995000000300,1715771.169999999900,1721627.840749999700,10058686.821500000000
FS( 20 ),1734369.566500000400,1905931.576499999700,1465095.178500000200,1674074.401000000500,1718190.417249999900,1763073.627999999800,10260738.767750001000
FS( 21 ),1731950.319250000200,1892570.959999999700,1509179.239500000400,1684587.673000000200,1718190.417249999900,1761012.787749999900,10297495.396750001000
FS( 22 ),1746465.802749999800,1927794.403499999500,1459380.578000000200,1689844.309000000100,1747490.189499999900,1773606.811499999800,10344586.094249999000
FS( 23 ),1746465.802749999800,2022533.320499999900,1439379.476250000500,1674074.401000000500,1742651.694999999800,1771545.971249999700,10396654.666750001000
FS( 24 ),1712596.341250000300,1981844.170249999700,1407949.173500000300,1646477.062000000200,1735125.148000000000,1729871.201749999500,10213867.096749999000
FS( 25 ),1731950.319250000200,1900465.869749999800,1404275.501750000500,1674074.401000000500,1759586.425750000400,1733992.882249999800,10204349.399750002000
FS( 26 ),1739208.061000000000,2017067.613749999800,1431623.947000000600,1696415.104000000300,1745070.942249999800,1731932.041999999700,10361321.710000001000
FS( 27 ),1736788.813749999700,2041359.643750000000,1444685.891000000300,1674074.401000000500,1727867.406250000000,1742465.225499999900,10367245.381250001000
FS( 28 ),1768507.833249999900,2022533.320499999900,1444685.891000000300,1684587.673000000200,1740232.447749999800,1783911.012749999800,10444462.178250000000
FS( 29 ),1763400.533500000100,2033464.733999999700,1472442.522000000600,1701671.740000000200,1725448.159000000000,1783911.012749999800,10480342.701250002000
FS( 30 ),1753723.544500000100,1998241.290499999700,1496525.481250000200,1701671.740000000200,1727867.406250000000,1767424.290749999700,10445457.753249999000
FS( 31 ),1758562.038999999900,2033464.733999999700,1487137.209000000500,1701671.740000000200,1706094.180999999900,1773606.811499999800,10460540.714500001000
FS( 32 ),1773346.327749999900,2046825.350499999700,1487137.209000000500,1696415.104000000300,1703406.128499999600,1794215.213999999700,10501349.333750000000
FS( 33 ),1773346.327749999900,2025569.824249999600,1492851.809500000400,1696415.104000000300,1725448.159000000000,1812991.758499999800,10526626.983000001000
FS( 34 ),1816892.778250000000,2079619.590999999800,1522241.183500000500,1712185.012000000100,1737813.200500000300,1812991.758499999800,10681747.523750002000
FS( 35 ),1819312.025500000200,2063222.470749999900,1509179.239500000400,1729269.079000000400,1745070.942249999800,1852376.705499999700,10718434.462500000000
FS( 36 ),1836246.756250000100,2022533.320499999900,1492851.809500000400,1739782.351000000500,1737813.200500000300,1837950.823750000000,10667182.261500001000
FS( 37 ),1858019.981500000000,2038930.440749999600,1489178.137750000200,1755552.259000000100,1759586.425750000400,1840011.663999999600,10741282.908749999000
FS( 38 ),1872535.465000000300,1968483.553749999700,1531221.270000000500,1755552.259000000100,1752328.683999999900,1879396.610999999800,10759521.842750000000
FS( 39 ),1906404.926500000100,1981844.170249999700,1577346.259750000200,1762123.054000000500,1757167.178499999900,1912599.037249999600,10897488.626249999000
FS( 40 ),1933285.451500000000,2006136.200249999800,1529588.527000000500,1755552.259000000100,1725448.159000000000,1887639.971999999800,10837654.568750000000
FS( 41 ),1899147.184750000000,2000670.493499999900,1509179.239500000400,1755552.259000000100,1757167.178499999900,1891990.634750000000,10813710.990000000000
FS( 42 ),1874954.712249999600,1981844.170249999700,1498158.224250000000,1762123.054000000500,1747490.189499999900,1869092.409749999900,10733666.760000000000
FS( 43 ),1894308.690250000000,1995812.087499999900,1512852.911250000100,1755552.259000000100,1757167.178499999900,1879396.610999999800,10795093.737500001000
FS( 44 ),1874954.712249999600,1963017.846999999600,1551630.557500000300,1762123.054000000500,1759586.425750000400,1877335.770749999900,10788652.367249999000
FS( 45 ),1867696.970499999800,1968483.553749999700,1509179.239500000400,1755552.259000000100,1764424.920249999500,1873214.090249999400,10738555.033250000000
FS( 46 ),1877373.959499999900,2011601.906999999900,1533262.198750000000,1762123.054000000500,1779209.209000000300,1887639.971999999800,10851214.300249999000
FS( 47 ),1894308.690250000000,2041359.643750000000,1505505.567750000200,1772636.326000000400,1801251.239500000100,1925193.060999999800,10940258.528250001000
FS( 48 ),1938123.946000000000,2041359.643750000000,1498158.224250000000,1777892.962000000100,1796143.939749999900,1985415.392749999900,11037098.108500002000
FS( 49 ),1913662.668250000300,2074153.884249999900,1479789.865500000100,1772636.326000000400,1784047.703499999800,1945801.463499999600,10970095.911000002000
FS( 50 ),1916081.915499999900,2063222.470749999900,1472442.522000000600,1772636.326000000400,1771951.467249999800,2022739.499499999700,11019078.200999999000
FS( 51 ),1916081.915499999900,2071117.380499999700,1474075.265000000400,1772636.326000000400,1801251.239500000100,1991597.913499999800,11026764.039999999000
FS( 52 ),1935704.698750000200,2079619.590999999800,1476116.193750000300,1767379.690000000200,1810928.228499999700,1997780.434249999900,11067532.836250000000
FS( 53 ),1908824.173750000100,2033464.733999999700,1479789.865500000100,1762123.054000000500,1803670.486750000200,1976943.049499999700,10964819.363499999000
FS( 54 ),1916081.915499999900,2055327.560999999800,1470401.593250000200,1762123.054000000500,1798831.992249999700,1966638.848249999600,10969408.964250000000
FS( 55 ),1906404.926500000100,2066258.974499999800,1474075.265000000400,1750295.623000000400,1788886.198000000300,1935497.262249999400,10921422.249250000000
FS( 56 ),1945381.687750000000,2131240.154749999800,1477748.936750000100,1762123.054000000500,1788886.198000000300,1991597.913499999800,11096981.944750000000
FS( 57 ),1947800.935000000300,2131240.154749999800,1476116.193750000300,1755552.259000000100,1801251.239500000100,1981293.712249999600,11093258.494250001000
FS( 58 ),1969574.160250000400,2092980.207499999100,1474075.265000000400,1755552.259000000100,1779209.209000000300,1989537.073249999700,11060932.174000001000
FS( 59 ),1911243.421000000100,2168892.801249999100,1450400.491500000000,1734525.715000000300,1762005.673000000000,1923132.220750000100,10950204.322500000000
FS( 60 ),1908824.173750000100,2150066.478000000100,1435297.618750000100,1717441.648000000300,1767112.972750000200,1921071.380499999700,10899818.271750001000
FS( 61 ),1945381.687750000000,2128203.651000000100,1426317.532250000400,1722698.284000000200,1767112.972750000200,1927253.901249999600,10916972.028999999000
FS( 62 ),1955058.676749999900,2139135.064500000300,1426317.532250000400,1729269.079000000400,1796143.939749999900,1925193.060999999800,10971121.353250001000
FS( 63 ),1967154.913000000200,2125774.447999999400,1400601.830000000100,1734525.715000000300,1786466.950750000300,1956334.646999999600,10970862.503750000000
FS( 64 ),1998605.127250000100,2133669.357750000000,1391213.557750000400,1762123.054000000500,1806089.734000000200,1983354.552499999800,11075059.383250002000
