代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,13230451.170000002000
真實報酬,3230451.170000001800

夏普值報酬,0.314345117000
夏普值風險,0.090592965500
夏普值,3.469862315073

預期報酬,14508.479601404704
風險,252724.522584826920
起點值,0.057408277808
找到最佳解世代,3491
找到最佳解實驗#,5
找到最佳解次數,21

投資組合檔數,5
1102(1),2301(10),2357(21),3045(41),4904(45),
Stock#,1102(1),2301(10),2357(21),3045(41),4904(45),
張數,78,97,14,31,52,
分配資金,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,
剩餘資金,12071.232500000000,14494.681000000000,13793.683500000232,14725.008750000001,24308.646000000233,
FS( 1 ),1997171.232499999900,1997174.681000000100,1997173.683500000000,1997175.008750000000,1997188.645999999900,9985883.251749999800
FS( 2 ),1977515.485999999600,1977778.536749999700,1974180.416000000400,1986242.269750000000,2035051.562000000400,9950768.270500000600
FS( 3 ),1975185.840500000200,1943978.765500000200,1955085.287500000300,1986242.269750000000,2104423.228000000600,9964915.391250001300
FS( 4 ),2021002.202000000000,1957498.674000000100,1993275.544500000300,2083151.540249999800,2100799.335000000000,10155727.295750000000
FS( 5 ),2024108.395999999900,1988401.322000000200,2040804.295000000200,2092101.759500000200,2154640.031000000000,10300055.803500000000
FS( 6 ),2002365.037999999700,1988401.322000000200,2040804.295000000200,2085311.937999999800,2220387.804000000000,10337270.397000000000
FS( 7 ),1980621.680000000200,1974881.413500000300,2016970.229500000400,2085311.937999999800,2158781.623000000100,10216566.884000001000
FS( 8 ),1903743.378499999900,1974881.413500000300,1964702.542000000400,2078522.116500000500,2143250.652999999900,10065100.103500001000
FS( 9 ),1909179.217999999900,1977778.536749999700,1950346.350500000200,2062782.075749999800,2093033.850000000100,9993120.030999999500
FS( 10 ),1920050.897000000100,2011578.308000000200,2002753.418500000100,2076361.718750000000,2124095.790000000500,10134840.132250002000
FS( 11 ),1906849.572499999500,2045378.079250000200,1974180.416000000400,2157530.948500000400,2162405.516000000300,10246344.532250002000
FS( 12 ),1829971.270999999900,2103320.544249999800,1950346.350500000200,2200430.275249999900,2204856.833999999800,10288925.275000000000
FS( 13 ),1784154.909500000100,2119737.575999999900,1974180.416000000400,2214009.918249999600,2293901.062000000400,10385983.881750001000
FS( 14 ),1748433.678499999900,2180577.164249999900,1940868.476500000100,2180060.810750000200,2224529.396000000200,10274469.526000001000
FS( 15 ),1690969.089500000000,2150640.223999999900,1926651.665500000400,2130371.662499999600,2151016.138000000300,10049648.779500000000
FS( 16 ),1694075.283499999900,2170920.086749999800,1826715.847000000300,2119261.045500000000,2189843.563000000100,10000815.825750001000
FS( 17 ),1666896.085999999700,2022201.093249999900,1769569.842000000200,2089941.361749999900,2189843.563000000100,9738451.946000000500
FS( 18 ),1718924.835499999800,2089800.635749999700,1760091.968000000600,2078522.116500000500,2259215.229000000300,9906554.784749999600
FS( 19 ),1742997.838999999900,2089800.635749999700,1812359.655500000300,2051671.458750000000,2251449.743999999900,9948279.333000000600
FS( 20 ),1800462.428000000100,2092697.759000000100,1878983.534500000300,2074201.321000000200,2305808.139000000400,10152153.181500001000
FS( 21 ),1802792.073499999700,2137120.315499999600,1931390.602500000500,2135001.086250000600,2274746.199000000500,10281050.276750000000
FS( 22 ),1775612.875999999900,2197959.903750000100,1959963.605000000200,2184690.234499999800,2228153.289000000300,10346379.908250000000
FS( 23 ),1857927.017000000000,2252039.537750000100,2002753.418500000100,2191480.055999999900,2274746.199000000500,10578946.228250001000
FS( 24 ),1849384.983500000100,2211479.812250000000,1955085.287500000300,2157530.948500000400,2313573.624000000300,10487054.655750001000
FS( 25 ),1847055.337999999800,2204719.858000000000,1950346.350500000200,2152901.524749999900,2313573.624000000300,10468596.695249999000
FS( 26 ),1816769.946499999800,2197959.903750000100,1907556.537000000200,2164320.770000000000,2266980.714000000200,10353587.871250000000
FS( 27 ),1813663.752499999900,2261696.615250000300,1926651.665500000400,2171110.591500000600,2301666.547000000300,10474789.171750002000
FS( 28 ),1756975.711999999800,2268456.569499999800,1936129.539500000200,2150741.126999999900,2324963.001999999900,10437265.949999999000
FS( 29 ),1737561.999499999700,2241416.752499999500,1974180.416000000400,2121421.443250000000,2324963.001999999900,10399543.613250000000
FS( 30 ),1756975.711999999800,2200857.026999999800,2012231.292500000200,2114631.621750000400,2298042.654000000100,10382738.307250001000
