代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,13284021.106500000000
真實報酬,3284021.106499999800

夏普值報酬,0.319702110650
夏普值風險,0.079958995764
夏普值,3.998325736758

預期報酬,12352.812944496480
風險,233184.349022756560
起點值,0.052974451314
找到最佳解世代,3953
找到最佳解實驗#,2
找到最佳解次數,44

投資組合檔數,7
2002(8),2207(11),2317(16),2330(19),2354(22),2357(23),2474(28),
Stock#,2002(8),2207(11),2317(16),2330(19),2354(22),2357(23),2474(28),
張數,64,4,27,15,24,7,8,
分配資金,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,
剩餘資金,16000.951999999999,216726.579000000000,14458.757500000000,42999.370000000003,4784.992000000000,10593.257000000000,129682.717999999990,
FS( 1 ),1426560.952000000000,1426846.578999999900,1426558.757500000100,1426599.370000000100,1426544.992000000100,1426553.257000000000,1426722.718000000100,9986389.625499999200
FS( 2 ),1409487.368000000000,1407394.456000000000,1418428.578250000000,1413906.145000000000,1404244.858000000000,1482939.168750000000,1420983.316000000100,9957386.890000000600
FS( 3 ),1417770.552000000100,1430252.858000000000,1434825.698499999900,1427047.735000000100,1396359.904000000100,1447536.521750000100,1424487.740000000200,9978284.009250000100
FS( 4 ),1414584.712000000100,1424996.222000000100,1423804.683250000000,1413906.145000000000,1394448.400000000100,1450254.441500000200,1428071.810000000100,9950069.413750002200
FS( 5 ),1401204.183999999900,1421491.797999999700,1425686.320000000100,1400764.555000000200,1396359.904000000100,1458408.200750000100,1510346.128000000000,10014264.089750001000
FS( 6 ),1414584.712000000100,1444350.200000000000,1445577.908500000100,1427047.735000000100,1382501.500000000000,1461126.120500000000,1506762.057999999700,10081953.234000001000
FS( 7 ),1420319.224000000200,1458407.718999999800,1450954.013499999900,1413906.145000000000,1388474.950000000000,1455690.281000000000,1539018.688000000100,10126774.020500001000
FS( 8 ),1422867.895999999900,1467208.601999999700,1420310.215000000100,1427047.735000000100,1374616.546000000100,1433946.923000000000,1539018.688000000100,10085019.605000000000
FS( 9 ),1412036.040000000000,1451359.047999999700,1425686.320000000100,1400764.555000000200,1376528.050000000000,1433946.923000000000,1503177.987999999900,10003501.923999999000
FS( 10 ),1436885.591999999900,1446102.411999999800,1425686.320000000100,1394193.760000000000,1380589.996000000000,1442100.682249999800,1481753.214000000200,10007314.976250000000
FS( 11 ),1439434.264000000000,1453151.082999999900,1409558.005000000100,1387473.628749999900,1360758.142000000000,1452972.361249999800,1467416.933999999900,9970767.417999999600
FS( 12 ),1436885.591999999900,1449606.835999999900,1418428.578250000000,1407335.350000000100,1354784.692000000000,1520990.045250000000,1481753.214000000200,10069787.307499999000
FS( 13 ),1447717.448000000100,1440805.952999999700,1432944.061750000100,1374332.038750000100,1356696.196000000000,1485657.088499999800,1524682.407999999800,10062838.194000000000
FS( 14 ),1453451.960000000000,1439053.740999999900,1440201.803500000200,1394193.760000000000,1370554.600000000100,1485657.088499999800,1513930.197999999900,10097046.151000001000
FS( 15 ),1453451.960000000000,1456655.506999999800,1434825.698499999900,1387473.628749999900,1368643.096000000100,1501964.607000000100,1460328.439999999900,10063345.937249999000
FS( 16 ),1447717.448000000100,1447854.623999999800,1434825.698499999900,1413906.145000000000,1376528.050000000000,1463844.040250000100,1499673.563999999800,10084352.569750000000
FS( 17 ),1445168.776000000100,1458407.718999999800,1436438.530000000300,1400764.555000000200,1402333.354000000100,1461126.120500000000,1499673.563999999800,10103915.618500000000
FS( 18 ),1447717.448000000100,1458407.718999999800,1434825.698499999900,1400764.555000000200,1404244.858000000000,1452972.361249999800,1460328.439999999900,10059264.079749998000
FS( 19 ),1470018.328000000200,1458407.718999999800,1440201.803500000200,1413906.145000000000,1402333.354000000100,1463844.040250000100,1471001.003999999700,10119715.393750001000
FS( 20 ),1497416.552000000100,1468960.814000000000,1450954.013499999900,1420476.940000000200,1400421.850000000100,1469279.879750000100,1492505.424000000100,10200018.473250002000
FS( 21 ),1508248.408000000100,1483018.332999999900,1458211.755250000200,1440189.325000000200,1400421.850000000100,1488375.008250000200,1528266.478000000100,10306734.157500001000
FS( 22 ),1503151.064000000000,1511173.193999999900,1454448.481750000000,1433618.530000000500,1386563.446000000000,1469279.879750000100,1513930.197999999900,10272167.793499999000
FS( 23 ),1478301.512000000100,1525230.713000000000,1459824.586750000200,1420476.940000000200,1398271.408000000100,1480151.558750000100,1539018.688000000100,10301278.406500001000
FS( 24 ),1466832.487999999900,1553385.573999999800,1441814.635000000000,1394193.760000000000,1384413.004000000000,1480151.558750000100,1524682.407999999800,10245476.427749999000
FS( 25 ),1461735.144000000100,1527022.747999999900,1434825.698499999900,1394193.760000000000,1368643.096000000100,1471997.799499999700,1492505.424000000100,10150926.670000000000
FS( 26 ),1450266.120000000100,1512925.406000000000,1434825.698499999900,1387473.628749999900,1374616.546000000100,1480151.558750000100,1521098.338000000000,10161360.296000000000
FS( 27 ),1450266.120000000100,1541080.267000000000,1443696.271750000300,1413906.145000000000,1386563.446000000000,1534579.643999999900,1521098.338000000000,10291193.231750000000
FS( 28 ),1447717.448000000100,1551633.362000000000,1461706.223500000100,1374332.038750000100,1402333.354000000100,1529143.804500000100,1556859.392000000000,10323728.622749999000
FS( 29 ),1447717.448000000100,1539328.054999999900,1474340.070250000100,1387473.628749999900,1398271.408000000100,1515554.205749999700,1581947.882000000200,10344635.697749998000
FS( 30 ),1461735.144000000100,1542832.478999999800,1485092.280250000100,1400764.555000000200,1358607.700000000000,1583571.889750000100,1589036.376000000200,10421643.424000001000
FS( 31 ),1483398.856000000100,1544584.690999999900,1493962.853500000000,1407335.350000000100,1362669.646000000200,1589007.729249999900,1556859.392000000000,10437821.517750002000
FS( 32 ),1489133.368000000000,1549881.149999999900,1511972.805250000000,1427047.735000000100,1388474.950000000000,1575418.130500000000,1592620.446000000000,10534551.584750002000
FS( 33 ),1489133.368000000000,1542832.478999999800,1522725.015250000200,1453480.251250000200,1406395.300000000000,1572700.210750000100,1581947.882000000200,10569217.506250001000
FS( 34 ),1475115.672000000000,1507668.769999999800,1521112.183750000100,1460051.046250000100,1394448.400000000100,1567264.371250000100,1581947.882000000200,10507611.325250000000
FS( 35 ),1486584.696000000000,1539328.054999999900,1546111.071999999900,1460051.046250000100,1396359.904000000100,1578136.050249999900,1614124.865999999900,10620698.689500000000
FS( 36 ),1486584.696000000000,1539328.054999999900,1533477.225249999900,1446909.456250000000,1390386.454000000100,1572700.210750000100,1610540.796000000100,10579929.893250000000
FS( 37 ),1486584.696000000000,1546336.902999999900,1528101.120250000200,1460051.046250000100,1384413.004000000000,1599949.098500000100,1635549.640000000100,10640988.507999999000
FS( 38 ),1486584.696000000000,1525230.713000000000,1522725.015250000200,1460051.046250000100,1374616.546000000100,1599949.098500000100,1606956.725999999800,10576116.841000000000
FS( 39 ),1491682.040000000000,1534031.595999999900,1542616.603750000000,1466621.841250000100,1376528.050000000000,1583571.889750000100,1596204.515999999800,10591259.536750000000
FS( 40 ),1450266.120000000100,1509420.981999999800,1540734.967000000200,1427047.735000000100,1358607.700000000000,1545521.013250000100,1574779.742000000100,10406381.259250002000
FS( 41 ),1403752.856000000100,1449606.835999999900,1475952.901750000200,1367761.243749999900,1318943.992000000100,1531861.724250000000,1567611.602000000000,10115494.155750001000
FS( 42 ),1417770.552000000100,1424996.222000000100,1486973.917000000100,1387473.628749999900,1324917.442000000000,1518272.125500000100,1617708.936000000200,10178115.823250001000
FS( 43 ),1428602.408000000100,1484810.368000000000,1477834.538500000000,1413906.145000000000,1340687.350000000100,1534579.643999999900,1703487.678000000300,10383911.131499998000
FS( 44 ),1436885.591999999900,1467208.601999999700,1483210.643500000000,1400764.555000000200,1342837.792000000100,1564546.451500000000,1671310.694000000100,10366767.330000000000
FS( 45 ),1445168.776000000100,1479513.909000000000,1459824.586750000200,1420476.940000000200,1342837.792000000100,1556392.692250000100,1692815.114000000100,10397032.810000001000
FS( 46 ),1447717.448000000100,1488314.791999999900,1493962.853500000000,1427047.735000000100,1348811.242000000100,1589007.729249999900,1764337.222000000100,10559202.021749999000
FS( 47 ),1431151.080000000100,1456655.506999999800,1501220.595250000200,1427047.735000000100,1350722.746000000000,1578136.050249999900,1703487.678000000300,10448424.391500000000
FS( 48 ),1450266.120000000100,1470713.026000000100,1515736.078749999900,1460051.046250000100,1342837.792000000100,1578136.050249999900,1657054.060000000100,10474797.173250001000
FS( 49 ),1439434.264000000000,1474257.272999999800,1515736.078749999900,1473192.636250000200,1330890.892000000000,1567264.371250000100,1689231.044000000200,10490009.559250001000
FS( 50 ),1456000.632000000000,1483018.332999999900,1521112.183750000100,1466621.841250000100,1350722.746000000000,1605384.938000000100,1696399.183999999900,10579262.858000001000
FS( 51 ),1453451.960000000000,1474257.272999999800,1524606.652000000000,1466621.841250000100,1360758.142000000000,1651659.264000000000,1685646.973999999900,10617005.106249999000
FS( 52 ),1428602.408000000100,1488314.791999999900,1503102.232000000100,1446909.456250000000,1358607.700000000000,1613538.697250000000,1671310.694000000100,10510388.979499999000
FS( 53 ),1439434.264000000000,1500620.098999999900,1519230.547000000000,1460051.046250000100,1364581.150000000100,1621692.456499999900,1674894.764000000000,10580507.326750001000
FS( 54 ),1433699.752000000100,1518221.864999999800,1501220.595250000200,1453480.251250000200,1362669.646000000200,1613538.697250000000,1696399.183999999900,10579232.990750000000
FS( 55 ),1428602.408000000100,1535783.808000000000,1503102.232000000100,1466621.841250000100,1354784.692000000000,1602667.018249999700,1703487.678000000300,10595052.677499998000
FS( 56 ),1422867.895999999900,1512925.406000000000,1517348.910250000200,1460051.046250000100,1352634.250000000000,1599949.098500000100,1732160.237999999900,10597939.845000001000
FS( 57 ),1431151.080000000100,1525230.713000000000,1524606.652000000000,1466621.841250000100,1356696.196000000000,1597231.178749999700,1703487.678000000300,10605028.339000002000
FS( 58 ),1426053.736000000000,1493571.427999999800,1508478.336999999800,1466621.841250000100,1348811.242000000100,1580853.970000000000,1721408.027999999900,10545801.582250003000
FS( 59 ),1414584.712000000100,1476009.485000000100,1503102.232000000100,1460051.046250000100,1350722.746000000000,1578136.050249999900,1703487.678000000300,10486096.949500002000
FS( 60 ),1412036.040000000000,1502372.310999999800,1506596.700250000000,1493054.357500000200,1356696.196000000000,1550956.852750000100,1689231.044000000200,10510946.501499999000
FS( 61 ),1422867.895999999900,1521726.289000000100,1531864.393750000000,1532479.127500000200,1414280.254000000000,1559110.611999999700,1710655.818000000000,10692987.390250001000
FS( 62 ),1433699.752000000100,1519974.076999999800,1537240.498750000300,1552340.848750000100,1424076.712000000100,1575418.130500000000,1728576.168000000100,10771329.187000001000
FS( 63 ),1417770.552000000100,1518221.864999999800,1535358.862000000000,1532479.127500000200,1430050.162000000000,1550956.852750000100,1728576.168000000100,10713416.589250000000
FS( 64 ),1433699.752000000100,1512925.406000000000,1528101.120250000200,1545770.053749999700,1398271.408000000100,1567264.371250000100,1717823.958000000100,10703859.069250001000
FS( 65 ),1422867.895999999900,1518221.864999999800,1537240.498750000300,1532479.127500000200,1412368.750000000000,1583571.889750000100,1703487.678000000300,10710240.705000002000
FS( 66 ),1428602.408000000100,1511173.193999999900,1562239.386999999900,1578624.028750000100,1438174.054000000000,1580853.970000000000,1703487.678000000300,10803157.719750002000
FS( 67 ),1409487.368000000000,1484810.368000000000,1551487.176999999900,1558911.643750000000,1438174.054000000000,1599949.098500000100,1674894.764000000000,10717717.473250000000
FS( 68 ),1403752.856000000100,1486562.580000000100,1573260.402250000000,1545770.053749999700,1432200.604000000100,1610820.777500000100,1678478.833999999800,10730849.107500002000
FS( 69 ),1426053.736000000000,1486562.580000000100,1560626.555500000200,1552340.848750000100,1430050.162000000000,1613538.697250000000,1703487.678000000300,10772663.257500000000
FS( 70 ),1412036.040000000000,1467208.601999999700,1547992.708750000000,1552340.848750000100,1418103.262000000100,1594513.259000000100,1703487.678000000300,10695685.398499999000
