代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11886605.012750000000
真實報酬,1886605.012749999800

夏普值報酬,0.179960501275
夏普值風險,0.054749925260
夏普值,3.286954282065

預期報酬,7869.602298193076
風險,247481.263738182720
起點值,0.031798780155
找到最佳解世代,4643
找到最佳解實驗#,2
找到最佳解次數,38

投資組合檔數,4
1303(4),2412(24),3045(41),4904(45),
Stock#,1303(4),2412(24),3045(41),4904(45),
張數,45,39,47,83,
FS( 54 ),2884865.526249999600,2488828.566999999800,2478469.335250000000,2538400.987499999300,10390564.415999997000
FS( 55 ),2911746.051250000000,2496982.326249999900,2481744.776999999800,2602854.512999999800,10493327.667499999000
FS( 56 ),2931906.444999999400,2529597.363250000400,2492506.942749999900,2617728.403500000000,10571739.154500000000
FS( 57 ),2958786.969999999700,2543186.961999999800,2478469.335250000000,2597070.222250000100,10577513.489499999000
FS( 58 ),2968643.162500000100,2537751.122500000100,2488763.580750000200,2555753.859749999800,10550911.725499999000
FS( 59 ),3002243.818750000100,2548622.801500000100,2499525.746499999900,2591285.931499999500,10641678.298249999000
FS( 60 ),3005827.888749999900,2543186.961999999800,2503269.108500000100,2578891.022750000000,10631174.981999999000
FS( 61 ),3002243.818750000100,2543186.961999999800,2503269.108500000100,2578891.022750000000,10627590.912000000000
FS( 62 ),3012548.020000000000,2540469.042249999900,2521050.077999999700,2585501.640749999300,10659568.780999999000
FS( 63 ),2948482.768749999800,2529597.363250000400,2488763.580750000200,2570627.750249999600,10537471.463000000000
FS( 64 ),2948482.768749999800,2510571.924999999800,2528068.881749999700,2547490.587249999900,10534614.162749998000
FS( 65 ),2958786.969999999700,2524161.523750000200,2574392.986500000100,2544185.278249999500,10601526.758500000000
FS( 66 ),2945346.707500000000,2524161.523750000200,2613698.287500000100,2538400.987499999300,10621607.506250000000
FS( 67 ),2935042.506250000100,2537751.122500000100,2641773.502499999900,2535095.678499999900,10649662.809750000000
FS( 68 ),2901441.850000000100,2545904.881749999700,2613698.287500000100,2523527.096999999600,10584572.116249999000
FS( 69 ),2985667.494999999200,2551340.721249999500,2663297.833999999800,2549969.568999999700,10750275.619249998000
FS( 70 ),3015684.081249999800,2554058.641000000300,2698859.773000000000,2538400.987499999300,10807003.482749999000
FS( 71 ),3008963.950000000200,2554058.641000000300,2656279.030250000300,2573106.731999999800,10792408.353250001000
FS( 72 ),2945346.707500000000,2535033.202749999700,2641773.502499999900,2561538.150500000000,10683691.563250000000
FS( 73 ),2968643.162500000100,2548622.801500000100,2659554.472000000100,2547490.587249999900,10724311.023249999000
FS( 74 ),2999107.757499999400,2543186.961999999800,2663297.833999999800,2549969.568999999700,10755562.122499999000
FS( 75 ),3005827.888749999900,2532315.283000000300,2659554.472000000100,2547490.587249999900,10745188.230999999000
FS( 76 ),2995523.687499999500,2529597.363250000400,2645516.864499999700,2564843.459499999400,10735481.374749999000
FS( 77 ),2938626.576249999900,2535033.202749999700,2638498.060750000200,2559059.168749999700,10671217.008499999000
FS( 78 ),2901441.850000000100,2529597.363250000400,2613698.287500000100,2538400.987499999300,10583138.488249999000
FS( 79 ),2901441.850000000100,2535033.202749999700,2638498.060750000200,2564843.459499999400,10639816.572999999000
FS( 80 ),2864705.132499999800,2535033.202749999700,2613698.287500000100,2540879.969249999600,10554316.591999998000
FS( 81 ),2834688.546250000100,2551340.721249999500,2641773.502499999900,2559059.168749999700,10586861.938749999000
FS( 82 ),2895169.727500000000,2556776.560749999700,2631479.256999999800,2573106.731999999800,10656532.277249999000
FS( 83 ),2878145.395000000000,2575801.999000000800,2627735.895000000000,2576412.041000000200,10658095.330000002000
FS( 84 ),2868289.202500000100,2602981.196499999100,2670316.637749999800,2585501.640749999300,10727088.677499998000
FS( 85 ),2834688.546250000100,2567648.239750000200,2656279.030250000300,2585501.640749999300,10644117.456999999000
FS( 86 ),2831104.476249999800,2570366.159500000500,2659554.472000000100,2578891.022750000000,10639916.130500000000
FS( 87 ),2834688.546250000100,2562212.400249999900,2649260.226499999900,2582196.331749999900,10628357.504749998000
FS( 88 ),2878145.395000000000,2586673.678000000300,2702603.135000000200,2597070.222250000100,10764492.430250000000
FS( 89 ),2851264.869999999600,2583955.758250000000,2702603.135000000200,2623512.694249999700,10761336.457500000000
FS( 90 ),2801087.890000000100,2573084.079250000000,2684822.165499999700,2597070.222250000100,10656064.356999999000
FS( 91 ),2767487.233750000100,2575801.999000000800,2688097.607250000400,2599549.204000000400,10630936.044000002000
FS( 92 ),2754046.971249999900,2575801.999000000800,2705878.576750000000,2625991.676000000000,10661719.223000001000
FS( 93 ),2824384.344999999700,2589391.597750000200,2691840.969250000100,2614423.094500000100,10720040.006500000000
FS( 94 ),2821248.283749999900,2586673.678000000300,2684822.165499999700,2620207.385250000300,10712951.512500001000
FS( 95 ),2794367.758750000000,2586673.678000000300,2702603.135000000200,2611117.785499999800,10694762.357249999000
FS( 96 ),2643388.810000000100,2583955.758250000000,2709621.938749999700,2611117.785499999800,10548084.292500000000
FS( 97 ),2724030.385000000200,2597545.356999999800,2769983.651000000100,2625991.676000000000,10717551.069000002000
FS( 98 ),2787647.627499999900,2624724.554499999600,2777002.454750000000,2684660.910749999800,10874035.547499999000
FS( 99 ),2774207.365000000200,2641032.073000000300,2816307.755750000500,2702013.783000000300,10933560.976750001000
FS( 100 ),2757631.041250000200,2665493.350749999800,2919718.131000000100,2713582.364500000100,11056424.887499999000
FS( 101 ),2683709.597500000100,2711697.986500000600,2898193.799500000200,2702013.783000000300,10995615.166500000000
FS( 102 ),2730750.516250000300,2711697.986500000600,2880412.830000000100,2707798.073750000400,11030659.406500001000
FS( 103 ),2754046.971249999900,2689954.628500000100,2858888.498499999800,2705319.092000000200,11008209.190250000000
FS( 104 ),2754046.971249999900,2684518.788999999900,2858888.498499999800,2637560.257499999800,10935014.516249999000
FS( 105 ),2720446.314999999900,2711697.986500000600,2887431.633750000000,2661523.747750000100,10981099.683000000000
FS( 106 ),2737470.647500000400,2733441.344499999700,2908955.965249999900,2667308.038500000300,11047175.995750001000
FS( 107 ),2713726.183749999900,2754796.428250000300,3015641.782250000200,2707798.073750000400,11191962.468000000000
FS( 108 ),2697149.860000000300,2743924.749250000300,2973061.039500000000,2673092.329250000000,11087227.978000000000
FS( 109 ),2700285.921250000100,2743924.749250000300,2947793.345999999900,2655739.456999999900,11047743.473500000000
FS( 110 ),2673405.396250000200,2708980.066750000200,2947793.345999999900,2629296.984999999400,10959475.794000000000
FS( 111 ),2616508.285000000100,2738488.909750000100,2987098.646999999900,2637560.257499999800,10979656.099250000000
FS( 112 ),2566331.305000000200,2725287.585250000000,3029679.389750000100,2623512.694249999700,10944810.974250000000
FS( 113 ),2586491.698750000000,2730723.424750000200,2937499.100499999700,2625991.676000000000,10880705.900000000000
FS( 114 ),2515706.316250000100,2722569.665500000600,2922993.572749999800,2664002.729499999900,10825272.284000000000
FS( 115 ),2508986.185000000100,2700826.307500000600,2880412.830000000100,2673092.329250000000,10763317.651750000000
FS( 116 ),2469113.406250000000,2692672.548250000000,2884156.192000000300,2669787.020250000100,10715729.166750001000
FS( 117 ),2532730.648750000200,2725287.585250000000,2930012.376499999800,2673092.329250000000,10861122.939750001000
FS( 118 ),2620092.355000000000,2738488.909750000100,2932351.977749999600,2702013.783000000300,10992947.025500000000
FS( 119 ),2633084.608750000100,2798283.144249999400,2906148.443750000100,2787125.489749999300,11124641.686500000000
FS( 120 ),2676989.466250000100,2798283.144249999400,2861228.099750000100,2787125.489749999300,11123626.199999999000
FS( 121 ),2717310.253750000100,2825462.341750000100,2827537.841750000100,2772251.599249999000,11142562.036499999000
FS( 122 ),2733886.577500000100,2866231.137999999800,2868714.823750000000,2772251.599249999000,11241084.138499998000
FS( 123 ),2724030.385000000200,2852641.539250000400,2864971.461749999800,2819352.252499999500,11260995.638499999000
FS( 124 ),2737470.647500000400,2866231.137999999800,2864971.461749999800,2840010.433749999400,11308683.681000000000
FS( 125 ),2724030.385000000200,2825462.341750000100,2868714.823750000000,2836705.124750000000,11254912.675249999000
FS( 126 ),2670269.335000000400,2852641.539250000400,2846254.651750000200,2801999.380249999500,11171164.906250000000
FS( 127 ),2791679.706249999800,2906999.934250000400,2835024.565750000100,2854884.324249999100,11388588.530500000000
FS( 128 ),2862913.097500000100,2893410.335500000000,2849998.013749999900,2851579.015249999700,11457900.461999999000
FS( 129 ),2884417.517500000100,2920589.533000000300,2864971.461749999800,2878021.487249999800,11547999.999499999000
FS( 130 ),2905921.937500000000,2988537.526750000200,2921121.891750000000,2874716.178249999400,11690297.534250000000
FS( 131 ),2877249.377499999900,3029306.323000000300,2894918.357750000000,2890416.395999999300,11691890.454250000000
FS( 132 ),2916674.147500000400,3042895.921750000200,2902405.081749999900,2939996.031000000000,11801971.182000000000
FS( 133 ),2941314.628750000100,3029306.323000000300,2902405.081749999900,2927601.122250000000,11800627.155750001000
FS( 134 ),2962819.048750000500,2903505.466000000000,2902405.081749999900,2918511.522499999500,11687241.118999999000
FS( 135 ),2966403.118749999900,2860407.024250000200,2898661.719750000200,2853231.669749999900,11578703.532500001000
FS( 136 ),2980739.398750000200,2908941.305500000200,2898661.719750000200,2868931.887499999700,11657274.311500000000
FS( 137 ),2905921.937500000000,2897681.352250000000,2898661.719750000200,2868931.887499999700,11571196.897000000000
FS( 138 ),2905921.937500000000,2914765.419249999800,2924865.253750000100,2989575.666000000200,11735128.276500002000
FS( 139 ),2895169.727500000000,2914765.419249999800,2988970.327999999700,2961480.539500000000,11760386.014249999000
FS( 140 ),2698941.895000000000,2914765.419249999800,3134961.446000000000,2952390.939749999400,11701059.699999999000
FS( 141 ),2548858.963749999600,2908941.305500000200,3086297.740000000700,2954869.921499999700,11498967.930749999000
FS( 142 ),2566779.313749999700,2906223.385749999900,3060094.206000000200,2936690.721999999600,11469787.627499999000
FS( 143 ),2584699.663749999800,2914765.419249999800,3063837.568000000000,2982965.048000000000,11546267.699000001000
FS( 144 ),2513018.263749999900,2860407.024250000200,2969785.597749999700,2828441.852249999500,11171652.738000000000
FS( 145 ),2452537.082500000000,2763338.461750000200,2816307.755750000500,2721019.309750000000,10753202.609750001000
FS( 146 ),2377719.621249999900,2763338.461750000200,2790104.221750000000,2696229.492250000100,10627391.797000002000
FS( 147 ),2370551.481250000200,2794788.676000000400,2812564.393750000300,2751593.417999999100,10729497.969000001000
FS( 148 ),2405944.172500000300,2794788.676000000400,2827537.841750000100,2767293.635749999900,10795564.325999999000
FS( 149 ),2359799.271250000200,2797506.595749999900,2891174.995749999800,2792083.453249999300,10840564.316000000000
FS( 150 ),2402360.102500000000,2872055.251750000300,2936095.339749999800,2847447.379000000200,11057958.073000001000
FS( 151 ),2388023.822500000200,2857689.104499999900,2906148.443750000100,2840836.760999999900,10992698.131750001000
FS( 152 ),2413112.312500000000,2857689.104499999900,2891174.995749999800,2810262.652749999400,10972239.065499999000
FS( 153 ),2384439.752499999900,2860407.024250000200,2868714.823750000000,2810262.652749999400,10923824.253249999000
FS( 154 ),2370551.481250000200,2857689.104499999900,2887431.633750000000,2788778.144249999900,10904450.363750000000
FS( 155 ),2395191.962499999900,2889139.318749999600,2958555.511749999600,2779688.544499999800,11022575.337499999000
FS( 156 ),2431032.662500000100,2957863.860999999600,3003943.776000000100,2769772.617500000200,11162612.916999999000
FS( 157 ),2420280.452500000100,2957863.860999999600,2966042.235750000000,2794562.434999999600,11138748.984250000000
FS( 158 ),2434616.732499999900,2957863.860999999600,2966042.235750000000,2899505.995750000200,11258028.824999999000
FS( 159 ),2459705.222500000100,2943497.713750000600,2962298.873749999800,2878021.487249999800,11243523.297250001000
FS( 160 ),2477625.572500000200,2943497.713750000600,2962298.873749999800,2878021.487249999800,11261443.647250000000
FS( 161 ),2456121.152499999900,2914765.419249999800,2962298.873749999800,2840836.760999999900,11174022.206499999000
FS( 162 ),2516602.333750000200,2912047.499499999900,2962298.873749999800,2884632.105249999600,11275580.812249999000
FS( 163 ),2552443.033749999900,2914765.419249999800,2921121.891750000000,2890416.395999999300,11278746.740750000000
FS( 164 ),2527354.543750000200,2900399.272000000300,2902405.081749999900,2859842.287749999700,11190001.185250001000
FS( 165 ),2498681.983750000100,2880597.285250000200,2921121.891750000000,2835052.470249999800,11135453.630999999000
FS( 166 ),2445368.942499999900,2863513.218249999900,2913635.167750000000,2797867.743999999500,11020385.072500000000
FS( 167 ),2459705.222500000100,2929131.566500000200,2969785.597749999700,2952390.939749999400,11311013.326500000000
FS( 168 ),2431032.662500000100,2903505.466000000000,2977740.242000000100,2927601.122250000000,11239879.492750000000
FS( 169 ),2448953.012500000200,2914765.419249999800,2969785.597749999700,2939996.031000000000,11273500.060500000000
FS( 170 ),2334710.781250000000,2903505.466000000000,2943582.063749999700,2828441.852249999500,11010240.163249999000
FS( 171 ),2334710.781250000000,2908941.305500000200,2954812.149749999900,2872237.196499999600,11070701.433000000000
FS( 172 ),2388023.822500000200,2929131.566500000200,2966042.235750000000,2942475.012749999800,11225672.637499999000
FS( 173 ),2441784.872500000100,2929131.566500000200,2958555.511749999600,2942475.012749999800,11271946.963500001000
FS( 174 ),2459705.222500000100,2914765.419249999800,2958555.511749999600,2856536.978749999800,11189563.132250000000
FS( 175 ),2484793.712499999900,2908941.305500000200,2939838.701750000000,2849926.360750000000,11183500.080499999000
FS( 176 ),2491513.843750000000,2886421.399000000700,2894918.357750000000,2849926.360750000000,11122779.961250000000
FS( 177 ),2441784.872500000100,2872055.251750000300,2864971.461749999800,2816046.943500000100,10994858.529500000000
FS( 178 ),2363383.341250000100,2849147.071000000000,2790104.221750000000,2792083.453249999300,10794718.087249998000
FS( 179 ),2388023.822500000200,2872055.251750000300,2823794.479749999900,2915206.213500000100,10999079.767500000000
FS( 180 ),2445368.942499999900,2908941.305500000200,2823794.479749999900,2915206.213500000100,11093310.941250000000
