代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11229799.359999999000
真實報酬,1229799.359999999400

夏普值報酬,0.114279936000
夏普值風險,0.032136277774
夏普值,3.556103690744

預期報酬,4423.848797435977
風險,156605.826351298080
起點值,0.028248302764
找到最佳解世代,5081
找到最佳解實驗#,3
找到最佳解次數,4

投資組合檔數,1
2412(24),
Stock#,2412(24),
張數,120,
分配資金,10000000.000000000000,
剩餘資金,58253.169999999998,
FS( 1 ),9985853.169999999900,9985853.169999999900
FS( 2 ),9951481.060000000500,9951481.060000000500
FS( 3 ),9982543.000000000000,9982543.000000000000
FS( 4 ),10004047.420000000000,10004047.420000000000
FS( 5 ),10004047.420000000000,10004047.420000000000
FS( 6 ),9962233.269999999600,9962233.269999999600
FS( 7 ),10004047.420000000000,10004047.420000000000
FS( 8 ),10004047.420000000000,10004047.420000000000
FS( 9 ),10055419.090000000000,10055419.090000000000
FS( 10 ),10097233.239999998000,10097233.239999998000
FS( 11 ),10272852.670000000000,10272852.670000000000
FS( 12 ),10303914.609999999000,10303914.609999999000
FS( 13 ),10232233.209999999000,10232233.209999999000
FS( 14 ),10210728.789999999000,10210728.789999999000
FS( 15 ),10210728.789999999000,10210728.789999999000
FS( 16 ),10210728.789999999000,10210728.789999999000
FS( 17 ),10210728.789999999000,10210728.789999999000
FS( 18 ),10210728.789999999000,10210728.789999999000
FS( 19 ),10128295.180000002000,10128295.180000002000
FS( 20 ),10139047.389999997000,10139047.389999997000
FS( 21 ),10139047.389999997000,10139047.389999997000
FS( 22 ),10159357.119999999000,10159357.119999999000
FS( 23 ),10263295.150000000000,10263295.150000000000
FS( 24 ),10210728.789999999000,10210728.789999999000
FS( 25 ),10252542.939999999000,10252542.939999999000
FS( 26 ),10272852.670000000000,10272852.670000000000
FS( 27 ),10314666.820000000000,10314666.820000000000
FS( 28 ),10325419.029999999000,10325419.029999999000
FS( 29 ),10294357.090000000000,10294357.090000000000
FS( 30 ),10387542.909999998000,10387542.909999998000
FS( 31 ),10366038.489999998000,10366038.489999998000
FS( 32 ),10397100.430000002000,10397100.430000002000
FS( 33 ),10366038.489999998000,10366038.489999998000
FS( 34 ),10366038.489999998000,10366038.489999998000
FS( 35 ),10366038.489999998000,10366038.489999998000
FS( 36 ),10283604.880000001000,10283604.880000001000
FS( 37 ),10345728.760000000000,10345728.760000000000
FS( 38 ),10294357.090000000000,10294357.090000000000
FS( 39 ),10294357.090000000000,10294357.090000000000
FS( 40 ),10325419.029999999000,10325419.029999999000
FS( 41 ),10366038.489999998000,10366038.489999998000
FS( 42 ),10376790.700000003000,10376790.700000003000
FS( 43 ),10314666.820000000000,10314666.820000000000
FS( 44 ),10159357.119999999000,10159357.119999999000
