代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,14382214.688749999000
真實報酬,4382214.688749998800

夏普值報酬,0.429521468875
夏普值風險,0.100327408189
夏普值,4.281197696917

預期報酬,17344.662208781137
風險,147780.230496926150
起點值,0.117367946649
找到最佳解世代,3500
找到最佳解實驗#,1
找到最佳解次數,47

投資組合檔數,8
1101(0),2308(14),2357(23),2382(24),2454(27),2474(28),2882(33),5880(47),
Stock#,1101(0),2308(14),2357(23),2382(24),2454(27),2474(28),2882(33),5880(47),
張數,38,10,6,24,4,9,39,110,
分配資金,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,
剩餘資金,17045.540000000001,71322.774999999994,137817.394999999990,13200.067999999999,38836.548000000003,100504.299499999760,9985.493750000000,3025.590000000000,
FS( 1 ),1248245.540000000000,1248322.774999999900,1248417.395000000000,1248240.068000000000,1248276.548000000000,1248364.299500000000,1248235.493749999900,1248225.590000000100,9986327.709249999400
FS( 2 ),1234852.791499999800,1273479.587499999900,1262140.154000000100,1246598.023999999700,1261442.470999999900,1295612.440999999600,1254792.739250000100,1253666.905000000000,10082585.113249999000
FS( 3 ),1244310.754000000000,1260437.554999999900,1252821.572000000200,1273598.017999999900,1266460.169000000000,1283605.806499999700,1253239.642250000000,1253666.905000000000,10088140.421750000000
FS( 4 ),1250363.850000000100,1282141.089999999900,1278507.406999999900,1308244.028000000400,1274902.645000000000,1295612.440999999600,1263334.772750000000,1261332.832500000000,10214439.066249998000
FS( 5 ),1252255.442499999900,1256057.024999999900,1255151.217500000300,1319713.051999999900,1281592.908999999800,1279573.727749999800,1266440.966749999900,1258047.435000000300,10168831.775500000000
FS( 6 ),1252255.442499999900,1269099.057499999900,1252821.572000000200,1298686.507999999700,1283305.298000000000,1275541.648999999500,1269158.886499999800,1258047.435000000300,10158915.848500000000
FS( 7 ),1259821.812500000200,1256057.024999999900,1271518.470500000100,1302509.515999999800,1279920.342999999900,1283605.806499999700,1264887.869750000100,1265713.362500000300,10184034.205750000000
FS( 8 ),1259821.812500000200,1260437.554999999900,1257480.862999999900,1300598.012000000100,1283305.298000000000,1287548.283499999700,1266440.966749999900,1270093.892500000100,10185726.683250001000
