代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,12284165.200500000000
真實報酬,2284165.200500000300

夏普值報酬,0.219716520050
夏普值風險,0.047776693539
夏普值,4.598822224293

預期報酬,7573.352145028373
風險,288303.500519718800
起點值,0.026268679122
找到最佳解世代,3338
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,3
1216(2),2412(24),6505(47),
Stock#,1216(2),2412(24),6505(47),
張數,73,38,54,
分配資金,3333333.000000000000,3333333.000000000000,3333333.000000000000,
剩餘資金,25375.868750000001,76278.301500000001,54106.752000000000,
FS( 1 ),3328625.868749999900,3328698.301500000100,3328666.751999999900,9985991.922250000800
FS( 2 ),3371423.797749999900,3333978.904999999800,3328692.307500000100,10034096.010249998000
FS( 3 ),3391046.580999999800,3317711.209499999900,3454493.164500000000,10163251.955000000000
FS( 4 ),3371423.797749999900,3317711.209499999900,3526532.971500000000,10215668.978750000000
FS( 5 ),3391046.580999999800,3327547.490499999800,3507178.993499999900,10225774.064999999000
FS( 6 ),3409942.594499999700,3340410.319500000200,3555563.938499999200,10305917.852499999000
FS( 7 ),3396860.739000000100,3343815.186000000200,3579756.410999999400,10320433.335999999000
FS( 8 ),3308194.829500000500,3324142.623999999800,3541048.455000000100,10173386.908500001000
FS( 9 ),3263135.104999999100,3274961.219000000000,3507178.993499999900,10045276.317499999000
FS( 10 ),3308194.829500000500,3294633.781000000000,3628141.356000000100,10230970.966500001000
FS( 11 ),3263135.104999999100,3278366.085500000000,3642119.228999999400,10183621.419499997000
FS( 12 ),3244239.091500000100,3284797.500000000000,3671150.196000000000,10200187.787500000000
FS( 13 ),3256594.177249999700,3291228.914500000400,3675988.690500000500,10223812.782250000000
FS( 14 ),3237698.163750000800,3291228.914500000400,3748566.107999999500,10277494.186250001000
FS( 15 ),3256594.177249999700,3317711.209499999900,3844798.387500000200,10419104.774250001000
FS( 16 ),3263135.104999999100,3337383.771500000300,3893183.332500000000,10493703.208999999000
FS( 17 ),3288572.046249999700,3333978.904999999800,3979738.622999999700,10602290.574250000000
FS( 18 ),3276216.960499999600,3333978.904999999800,3984577.117500000200,10594773.982999999000
FS( 19 ),3276216.960499999600,3337383.771500000300,4003931.095499999800,10617532.827500001000
FS( 20 ),3231157.235999999600,3324142.623999999800,3864152.365500000300,10419453.225499999000
FS( 21 ),3231157.235999999600,3324142.623999999800,3936729.782999999800,10492030.642999999000
FS( 22 ),3231157.235999999600,3333978.904999999800,3974900.128500000100,10540037.269499999000
FS( 23 ),3225343.078000000200,3337383.771500000300,3974900.128500000100,10537627.978000000000
FS( 24 ),3205720.294749999900,3314306.343000000300,3931891.288499999300,10451918.926250000000
FS( 25 ),3212261.222500000100,3320737.757499999800,3888344.837999999500,10421344.818000000000
FS( 26 ),3212261.222500000100,3327547.490499999800,3898021.827000000000,10437831.539999999000
FS( 27 ),3345986.856500000200,3327547.490499999800,3960922.255500000400,10634457.602500001000
FS( 28 ),3403401.666749999900,3314306.343000000300,3936729.782999999800,10654438.792750001000
FS( 29 ),3486253.418249999600,3304470.061999999900,3893183.332500000000,10683907.812749999000
FS( 30 ),3473898.332500000500,3304470.061999999900,3724373.635499999900,10502743.030000001000
FS( 31 ),3530586.372999999700,3304470.061999999900,3763081.591499999600,10598139.026500000000
FS( 32 ),3492794.345999999900,3324142.623999999800,3917375.805000000200,10734313.775000000000
FS( 33 ),3505149.431750000000,3307874.928500000400,3854475.376499999800,10667500.736749999000
FS( 34 ),3473898.332500000500,3278366.085500000000,3820605.915000000000,10572871.333000001000
FS( 35 ),3473898.332500000500,3298038.647500000000,3844798.387500000200,10616736.367500000000
FS( 36 ),3467357.404749999800,3291228.914500000400,3767920.085999999700,10526507.405250000000
FS( 37 ),3454275.549250000200,3284797.500000000000,3796951.053000000300,10536025.102250000000
FS( 38 ),3479712.490500000300,3284797.500000000000,3743727.613499999500,10508238.604000000000
FS( 39 ),3518231.287249999600,3268529.804499999600,3680827.184999999600,10467589.276749998000
FS( 40 ),3511690.359499999800,3258693.523500000100,3675988.690500000500,10446373.573500000000
FS( 41 ),3460816.477000000000,3261720.071500000100,3661473.206999999000,10384010.755499998000
FS( 42 ),3518231.287249999600,3255288.657000000100,3714696.646499999800,10488217.590750000000
FS( 43 ),3473898.332500000500,3245452.375999999700,3666311.701499999500,10385663.410000000000
FS( 44 ),3447734.621499999900,3218970.081000000200,3560402.432999999700,10227108.135500001000
FS( 45 ),3416483.522249999900,3225779.814000000200,3632442.240000000200,10274706.576250000000
FS( 46 ),3422297.680249999700,3281392.633500000000,3782435.569499999300,10486126.883249998000
FS( 47 ),3327090.842999999900,3258693.523500000100,3772758.580500000200,10358543.947000001000
FS( 48 ),3441920.463500000100,3258693.523500000100,3810928.925999999500,10511543.912999999000
FS( 49 ),3391046.580999999800,3274961.219000000000,3801251.936999999900,10467260.737000000000
FS( 50 ),3352527.784250000000,3258693.523500000100,3777597.075000000200,10388819.382750001000
FS( 51 ),3377964.725500000200,3245452.375999999700,3680827.184999999600,10304245.286499999000
FS( 52 ),3422297.680249999700,3225779.814000000200,3810928.925999999500,10459007.420249999000
FS( 53 ),3371423.797749999900,3215943.533000000300,3685665.679499999600,10273034.010249998000
FS( 54 ),3345986.856500000200,3222374.947499999800,3613625.872499999600,10181988.676500000000
FS( 55 ),3364882.870000000600,3248857.242500000200,3729212.129999999900,10342953.242500000000
FS( 56 ),3345986.856500000200,3258693.523500000100,3758243.097000000500,10362924.477000002000
FS( 57 ),3377964.725500000200,3265124.938000000500,3792112.558499999800,10435203.222000001000
FS( 58 ),3467357.404749999800,3274961.219000000000,3844798.387500000200,10587118.011250000000
FS( 59 ),3454275.549250000200,3274961.219000000000,3810928.925999999500,10540166.694249999000
FS( 60 ),3441920.463500000100,3274961.219000000000,3792112.558499999800,10508995.241000000000
FS( 61 ),3511690.359499999800,3304470.061999999900,3873829.354499999900,10689990.775999999000
FS( 62 ),3486253.418249999600,3291228.914500000400,3902860.321499999600,10680343.654250000000
FS( 63 ),3530586.372999999700,3294633.781000000000,3953933.319000000100,10779154.472999999000
FS( 64 ),3524772.214999999900,3301065.195500000400,3875979.796499999700,10701818.207000000000
FS( 65 ),3473898.332500000500,3301065.195500000400,3905010.763499999400,10679975.291500000000
FS( 66 ),3479712.490500000300,3314306.343000000300,3831895.735499999500,10625915.569000000000
