代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11945650.331499999000
真實報酬,1945650.331499999400

夏普值報酬,0.185865033150
夏普值風險,0.058949897154
夏普值,3.152932271691

預期報酬,8800.206678679233
風險,95038.194459534643
起點值,0.092596526362
找到最佳解世代,3448
找到最佳解實驗#,2
找到最佳解次數,9

投資組合檔數,12
1102(1),2227(11),2354(19),2357(20),2408(23),2409(24),2885(34),2891(38),2892(39),3008(41),3045(42),5880(46),
Stock#,1102(1),2227(11),2354(19),2357(20),2408(23),2409(24),2885(34),2891(38),2892(39),3008(41),3045(42),5880(46),
張數,30,4,10,3,18,75,74,49,53,0,8,64,
分配資金,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,
剩餘資金,21277.467499999882,98166.879000000001,41906.822500000002,91096.818499999878,40384.656499999997,7908.443750000000,1869.850999999884,13866.922500000001,10131.607250000001,833333.000000000000,30029.921999999999,2070.136000000000,
FS( 1 ),832177.467500000030,832286.878999999960,832206.822500000010,832276.818500000050,832204.656500000040,832158.443749999980,832149.851000000020,832166.922499999990,832161.607250000000,833333.000000000000,832189.922000000020,832150.136000000060,9987466.526499999700
FS( 2 ),825901.182499999880,821710.965999999900,833488.505000000000,823382.053999999770,819919.881500000020,821044.324999999950,824792.234499999900,830985.103750000010,833800.671999999900,833333.000000000000,828640.364000000060,828477.032000000120,9925479.320249998900
FS( 3 ),811266.229999999860,818007.426999999910,834384.522499999960,824785.814749999900,817231.829000000140,835231.268749999930,818161.704999999840,828545.944999999950,833800.671999999900,833333.000000000000,832463.371999999970,822742.520000000140,9909958.305999999900
FS( 4 ),819927.732499999810,819839.284999999920,832492.929999999820,828997.097000000070,812034.927500000110,832244.543749999840,824792.234499999900,830985.103750000010,838549.564749999790,833333.000000000000,832463.371999999970,828477.032000000120,9934140.822749998400
FS( 5 ),819927.732499999810,823542.823999999910,841054.874999999880,836015.900750000030,812034.927500000110,853151.618750000020,821108.606999999840,833424.262499999950,843298.457500000020,833333.000000000000,832463.371999999970,828477.032000000120,9977836.609499998400
FS( 6 ),831575.959999999960,827206.540000000040,859273.897499999960,840227.182999999960,812034.927500000110,868085.243750000020,842473.646499999920,845132.224499999890,855434.516749999950,833333.000000000000,840029.741999999970,843131.896000000070,10097942.777500000000
FS( 7 ),831575.959999999960,827206.540000000040,864052.657499999970,834612.139999999900,829417.667000000020,860618.431250000020,857208.156499999810,849522.710250000000,855434.516749999950,833333.000000000000,828640.364000000060,846317.736000000030,10117943.879249999000
FS( 8 ),833069.322500000010,821710.965999999900,860169.915000000040,838823.422249999830,859165.447999999970,850164.893749999930,849840.901499999920,845132.224499999890,852796.243000000130,833333.000000000000,824897.002000000090,846317.736000000030,10115425.074499998000
FS( 9 ),824407.819999999950,819839.284999999920,865944.249999999880,840227.182999999960,855581.378000000030,850164.893749999930,860891.783999999870,849522.710250000000,862821.683250000000,833333.000000000000,824897.002000000090,846317.736000000030,10133952.725250000000
FS( 10 ),828589.235000000100,821710.965999999900,870723.010000000010,837419.661499999930,866154.384499999930,846431.487499999930,857208.156499999810,842693.065749999830,855434.516749999950,833333.000000000000,817330.631999999980,840583.224000000050,10117615.339499999000
FS( 11 ),831575.959999999960,819839.284999999920,866939.825000000070,838823.422249999830,867767.216000000130,860618.431250000020,853524.528999999980,849522.710250000000,850685.623999999950,833333.000000000000,817330.631999999980,840583.224000000050,10130547.858749999000
FS( 12 ),817239.679999999930,823542.823999999910,857382.304999999820,834612.139999999900,885329.158999999990,860618.431250000020,857208.156499999810,849522.710250000000,848047.350249999900,833333.000000000000,809764.261999999990,831662.872000000090,10108266.890249999000
FS( 13 ),802604.727499999920,819839.284999999920,842050.450000000070,830400.857749999970,871351.286000000080,850164.893749999930,849840.901499999920,842693.065749999830,843298.457500000020,833333.000000000000,805941.254000000070,828477.032000000120,10019999.210750001000
FS( 14 ),805591.452500000010,816175.569000000020,841054.874999999880,830400.857749999970,871351.286000000080,856885.024999999910,849840.901499999920,840253.907000000010,840660.183749999970,833333.000000000000,813507.624000000070,828477.032000000120,10027535.713499999000
FS( 15 ),795436.587499999910,821710.965999999900,842050.450000000070,830400.857749999970,866871.198500000060,874805.375000000000,842473.646499999920,835375.589500000000,838549.564749999790,833333.000000000000,802197.891999999990,825291.192000000040,10008500.319499999000
FS( 16 ),783788.360000000100,819839.284999999920,835380.097500000030,828997.097000000070,884433.141500000140,871071.968750000000,835843.116999999970,828545.944999999950,831162.398250000090,833333.000000000000,805941.254000000070,822742.520000000140,9981082.184000000400
FS( 17 ),778113.582499999900,818007.426999999910,832492.929999999820,831804.618499999870,903607.916000000080,868085.243750000020,835843.116999999970,824155.459249999960,828524.124500000030,833333.000000000000,802197.891999999990,819556.680000000050,9975725.990499999400
FS( 18 ),779606.944999999950,819839.284999999920,835380.097500000030,831804.618499999870,889630.042999999950,860618.431250000020,839526.744499999910,828545.944999999950,835911.290999999970,833333.000000000000,802197.891999999990,825291.192000000040,9981689.484750000800
FS( 19 ),781100.307499999880,816175.569000000020,844937.617499999820,833208.379250000000,876548.187499999880,856885.024999999910,835843.116999999970,826106.786249999770,835911.290999999970,833333.000000000000,802197.891999999990,822742.520000000140,9964993.691999997900
FS( 20 ),785281.722499999920,819839.284999999920,854495.137500000070,831804.618499999870,890526.060500000020,860618.431250000020,846157.273999999980,830985.103750000010,845936.731249999950,833333.000000000000,798374.883999999960,831662.872000000090,10029019.120250000000
FS( 21 ),778113.582499999900,816175.569000000020,854495.137500000070,828997.097000000070,880849.071499999960,850164.893749999930,842473.646499999920,828545.944999999950,840660.183749999970,833333.000000000000,802197.891999999990,825291.192000000040,9981301.210500000000
FS( 22 ),782294.997499999940,819839.284999999920,857382.304999999820,834612.139999999900,881745.089000000040,853151.618750000020,857208.156499999810,833424.262499999950,848047.350249999900,833333.000000000000,817330.631999999980,831662.872000000090,10050035.708499998000
