代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,12792389.072749998000
真實報酬,2792389.072749998400

夏普值報酬,0.270538907275
夏普值風險,0.072053490402
夏普值,3.754695376537

預期報酬,11328.892085125592
風險,125540.938872847110
起點值,0.090240619409
找到最佳解世代,3894
找到最佳解實驗#,1
找到最佳解次數,44

投資組合檔數,12
1102(1),1301(3),1326(5),2227(11),2325(17),2408(23),2474(27),2801(28),2882(31),2885(34),2886(35),3481(43),
Stock#,1102(1),1301(3),1326(5),2227(11),2325(17),2408(23),2474(27),2801(28),2882(31),2885(34),2886(35),3481(43),
張數,31,11,10,4,18,23,3,55,22,77,41,76,
分配資金,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,
剩餘資金,7557.945000000000,27095.746750000115,75154.132500000123,81543.224000000002,23620.801999999883,4844.083250000000,201864.437750000130,6055.807500000000,988.596999999883,5174.553500000000,8879.826000000001,1469.281000000000,
FS( 1 ),832157.944999999950,832185.746750000050,832254.132499999950,832263.224000000050,832180.802000000030,832154.083250000030,832434.437750000040,832155.807500000000,832148.596999999950,832154.553500000040,832159.826000000000,832149.280999999960,9986402.436249999300
FS( 2 ),828509.089999999850,839026.982250000120,843041.130000000120,823445.714000000040,830394.958999999920,833988.810500000020,822714.963500000190,826310.050000000050,830660.978999999930,828495.167000000130,834231.412499999980,805774.412000000010,9946597.669750001300
FS( 3 ),839002.450499999920,846364.370000000340,848616.350000000090,825277.572000000040,837204.691999999810,845208.940749999950,837977.128250000070,833975.977499999800,842050.356999999840,846893.393000000040,859130.743250000060,839823.076999999930,10101529.051250000000
FS( 4 ),862766.825749999960,856768.128750000270,858970.330000000310,827109.430000000050,838100.709499999880,849559.603499999970,844936.197500000240,838904.073750000100,851687.522999999930,850726.356750000040,863212.600749999980,843606.262000000100,10186352.041250002000
FS( 5 ),868630.762499999950,860929.632250000140,875795.547500000100,834436.862000000080,838996.726999999960,857345.000000000000,874086.633500000110,838904.073750000100,858915.397499999850,854559.320500000030,866886.272499999960,836039.891999999990,10265530.121000003000
FS( 6 ),849187.182749999920,855672.996250000080,876791.122500000060,836268.720000000090,836308.674499999960,870625.970500000170,900190.610000000220,841641.905000000030,868333.536999999890,857625.691499999960,880356.402249999930,836039.891999999990,10309046.704250000000
FS( 7 ),832829.885499999860,838041.363000000130,865541.125000000230,836268.720000000090,829498.941499999960,868565.130249999930,901624.238000000130,833975.977499999800,851687.522999999930,835394.501750000050,872600.873000000020,824690.337000000060,10190722.615499999000
FS( 8 ),822336.525000000020,833879.859500000140,857974.755000000120,828941.288000000060,828602.924000000000,847269.780999999960,878447.252000000090,826310.050000000050,836793.720999999790,832328.130749999890,863212.600749999980,798208.042000000020,10054308.929000000000
FS( 9 ),801658.432249999950,824461.720000000320,839257.945000000070,821613.856000000150,824302.039999999920,868565.130249999930,892932.868250000060,820834.387500000190,835917.614999999760,835394.501750000050,853416.142750000120,783075.302000000030,10001433.940750001000
FS( 10 ),793942.725999999910,823476.100750000100,842045.555000000170,821613.856000000150,824302.039999999920,859634.822499999890,894396.363500000210,818644.122500000060,824309.210499999930,828495.167000000130,859130.743250000060,790641.671999999900,9980636.379000000700
FS( 11 ),801658.432249999950,817233.845500000290,829899.540000000040,821613.856000000150,829498.941499999960,869481.059249999930,932058.965750000090,818644.122500000060,827375.581499999740,824662.203250000020,851375.214000000040,783075.302000000030,10006581.063500000000
